,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：330yd,Hdcp：16,PAR：4,Reg.：302yd,Hdcp：12,PAR：3,Reg.：165yd,Hdcp：6
1,池越えのミドルホール　奥がＬ（左）グリーン,池越えのミドルホール　奥がＬ（左）グリーン,池越えのミドルホール　奥がＬ（左）グリーン,短いミドルホール,短いミドルホール,短いミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度8位/18ホール中 平均スコア5.41 平均パット数2.05 パーオン率20.3% フェアウェイ率57.0% OB率23.0% バンカー率8.8%,難易度8位/18ホール中 平均スコア5.41 平均パット数2.05 パーオン率20.3% フェアウェイ率57.0% OB率23.0% バンカー率8.8%,難易度8位/18ホール中 平均スコア5.41 平均パット数2.05 パーオン率20.3% フェアウェイ率57.0% OB率23.0% バンカー率8.8%,難易度12位/18ホール中 平均スコア5.2 平均パット数2.04 パーオン率27.5% フェアウェイ率60.0% OB率34.3% バンカー率13.3%,難易度12位/18ホール中 平均スコア5.2 平均パット数2.04 パーオン率27.5% フェアウェイ率60.0% OB率34.3% バンカー率13.3%,難易度12位/18ホール中 平均スコア5.2 平均パット数2.04 パーオン率27.5% フェアウェイ率60.0% OB率34.3% バンカー率13.3%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率20.8% フェアウェイ率- OB率21.5% バンカー率10.3%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率20.8% フェアウェイ率- OB率21.5% バンカー率10.3%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率20.8% フェアウェイ率- OB率21.5% バンカー率10.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：315yd,Hdcp：4,PAR：4,Reg.：318yd,Hdcp：10,PAR：5,Reg.：481yd,Hdcp：8
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
6,難易度2位/18ホール中 平均スコア5.64 平均パット数2.05 パーオン率19.0% フェアウェイ率52.8% OB率58.8% バンカー率9.3%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.05 パーオン率19.0% フェアウェイ率52.8% OB率58.8% バンカー率9.3%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.05 パーオン率19.0% フェアウェイ率52.8% OB率58.8% バンカー率9.3%,難易度9位/18ホール中 平均スコア5.39 平均パット数2.07 パーオン率17.5% フェアウェイ率66.0% OB率24.0% バンカー率11.3%,難易度9位/18ホール中 平均スコア5.39 平均パット数2.07 パーオン率17.5% フェアウェイ率66.0% OB率24.0% バンカー率11.3%,難易度9位/18ホール中 平均スコア5.39 平均パット数2.07 パーオン率17.5% フェアウェイ率66.0% OB率24.0% バンカー率11.3%,難易度7位/18ホール中 平均スコア6.43 平均パット数2.03 パーオン率28.0% フェアウェイ率51.5% OB率61.8% バンカー率2.8%,難易度7位/18ホール中 平均スコア6.43 平均パット数2.03 パーオン率28.0% フェアウェイ率51.5% OB率61.8% バンカー率2.8%,難易度7位/18ホール中 平均スコア6.43 平均パット数2.03 パーオン率28.0% フェアウェイ率51.5% OB率61.8% バンカー率2.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：281yd,Hdcp：14,PAR：3,Reg.：131yd,Hdcp：18,PAR：5,Reg.：475yd,Hdcp：2
9,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度14位/18ホール中 平均スコア5 平均パット数2.02 パーオン率39.3% フェアウェイ率62.0% OB率38.5% バンカー率1.0%,難易度14位/18ホール中 平均スコア5 平均パット数2.02 パーオン率39.3% フェアウェイ率62.0% OB率38.5% バンカー率1.0%,難易度14位/18ホール中 平均スコア5 平均パット数2.02 パーオン率39.3% フェアウェイ率62.0% OB率38.5% バンカー率1.0%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.89 パーオン率27.5% フェアウェイ率- OB率11.0% バンカー率10.0%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.89 パーオン率27.5% フェアウェイ率- OB率11.0% バンカー率10.0%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.89 パーオン率27.5% フェアウェイ率- OB率11.0% バンカー率10.0%,難易度3位/18ホール中 平均スコア6.51 平均パット数2.04 パーオン率18.8% フェアウェイ率62.8% OB率39.5% バンカー率3.3%,難易度3位/18ホール中 平均スコア6.51 平均パット数2.04 パーオン率18.8% フェアウェイ率62.8% OB率39.5% バンカー率3.3%,難易度3位/18ホール中 平均スコア6.51 平均パット数2.04 パーオン率18.8% フェアウェイ率62.8% OB率39.5% バンカー率3.3%
