,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：356yd,Hdcp：13,PAR：4,Reg.：295yd,Hdcp：9,PAR：3,Reg.：160yd,Hdcp：17
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度4位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率17.0% フェアウェイ率42.5% OB率16.5% バンカー率17.5%,難易度4位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率17.0% フェアウェイ率42.5% OB率16.5% バンカー率17.5%,難易度4位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率17.0% フェアウェイ率42.5% OB率16.5% バンカー率17.5%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率27.5% フェアウェイ率57.3% OB率48.0% バンカー率16.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率27.5% フェアウェイ率57.3% OB率48.0% バンカー率16.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率27.5% フェアウェイ率57.3% OB率48.0% バンカー率16.0%,難易度18位/18ホール中 平均スコア4.06 平均パット数2.07 パーオン率31.8% フェアウェイ率- OB率22.3% バンカー率32.8%,難易度18位/18ホール中 平均スコア4.06 平均パット数2.07 パーオン率31.8% フェアウェイ率- OB率22.3% バンカー率32.8%,難易度18位/18ホール中 平均スコア4.06 平均パット数2.07 パーオン率31.8% フェアウェイ率- OB率22.3% バンカー率32.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：392yd,Hdcp：3,PAR：4,Reg.：356yd,Hdcp：11,PAR：5,Reg.：493yd,Hdcp：7
5,長いミドルホール,長いミドルホール,長いミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
6,難易度2位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率11.8% フェアウェイ率55.0% OB率25.8% バンカー率24.5%,難易度2位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率11.8% フェアウェイ率55.0% OB率25.8% バンカー率24.5%,難易度2位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率11.8% フェアウェイ率55.0% OB率25.8% バンカー率24.5%,難易度12位/18ホール中 平均スコア5.25 平均パット数2.05 パーオン率26.5% フェアウェイ率58.3% OB率29.0% バンカー率18.5%,難易度12位/18ホール中 平均スコア5.25 平均パット数2.05 パーオン率26.5% フェアウェイ率58.3% OB率29.0% バンカー率18.5%,難易度12位/18ホール中 平均スコア5.25 平均パット数2.05 パーオン率26.5% フェアウェイ率58.3% OB率29.0% バンカー率18.5%,難易度9位/18ホール中 平均スコア6.29 平均パット数2.06 パーオン率31.0% フェアウェイ率49.8% OB率26.3% バンカー率25.3%,難易度9位/18ホール中 平均スコア6.29 平均パット数2.06 パーオン率31.0% フェアウェイ率49.8% OB率26.3% バンカー率25.3%,難易度9位/18ホール中 平均スコア6.29 平均パット数2.06 パーオン率31.0% フェアウェイ率49.8% OB率26.3% バンカー率25.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：150yd,Hdcp：15,PAR：4,Reg.：372yd,Hdcp：5,PAR：5,Reg.：586yd,Hdcp：1
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度17位/18ホール中 平均スコア4.14 平均パット数2.12 パーオン率31.5% フェアウェイ率- OB率21.0% バンカー率13.0%,難易度17位/18ホール中 平均スコア4.14 平均パット数2.12 パーオン率31.5% フェアウェイ率- OB率21.0% バンカー率13.0%,難易度17位/18ホール中 平均スコア4.14 平均パット数2.12 パーオン率31.5% フェアウェイ率- OB率21.0% バンカー率13.0%,難易度13位/18ホール中 平均スコア5.18 平均パット数1.98 パーオン率23.5% フェアウェイ率57.5% OB率5.0% バンカー率26.8%,難易度13位/18ホール中 平均スコア5.18 平均パット数1.98 パーオン率23.5% フェアウェイ率57.5% OB率5.0% バンカー率26.8%,難易度13位/18ホール中 平均スコア5.18 平均パット数1.98 パーオン率23.5% フェアウェイ率57.5% OB率5.0% バンカー率26.8%,難易度1位/18ホール中 平均スコア6.76 平均パット数2.07 パーオン率12.5% フェアウェイ率62.8% OB率39.3% バンカー率13.5%,難易度1位/18ホール中 平均スコア6.76 平均パット数2.07 パーオン率12.5% フェアウェイ率62.8% OB率39.3% バンカー率13.5%,難易度1位/18ホール中 平均スコア6.76 平均パット数2.07 パーオン率12.5% フェアウェイ率62.8% OB率39.3% バンカー率13.5%
