,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：401yd,Hdcp：8,PAR：4,Reg.：370yd,Hdcp：5,PAR：3,Reg.：153yd,Hdcp：2
1,長いミドルホール,長いミドルホール,長いミドルホール,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,,,
2,難易度5位/9ホール中 平均スコア5.31 平均パット数1.88 パーオン率18.8% フェアウェイ率51.0% OB率25.0% バンカー率21.3%,難易度5位/9ホール中 平均スコア5.31 平均パット数1.88 パーオン率18.8% フェアウェイ率51.0% OB率25.0% バンカー率21.3%,難易度5位/9ホール中 平均スコア5.31 平均パット数1.88 パーオン率18.8% フェアウェイ率51.0% OB率25.0% バンカー率21.3%,難易度4位/9ホール中 平均スコア5.43 平均パット数1.94 パーオン率16.3% フェアウェイ率49.3% OB率40.0% バンカー率7.8%,難易度4位/9ホール中 平均スコア5.43 平均パット数1.94 パーオン率16.3% フェアウェイ率49.3% OB率40.0% バンカー率7.8%,難易度4位/9ホール中 平均スコア5.43 平均パット数1.94 パーオン率16.3% フェアウェイ率49.3% OB率40.0% バンカー率7.8%,難易度8位/9ホール中 平均スコア4.28 平均パット数1.92 パーオン率15.0% フェアウェイ率- OB率12.5% バンカー率28.8%,難易度8位/9ホール中 平均スコア4.28 平均パット数1.92 パーオン率15.0% フェアウェイ率- OB率12.5% バンカー率28.8%,難易度8位/9ホール中 平均スコア4.28 平均パット数1.92 パーオン率15.0% フェアウェイ率- OB率12.5% バンカー率28.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：530yd,Hdcp：4,PAR：4,Reg.：430yd,Hdcp：1,PAR：3,Reg.：125yd,Hdcp：7
5,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,長いミドルホール,長いミドルホール,長いミドルホール,短いショートホール,短いショートホール,短いショートホール
6,難易度2位/9ホール中 平均スコア6.51 平均パット数2 パーオン率19.3% フェアウェイ率56.5% OB率27.3% バンカー率18.8%,難易度2位/9ホール中 平均スコア6.51 平均パット数2 パーオン率19.3% フェアウェイ率56.5% OB率27.3% バンカー率18.8%,難易度2位/9ホール中 平均スコア6.51 平均パット数2 パーオン率19.3% フェアウェイ率56.5% OB率27.3% バンカー率18.8%,難易度1位/9ホール中 平均スコア5.86 平均パット数2.07 パーオン率5.5% フェアウェイ率54.5% OB率37.3% バンカー率17.3%,難易度1位/9ホール中 平均スコア5.86 平均パット数2.07 パーオン率5.5% フェアウェイ率54.5% OB率37.3% バンカー率17.3%,難易度1位/9ホール中 平均スコア5.86 平均パット数2.07 パーオン率5.5% フェアウェイ率54.5% OB率37.3% バンカー率17.3%,難易度9位/9ホール中 平均スコア3.94 平均パット数1.97 パーオン率28.3% フェアウェイ率- OB率9.7% バンカー率24.3%,難易度9位/9ホール中 平均スコア3.94 平均パット数1.97 パーオン率28.3% フェアウェイ率- OB率9.7% バンカー率24.3%,難易度9位/9ホール中 平均スコア3.94 平均パット数1.97 パーオン率28.3% フェアウェイ率- OB率9.7% バンカー率24.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：475yd,Hdcp：9,PAR：4,Reg.：379yd,Hdcp：6,PAR：4,Reg.：397yd,Hdcp：3
9,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度7位/9ホール中 平均スコア6.19 平均パット数2 パーオン率32.5% フェアウェイ率74.0% OB率27.3% バンカー率20.0%,難易度7位/9ホール中 平均スコア6.19 平均パット数2 パーオン率32.5% フェアウェイ率74.0% OB率27.3% バンカー率20.0%,難易度7位/9ホール中 平均スコア6.19 平均パット数2 パーオン率32.5% フェアウェイ率74.0% OB率27.3% バンカー率20.0%,難易度6位/9ホール中 平均スコア5.27 平均パット数1.9 パーオン率22.3% フェアウェイ率65.3% OB率35.5% バンカー率14.5%,難易度6位/9ホール中 平均スコア5.27 平均パット数1.9 パーオン率22.3% フェアウェイ率65.3% OB率35.5% バンカー率14.5%,難易度6位/9ホール中 平均スコア5.27 平均パット数1.9 パーオン率22.3% フェアウェイ率65.3% OB率35.5% バンカー率14.5%,難易度3位/9ホール中 平均スコア5.55 平均パット数2.07 パーオン率13.5% フェアウェイ率63.8% OB率26.3% バンカー率23.0%,難易度3位/9ホール中 平均スコア5.55 平均パット数2.07 パーオン率13.5% フェアウェイ率63.8% OB率26.3% バンカー率23.0%,難易度3位/9ホール中 平均スコア5.55 平均パット数2.07 パーオン率13.5% フェアウェイ率63.8% OB率26.3% バンカー率23.0%
