,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：525yd,Hdcp：13,PAR：4,Reg.：385yd,Hdcp：1,PAR：4,Reg.：374yd,Hdcp：5
1,ストレートな谷越えのロングホール,ストレートな谷越えのロングホール,ストレートな谷越えのロングホール,グリーン手前に大きな池が広がる打ち下ろしのパー4,グリーン手前に大きな池が広がる打ち下ろしのパー4,グリーン手前に大きな池が広がる打ち下ろしのパー4,左ドッグレッグでセカンドから打ち下ろしのミドル,左ドッグレッグでセカンドから打ち下ろしのミドル,左ドッグレッグでセカンドから打ち下ろしのミドル
2,難易度5位/18ホール中 平均スコア6.46 平均パット数1.98 パーオン率24.3% フェアウェイ率47.0% OB率41.5% バンカー率21.3%,難易度5位/18ホール中 平均スコア6.46 平均パット数1.98 パーオン率24.3% フェアウェイ率47.0% OB率41.5% バンカー率21.3%,難易度5位/18ホール中 平均スコア6.46 平均パット数1.98 パーオン率24.3% フェアウェイ率47.0% OB率41.5% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.95 パーオン率16.5% フェアウェイ率43.0% OB率17.0% バンカー率23.3%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.95 パーオン率16.5% フェアウェイ率43.0% OB率17.0% バンカー率23.3%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.95 パーオン率16.5% フェアウェイ率43.0% OB率17.0% バンカー率23.3%,難易度11位/18ホール中 平均スコア5.39 平均パット数1.93 パーオン率18.8% フェアウェイ率54.5% OB率14.0% バンカー率22.5%,難易度11位/18ホール中 平均スコア5.39 平均パット数1.93 パーオン率18.8% フェアウェイ率54.5% OB率14.0% バンカー率22.5%,難易度11位/18ホール中 平均スコア5.39 平均パット数1.93 パーオン率18.8% フェアウェイ率54.5% OB率14.0% バンカー率22.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：170yd,Hdcp：9,PAR：5,Reg.：475yd,Hdcp：17,PAR：4,Reg.：417yd,Hdcp：3
5,やや打ち上げのショートホール,やや打ち上げのショートホール,やや打ち上げのショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
6,難易度15位/18ホール中 平均スコア4.11 平均パット数1.92 パーオン率18.3% フェアウェイ率- OB率13.8% バンカー率28.3%,難易度15位/18ホール中 平均スコア4.11 平均パット数1.92 パーオン率18.3% フェアウェイ率- OB率13.8% バンカー率28.3%,難易度15位/18ホール中 平均スコア4.11 平均パット数1.92 パーオン率18.3% フェアウェイ率- OB率13.8% バンカー率28.3%,難易度10位/18ホール中 平均スコア6.34 平均パット数2.03 パーオン率29.8% フェアウェイ率46.5% OB率45.0% バンカー率29.5%,難易度10位/18ホール中 平均スコア6.34 平均パット数2.03 パーオン率29.8% フェアウェイ率46.5% OB率45.0% バンカー率29.5%,難易度10位/18ホール中 平均スコア6.34 平均パット数2.03 パーオン率29.8% フェアウェイ率46.5% OB率45.0% バンカー率29.5%,難易度2位/18ホール中 平均スコア5.57 平均パット数1.99 パーオン率15.5% フェアウェイ率52.8% OB率24.8% バンカー率16.0%,難易度2位/18ホール中 平均スコア5.57 平均パット数1.99 パーオン率15.5% フェアウェイ率52.8% OB率24.8% バンカー率16.0%,難易度2位/18ホール中 平均スコア5.57 平均パット数1.99 パーオン率15.5% フェアウェイ率52.8% OB率24.8% バンカー率16.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：378yd,Hdcp：7,PAR：3,Reg.：152yd,Hdcp：15,PAR：4,Reg.：332yd,Hdcp：11
9,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,谷越えのロングホール,谷越えのロングホール,谷越えのロングホール
10,難易度12位/18ホール中 平均スコア5.33 平均パット数1.98 パーオン率21.8% フェアウェイ率51.8% OB率22.5% バンカー率35.5%,難易度12位/18ホール中 平均スコア5.33 平均パット数1.98 パーオン率21.8% フェアウェイ率51.8% OB率22.5% バンカー率35.5%,難易度12位/18ホール中 平均スコア5.33 平均パット数1.98 パーオン率21.8% フェアウェイ率51.8% OB率22.5% バンカー率35.5%,難易度18位/18ホール中 平均スコア3.84 平均パット数1.93 パーオン率35.8% フェアウェイ率- OB率12.0% バンカー率15.0%,難易度18位/18ホール中 平均スコア3.84 平均パット数1.93 パーオン率35.8% フェアウェイ率- OB率12.0% バンカー率15.0%,難易度18位/18ホール中 平均スコア3.84 平均パット数1.93 パーオン率35.8% フェアウェイ率- OB率12.0% バンカー率15.0%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.99 パーオン率31.8% フェアウェイ率51.3% OB率26.3% バンカー率28.5%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.99 パーオン率31.8% フェアウェイ率51.3% OB率26.3% バンカー率28.5%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.99 パーオン率31.8% フェアウェイ率51.3% OB率26.3% バンカー率28.5%
