,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：357yd,Hdcp：15,PAR：5,Reg.：470yd,Hdcp：9,PAR：4,Reg.：355yd,Hdcp：3
1,見た目より左右が狭くティーショットがカギ,見た目より左右が狭くティーショットがカギ,見た目より左右が狭くティーショットがカギ,サード地点の落とし所は左傾斜のうえ左には池がある,サード地点の落とし所は左傾斜のうえ左には池がある,サード地点の落とし所は左傾斜のうえ左には池がある,ティーショットが打ち上げになり狙いが難しい,ティーショットが打ち上げになり狙いが難しい,ティーショットが打ち上げになり狙いが難しい
2,難易度10位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率21.5% フェアウェイ率61.3% OB率43.8% バンカー率24.8%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率21.5% フェアウェイ率61.3% OB率43.8% バンカー率24.8%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率21.5% フェアウェイ率61.3% OB率43.8% バンカー率24.8%,難易度6位/18ホール中 平均スコア6.55 平均パット数2.12 パーオン率28.0% フェアウェイ率62.0% OB率44.0% バンカー率9.3%,難易度6位/18ホール中 平均スコア6.55 平均パット数2.12 パーオン率28.0% フェアウェイ率62.0% OB率44.0% バンカー率9.3%,難易度6位/18ホール中 平均スコア6.55 平均パット数2.12 パーオン率28.0% フェアウェイ率62.0% OB率44.0% バンカー率9.3%,難易度11位/18ホール中 平均スコア5.31 平均パット数2.04 パーオン率24.8% フェアウェイ率68.3% OB率30.0% バンカー率15.7%,難易度11位/18ホール中 平均スコア5.31 平均パット数2.04 パーオン率24.8% フェアウェイ率68.3% OB率30.0% バンカー率15.7%,難易度11位/18ホール中 平均スコア5.31 平均パット数2.04 パーオン率24.8% フェアウェイ率68.3% OB率30.0% バンカー率15.7%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：373yd,Hdcp：7,PAR：3,Reg.：143yd,Hdcp：17,PAR：5,Reg.：515yd,Hdcp：1
5,ティーショットは左林越えのドローボールが理想,ティーショットは左林越えのドローボールが理想,ティーショットは左林越えのドローボールが理想,ピンポジションに惑わされず安全策を考える事お勧め,ピンポジションに惑わされず安全策を考える事お勧め,ピンポジションに惑わされず安全策を考える事お勧め,左ドッグレッグの比較的距離のあるロングホール,左ドッグレッグの比較的距離のあるロングホール,左ドッグレッグの比較的距離のあるロングホール
6,難易度7位/18ホール中 平均スコア5.51 平均パット数2.05 パーオン率20.3% フェアウェイ率62.3% OB率34.3% バンカー率27.5%,難易度7位/18ホール中 平均スコア5.51 平均パット数2.05 パーオン率20.3% フェアウェイ率62.3% OB率34.3% バンカー率27.5%,難易度7位/18ホール中 平均スコア5.51 平均パット数2.05 パーオン率20.3% フェアウェイ率62.3% OB率34.3% バンカー率27.5%,難易度17位/18ホール中 平均スコア3.99 平均パット数2.03 パーオン率32.3% フェアウェイ率- OB率18.0% バンカー率42.3%,難易度17位/18ホール中 平均スコア3.99 平均パット数2.03 パーオン率32.3% フェアウェイ率- OB率18.0% バンカー率42.3%,難易度17位/18ホール中 平均スコア3.99 平均パット数2.03 パーオン率32.3% フェアウェイ率- OB率18.0% バンカー率42.3%,難易度2位/18ホール中 平均スコア6.63 平均パット数2.03 パーオン率19.0% フェアウェイ率43.3% OB率19.3% バンカー率5.8%,難易度2位/18ホール中 平均スコア6.63 平均パット数2.03 パーオン率19.0% フェアウェイ率43.3% OB率19.3% バンカー率5.8%,難易度2位/18ホール中 平均スコア6.63 平均パット数2.03 パーオン率19.0% フェアウェイ率43.3% OB率19.3% バンカー率5.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：392yd,Hdcp：5,PAR：3,Reg.：177yd,Hdcp：13,PAR：4,Reg.：397yd,Hdcp：11
9,グリーン手前に大きなくぼ地とバンカーが待ち受ける,グリーン手前に大きなくぼ地とバンカーが待ち受ける,グリーン手前に大きなくぼ地とバンカーが待ち受ける,グリーンの奥は1ペナが近いので距離感を大切に,グリーンの奥は1ペナが近いので距離感を大切に,グリーンの奥は1ペナが近いので距離感を大切に,自分の飛距離と池までの距離を考えて狙いを決める,自分の飛距離と池までの距離を考えて狙いを決める,自分の飛距離と池までの距離を考えて狙いを決める
