,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：432yd,Hdcp：4,PAR：4,Reg.：406yd,Hdcp：10,PAR：4,Reg.：387yd,Hdcp：16
1,長いミドルホール,長いミドルホール,長いミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度1位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率8.7% フェアウェイ率42.8% OB率43.8% バンカー率2.0%,難易度1位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率8.7% フェアウェイ率42.8% OB率43.8% バンカー率2.0%,難易度1位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率8.7% フェアウェイ率42.8% OB率43.8% バンカー率2.0%,難易度3位/18ホール中 平均スコア5.48 平均パット数1.89 パーオン率8.3% フェアウェイ率33.8% OB率44.3% バンカー率23.3%,難易度3位/18ホール中 平均スコア5.48 平均パット数1.89 パーオン率8.3% フェアウェイ率33.8% OB率44.3% バンカー率23.3%,難易度3位/18ホール中 平均スコア5.48 平均パット数1.89 パーオン率8.3% フェアウェイ率33.8% OB率44.3% バンカー率23.3%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.82 パーオン率14.8% フェアウェイ率55.5% OB率- バンカー率62.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.82 パーオン率14.8% フェアウェイ率55.5% OB率- バンカー率62.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.82 パーオン率14.8% フェアウェイ率55.5% OB率- バンカー率62.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：173yd,Hdcp：14,PAR：4,Reg.：414yd,Hdcp：2,PAR：5,Reg.：482yd,Hdcp：8
5,長いショートホール　奥がＬ（左）グリーン,長いショートホール　奥がＬ（左）グリーン,長いショートホール　奥がＬ（左）グリーン,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
6,難易度15位/18ホール中 平均スコア3.99 平均パット数1.94 パーオン率28.3% フェアウェイ率- OB率2.0% バンカー率51.7%,難易度15位/18ホール中 平均スコア3.99 平均パット数1.94 パーオン率28.3% フェアウェイ率- OB率2.0% バンカー率51.7%,難易度15位/18ホール中 平均スコア3.99 平均パット数1.94 パーオン率28.3% フェアウェイ率- OB率2.0% バンカー率51.7%,難易度2位/18ホール中 平均スコア5.54 平均パット数1.86 パーオン率14.5% フェアウェイ率43.0% OB率39.0% バンカー率42.5%,難易度2位/18ホール中 平均スコア5.54 平均パット数1.86 パーオン率14.5% フェアウェイ率43.0% OB率39.0% バンカー率42.5%,難易度2位/18ホール中 平均スコア5.54 平均パット数1.86 パーオン率14.5% フェアウェイ率43.0% OB率39.0% バンカー率42.5%,難易度12位/18ホール中 平均スコア6.26 平均パット数1.95 パーオン率25.5% フェアウェイ率32.0% OB率10.0% バンカー率54.0%,難易度12位/18ホール中 平均スコア6.26 平均パット数1.95 パーオン率25.5% フェアウェイ率32.0% OB率10.0% バンカー率54.0%,難易度12位/18ホール中 平均スコア6.26 平均パット数1.95 パーオン率25.5% フェアウェイ率32.0% OB率10.0% バンカー率54.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：175yd,Hdcp：12,PAR：4,Reg.：375yd,Hdcp：18,PAR：5,Reg.：547yd,Hdcp：6
9,ショートホール,ショートホール,ショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度14位/18ホール中 平均スコア4 平均パット数1.8 パーオン率17.5% フェアウェイ率- OB率- バンカー率46.0%,難易度14位/18ホール中 平均スコア4 平均パット数1.8 パーオン率17.5% フェアウェイ率- OB率- バンカー率46.0%,難易度14位/18ホール中 平均スコア4 平均パット数1.8 パーオン率17.5% フェアウェイ率- OB率- バンカー率46.0%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.94 パーオン率17.3% フェアウェイ率43.3% OB率14.5% バンカー率63.5%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.94 パーオン率17.3% フェアウェイ率43.3% OB率14.5% バンカー率63.5%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.94 パーオン率17.3% フェアウェイ率43.3% OB率14.5% バンカー率63.5%,難易度7位/18ホール中 平均スコア6.49 平均パット数2.02 パーオン率15.5% フェアウェイ率50.8% OB率2.0% バンカー率74.0%,難易度7位/18ホール中 平均スコア6.49 平均パット数2.02 パーオン率15.5% フェアウェイ率50.8% OB率2.0% バンカー率74.0%,難易度7位/18ホール中 平均スコア6.49 平均パット数2.02 パーオン率15.5% フェアウェイ率50.8% OB率2.0% バンカー率74.0%
