,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：362yd,Hdcp：8,PAR：3,Reg.：175yd,Hdcp：12,PAR：5,Reg.：493yd,Hdcp：6
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール,長大で変化に富んだ地形のロングホール,長大で変化に富んだ地形のロングホール,長大で変化に富んだ地形のロングホール
2,難易度6位/18ホール中 平均スコア5.51 平均パット数1.77 パーオン率6.5% フェアウェイ率41.0% OB率9.5% バンカー率26.5%,難易度6位/18ホール中 平均スコア5.51 平均パット数1.77 パーオン率6.5% フェアウェイ率41.0% OB率9.5% バンカー率26.5%,難易度6位/18ホール中 平均スコア5.51 平均パット数1.77 パーオン率6.5% フェアウェイ率41.0% OB率9.5% バンカー率26.5%,難易度16位/18ホール中 平均スコア4.09 平均パット数1.88 パーオン率16.3% フェアウェイ率- OB率12.3% バンカー率20.0%,難易度16位/18ホール中 平均スコア4.09 平均パット数1.88 パーオン率16.3% フェアウェイ率- OB率12.3% バンカー率20.0%,難易度16位/18ホール中 平均スコア4.09 平均パット数1.88 パーオン率16.3% フェアウェイ率- OB率12.3% バンカー率20.0%,難易度2位/18ホール中 平均スコア6.64 平均パット数1.92 パーオン率17.3% フェアウェイ率40.3% OB率28.0% バンカー率25.3%,難易度2位/18ホール中 平均スコア6.64 平均パット数1.92 パーオン率17.3% フェアウェイ率40.3% OB率28.0% バンカー率25.3%,難易度2位/18ホール中 平均スコア6.64 平均パット数1.92 パーオン率17.3% フェアウェイ率40.3% OB率28.0% バンカー率25.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：395yd,Hdcp：2,PAR：4,Reg.：267yd,Hdcp：18,PAR：4,Reg.：300yd,Hdcp：16
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,短いミドルホール
6,難易度4位/18ホール中 平均スコア5.7 平均パット数1.81 パーオン率7.8% フェアウェイ率38.8% OB率17.3% バンカー率41.8%,難易度4位/18ホール中 平均スコア5.7 平均パット数1.81 パーオン率7.8% フェアウェイ率38.8% OB率17.3% バンカー率41.8%,難易度4位/18ホール中 平均スコア5.7 平均パット数1.81 パーオン率7.8% フェアウェイ率38.8% OB率17.3% バンカー率41.8%,難易度17位/18ホール中 平均スコア4.91 平均パット数1.83 パーオン率31.5% フェアウェイ率46.3% OB率3.7% バンカー率39.5%,難易度17位/18ホール中 平均スコア4.91 平均パット数1.83 パーオン率31.5% フェアウェイ率46.3% OB率3.7% バンカー率39.5%,難易度17位/18ホール中 平均スコア4.91 平均パット数1.83 パーオン率31.5% フェアウェイ率46.3% OB率3.7% バンカー率39.5%,難易度13位/18ホール中 平均スコア5.11 平均パット数1.89 パーオン率23.8% フェアウェイ率42.0% OB率2.7% バンカー率29.3%,難易度13位/18ホール中 平均スコア5.11 平均パット数1.89 パーオン率23.8% フェアウェイ率42.0% OB率2.7% バンカー率29.3%,難易度13位/18ホール中 平均スコア5.11 平均パット数1.89 パーオン率23.8% フェアウェイ率42.0% OB率2.7% バンカー率29.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：176yd,Hdcp：4,PAR：5,Reg.：527yd,Hdcp：10,PAR：4,Reg.：358yd,Hdcp：14
9,えぐれた地帯を大きく飛び越して一気にアタック,えぐれた地帯を大きく飛び越して一気にアタック,えぐれた地帯を大きく飛び越して一気にアタック,真っ直ぐなロングホール　手前がＬ（左）グリーン,真っ直ぐなロングホール　手前がＬ（左）グリーン,真っ直ぐなロングホール　手前がＬ（左）グリーン,真っ直ぐなミドルホール　手前がＬ（左）グリーン,真っ直ぐなミドルホール　手前がＬ（左）グリーン,真っ直ぐなミドルホール　手前がＬ（左）グリーン
10,難易度11位/18ホール中 平均スコア4.28 平均パット数1.85 パーオン率10.0% フェアウェイ率- OB率1.0% バンカー率17.3%,難易度11位/18ホール中 平均スコア4.28 平均パット数1.85 パーオン率10.0% フェアウェイ率- OB率1.0% バンカー率17.3%,難易度11位/18ホール中 平均スコア4.28 平均パット数1.85 パーオン率10.0% フェアウェイ率- OB率1.0% バンカー率17.3%,難易度5位/18ホール中 平均スコア6.63 平均パット数1.79 パーオン率13.8% フェアウェイ率42.8% OB率32.0% バンカー率23.5%,難易度5位/18ホール中 平均スコア6.63 平均パット数1.79 パーオン率13.8% フェアウェイ率42.8% OB率32.0% バンカー率23.5%,難易度5位/18ホール中 平均スコア6.63 平均パット数1.79 パーオン率13.8% フェアウェイ率42.8% OB率32.0% バンカー率23.5%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.89 パーオン率15.5% フェアウェイ率45.8% OB率22.3% バンカー率24.8%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.89 パーオン率15.5% フェアウェイ率45.8% OB率22.3% バンカー率24.8%,難易度7位/18ホール中 平均スコア5.45 平均パット数1.89 パーオン率15.5% フェアウェイ率45.8% OB率22.3% バンカー率24.8%
