,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：509yd,Hdcp：4,PAR：3,Reg.：170yd,Hdcp：16,PAR：4,Reg.：394yd,Hdcp：8
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,長いショートホール,長いショートホール,長いショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度1位/18ホール中 平均スコア6.7 平均パット数2.06 パーオン率14.8% フェアウェイ率42.8% OB率35.8% バンカー率19.3%,難易度1位/18ホール中 平均スコア6.7 平均パット数2.06 パーオン率14.8% フェアウェイ率42.8% OB率35.8% バンカー率19.3%,難易度1位/18ホール中 平均スコア6.7 平均パット数2.06 パーオン率14.8% フェアウェイ率42.8% OB率35.8% バンカー率19.3%,難易度14位/18ホール中 平均スコア4.24 平均パット数2.09 パーオン率19.5% フェアウェイ率- OB率7.0% バンカー率40.5%,難易度14位/18ホール中 平均スコア4.24 平均パット数2.09 パーオン率19.5% フェアウェイ率- OB率7.0% バンカー率40.5%,難易度14位/18ホール中 平均スコア4.24 平均パット数2.09 パーオン率19.5% フェアウェイ率- OB率7.0% バンカー率40.5%,難易度9位/18ホール中 平均スコア5.43 平均パット数2.04 パーオン率19.5% フェアウェイ率46.0% OB率37.0% バンカー率15.7%,難易度9位/18ホール中 平均スコア5.43 平均パット数2.04 パーオン率19.5% フェアウェイ率46.0% OB率37.0% バンカー率15.7%,難易度9位/18ホール中 平均スコア5.43 平均パット数2.04 パーオン率19.5% フェアウェイ率46.0% OB率37.0% バンカー率15.7%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：348yd,Hdcp：12,PAR：4,Reg.：392yd,Hdcp：2,PAR：4,Reg.：338yd,Hdcp：14
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度10位/18ホール中 平均スコア5.36 平均パット数2.04 パーオン率22.8% フェアウェイ率44.8% OB率25.0% バンカー率29.0%,難易度10位/18ホール中 平均スコア5.36 平均パット数2.04 パーオン率22.8% フェアウェイ率44.8% OB率25.0% バンカー率29.0%,難易度10位/18ホール中 平均スコア5.36 平均パット数2.04 パーオン率22.8% フェアウェイ率44.8% OB率25.0% バンカー率29.0%,難易度5位/18ホール中 平均スコア5.5 平均パット数1.97 パーオン率11.3% フェアウェイ率39.8% OB率17.8% バンカー率30.0%,難易度5位/18ホール中 平均スコア5.5 平均パット数1.97 パーオン率11.3% フェアウェイ率39.8% OB率17.8% バンカー率30.0%,難易度5位/18ホール中 平均スコア5.5 平均パット数1.97 パーオン率11.3% フェアウェイ率39.8% OB率17.8% バンカー率30.0%,難易度15位/18ホール中 平均スコア5.09 平均パット数2.06 パーオン率31.0% フェアウェイ率45.0% OB率12.0% バンカー率38.5%,難易度15位/18ホール中 平均スコア5.09 平均パット数2.06 パーオン率31.0% フェアウェイ率45.0% OB率12.0% バンカー率38.5%,難易度15位/18ホール中 平均スコア5.09 平均パット数2.06 パーオン率31.0% フェアウェイ率45.0% OB率12.0% バンカー率38.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：494yd,Hdcp：10,PAR：3,Reg.：132yd,Hdcp：18,PAR：4,Reg.：406yd,Hdcp：6
9,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度8位/18ホール中 平均スコア6.38 平均パット数2.03 パーオン率23.3% フェアウェイ率35.0% OB率26.3% バンカー率41.8%,難易度8位/18ホール中 平均スコア6.38 平均パット数2.03 パーオン率23.3% フェアウェイ率35.0% OB率26.3% バンカー率41.8%,難易度8位/18ホール中 平均スコア6.38 平均パット数2.03 パーオン率23.3% フェアウェイ率35.0% OB率26.3% バンカー率41.8%,難易度18位/18ホール中 平均スコア3.98 平均パット数2.01 パーオン率35.0% フェアウェイ率- OB率10.7% バンカー率18.8%,難易度18位/18ホール中 平均スコア3.98 平均パット数2.01 パーオン率35.0% フェアウェイ率- OB率10.7% バンカー率18.8%,難易度18位/18ホール中 平均スコア3.98 平均パット数2.01 パーオン率35.0% フェアウェイ率- OB率10.7% バンカー率18.8%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.03 パーオン率10.3% フェアウェイ率40.0% OB率12.3% バンカー率34.3%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.03 パーオン率10.3% フェアウェイ率40.0% OB率12.3% バンカー率34.3%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.03 パーオン率10.3% フェアウェイ率40.0% OB率12.3% バンカー率34.3%
