,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：515yd,Hdcp：7,PAR：4,Reg.：350yd,Hdcp：11,PAR：3,Reg.：146yd,Hdcp：15
1,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度3位/18ホール中 平均スコア6.55 平均パット数2.02 パーオン率18.5% フェアウェイ率46.8% OB率6.8% バンカー率20.8%,難易度3位/18ホール中 平均スコア6.55 平均パット数2.02 パーオン率18.5% フェアウェイ率46.8% OB率6.8% バンカー率20.8%,難易度3位/18ホール中 平均スコア6.55 平均パット数2.02 パーオン率18.5% フェアウェイ率46.8% OB率6.8% バンカー率20.8%,難易度10位/18ホール中 平均スコア5.27 平均パット数2.04 パーオン率28.0% フェアウェイ率48.5% OB率19.8% バンカー率23.3%,難易度10位/18ホール中 平均スコア5.27 平均パット数2.04 パーオン率28.0% フェアウェイ率48.5% OB率19.8% バンカー率23.3%,難易度10位/18ホール中 平均スコア5.27 平均パット数2.04 パーオン率28.0% フェアウェイ率48.5% OB率19.8% バンカー率23.3%,難易度17位/18ホール中 平均スコア3.83 平均パット数1.99 パーオン率35.3% フェアウェイ率- OB率13.0% バンカー率15.8%,難易度17位/18ホール中 平均スコア3.83 平均パット数1.99 パーオン率35.3% フェアウェイ率- OB率13.0% バンカー率15.8%,難易度17位/18ホール中 平均スコア3.83 平均パット数1.99 パーオン率35.3% フェアウェイ率- OB率13.0% バンカー率15.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：560yd,Hdcp：1,PAR：4,Reg.：400yd,Hdcp：3,PAR：3,Reg.：206yd,Hdcp：5
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール,長いショートホール,長いショートホール,長いショートホール
6,難易度1位/18ホール中 平均スコア6.62 平均パット数2.01 パーオン率16.0% フェアウェイ率56.0% OB率24.3% バンカー率15.8%,難易度1位/18ホール中 平均スコア6.62 平均パット数2.01 パーオン率16.0% フェアウェイ率56.0% OB率24.3% バンカー率15.8%,難易度1位/18ホール中 平均スコア6.62 平均パット数2.01 パーオン率16.0% フェアウェイ率56.0% OB率24.3% バンカー率15.8%,難易度8位/18ホール中 平均スコア5.33 平均パット数1.93 パーオン率15.0% フェアウェイ率47.3% OB率3.7% バンカー率27.3%,難易度8位/18ホール中 平均スコア5.33 平均パット数1.93 パーオン率15.0% フェアウェイ率47.3% OB率3.7% バンカー率27.3%,難易度8位/18ホール中 平均スコア5.33 平均パット数1.93 パーオン率15.0% フェアウェイ率47.3% OB率3.7% バンカー率27.3%,難易度16位/18ホール中 平均スコア4.04 平均パット数1.99 パーオン率23.8% フェアウェイ率- OB率11.7% バンカー率1.7%,難易度16位/18ホール中 平均スコア4.04 平均パット数1.99 パーオン率23.8% フェアウェイ率- OB率11.7% バンカー率1.7%,難易度16位/18ホール中 平均スコア4.04 平均パット数1.99 パーオン率23.8% フェアウェイ率- OB率11.7% バンカー率1.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：356yd,Hdcp：13,PAR：4,Reg.：375yd,Hdcp：9,PAR：4,Reg.：320yd,Hdcp：17
9,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度6位/18ホール中 平均スコア5.43 平均パット数2.13 パーオン率22.3% フェアウェイ率52.3% OB率17.3% バンカー率27.5%,難易度6位/18ホール中 平均スコア5.43 平均パット数2.13 パーオン率22.3% フェアウェイ率52.3% OB率17.3% バンカー率27.5%,難易度6位/18ホール中 平均スコア5.43 平均パット数2.13 パーオン率22.3% フェアウェイ率52.3% OB率17.3% バンカー率27.5%,難易度12位/18ホール中 平均スコア5.2 平均パット数2.04 パーオン率27.5% フェアウェイ率48.0% OB率20.8% バンカー率25.8%,難易度12位/18ホール中 平均スコア5.2 平均パット数2.04 パーオン率27.5% フェアウェイ率48.0% OB率20.8% バンカー率25.8%,難易度12位/18ホール中 平均スコア5.2 平均パット数2.04 パーオン率27.5% フェアウェイ率48.0% OB率20.8% バンカー率25.8%,難易度13位/18ホール中 平均スコア5.11 平均パット数2 パーオン率30.0% フェアウェイ率55.5% OB率16.8% バンカー率27.5%,難易度13位/18ホール中 平均スコア5.11 平均パット数2 パーオン率30.0% フェアウェイ率55.5% OB率16.8% バンカー率27.5%,難易度13位/18ホール中 平均スコア5.11 平均パット数2 パーオン率30.0% フェアウェイ率55.5% OB率16.8% バンカー率27.5%
