,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：356yd,Hdcp：6,PAR：4,Reg.：291yd,Hdcp：16,PAR：4,Reg.：282yd,Hdcp：4
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度10位/18ホール中 平均スコア5.34 平均パット数1.92 パーオン率19.8% フェアウェイ率50.8% OB率41.0% バンカー率13.3%,難易度10位/18ホール中 平均スコア5.34 平均パット数1.92 パーオン率19.8% フェアウェイ率50.8% OB率41.0% バンカー率13.3%,難易度10位/18ホール中 平均スコア5.34 平均パット数1.92 パーオン率19.8% フェアウェイ率50.8% OB率41.0% バンカー率13.3%,難易度13位/18ホール中 平均スコア5.11 平均パット数2.01 パーオン率29.5% フェアウェイ率49.3% OB率16.0% バンカー率15.8%,難易度13位/18ホール中 平均スコア5.11 平均パット数2.01 パーオン率29.5% フェアウェイ率49.3% OB率16.0% バンカー率15.8%,難易度13位/18ホール中 平均スコア5.11 平均パット数2.01 パーオン率29.5% フェアウェイ率49.3% OB率16.0% バンカー率15.8%,難易度9位/18ホール中 平均スコア5.34 平均パット数2.04 パーオン率24.0% フェアウェイ率58.8% OB率25.0% バンカー率22.5%,難易度9位/18ホール中 平均スコア5.34 平均パット数2.04 パーオン率24.0% フェアウェイ率58.8% OB率25.0% バンカー率22.5%,難易度9位/18ホール中 平均スコア5.34 平均パット数2.04 パーオン率24.0% フェアウェイ率58.8% OB率25.0% バンカー率22.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：179yd,Hdcp：10,PAR：5,Reg.：509yd,Hdcp：8,PAR：4,Reg.：287yd,Hdcp：18
5,長いショートホール手前がＬ（左）グリーン,長いショートホール手前がＬ（左）グリーン,長いショートホール手前がＬ（左）グリーン,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,短いミドルホール,短いミドルホール,短いミドルホール
6,難易度16位/18ホール中 平均スコア4.12 平均パット数1.84 パーオン率15.3% フェアウェイ率- OB率36.0% バンカー率11.0%,難易度16位/18ホール中 平均スコア4.12 平均パット数1.84 パーオン率15.3% フェアウェイ率- OB率36.0% バンカー率11.0%,難易度16位/18ホール中 平均スコア4.12 平均パット数1.84 パーオン率15.3% フェアウェイ率- OB率36.0% バンカー率11.0%,難易度7位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率22.3% フェアウェイ率45.5% OB率42.3% バンカー率10.3%,難易度7位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率22.3% フェアウェイ率45.5% OB率42.3% バンカー率10.3%,難易度7位/18ホール中 平均スコア6.51 平均パット数2.02 パーオン率22.3% フェアウェイ率45.5% OB率42.3% バンカー率10.3%,難易度15位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率28.3% フェアウェイ率57.0% OB率21.8% バンカー率12.0%,難易度15位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率28.3% フェアウェイ率57.0% OB率21.8% バンカー率12.0%,難易度15位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率28.3% フェアウェイ率57.0% OB率21.8% バンカー率12.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：371yd,Hdcp：2,PAR：3,Reg.：131yd,Hdcp：14,PAR：5,Reg.：454yd,Hdcp：12
9,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度4位/18ホール中 平均スコア5.63 平均パット数2.03 パーオン率10.5% フェアウェイ率45.8% OB率39.8% バンカー率10.3%,難易度4位/18ホール中 平均スコア5.63 平均パット数2.03 パーオン率10.5% フェアウェイ率45.8% OB率39.8% バンカー率10.3%,難易度4位/18ホール中 平均スコア5.63 平均パット数2.03 パーオン率10.5% フェアウェイ率45.8% OB率39.8% バンカー率10.3%,難易度17位/18ホール中 平均スコア3.98 平均パット数1.91 パーオン率29.0% フェアウェイ率- OB率41.3% バンカー率2.7%,難易度17位/18ホール中 平均スコア3.98 平均パット数1.91 パーオン率29.0% フェアウェイ率- OB率41.3% バンカー率2.7%,難易度17位/18ホール中 平均スコア3.98 平均パット数1.91 パーオン率29.0% フェアウェイ率- OB率41.3% バンカー率2.7%,難易度5位/18ホール中 平均スコア6.54 平均パット数1.95 パーオン率22.3% フェアウェイ率58.5% OB率48.5% バンカー率13.5%,難易度5位/18ホール中 平均スコア6.54 平均パット数1.95 パーオン率22.3% フェアウェイ率58.5% OB率48.5% バンカー率13.5%,難易度5位/18ホール中 平均スコア6.54 平均パット数1.95 パーオン率22.3% フェアウェイ率58.5% OB率48.5% バンカー率13.5%
