,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：321yd,Hdcp：7,PAR：4,Reg.：271yd,Hdcp：15,PAR：3,Reg.：179yd,Hdcp：17
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度11位/18ホール中 平均スコア5.3 平均パット数2.09 パーオン率25.5% フェアウェイ率60.5% OB率23.8% バンカー率10.8%,難易度11位/18ホール中 平均スコア5.3 平均パット数2.09 パーオン率25.5% フェアウェイ率60.5% OB率23.8% バンカー率10.8%,難易度11位/18ホール中 平均スコア5.3 平均パット数2.09 パーオン率25.5% フェアウェイ率60.5% OB率23.8% バンカー率10.8%,難易度12位/18ホール中 平均スコア5.28 平均パット数1.92 パーオン率19.8% フェアウェイ率48.8% OB率31.3% バンカー率14.8%,難易度12位/18ホール中 平均スコア5.28 平均パット数1.92 パーオン率19.8% フェアウェイ率48.8% OB率31.3% バンカー率14.8%,難易度12位/18ホール中 平均スコア5.28 平均パット数1.92 パーオン率19.8% フェアウェイ率48.8% OB率31.3% バンカー率14.8%,難易度14位/18ホール中 平均スコア4.21 平均パット数1.89 パーオン率11.0% フェアウェイ率- OB率17.5% バンカー率29.3%,難易度14位/18ホール中 平均スコア4.21 平均パット数1.89 パーオン率11.0% フェアウェイ率- OB率17.5% バンカー率29.3%,難易度14位/18ホール中 平均スコア4.21 平均パット数1.89 パーオン率11.0% フェアウェイ率- OB率17.5% バンカー率29.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：479yd,Hdcp：13,PAR：4,Reg.：347yd,Hdcp：9,PAR：4,Reg.：330yd,Hdcp：5
5,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度1位/18ホール中 平均スコア6.7 平均パット数1.92 パーオン率16.3% フェアウェイ率45.0% OB率48.3% バンカー率17.3%,難易度1位/18ホール中 平均スコア6.7 平均パット数1.92 パーオン率16.3% フェアウェイ率45.0% OB率48.3% バンカー率17.3%,難易度1位/18ホール中 平均スコア6.7 平均パット数1.92 パーオン率16.3% フェアウェイ率45.0% OB率48.3% バンカー率17.3%,難易度8位/18ホール中 平均スコア5.46 平均パット数1.99 パーオン率14.0% フェアウェイ率40.3% OB率18.8% バンカー率20.8%,難易度8位/18ホール中 平均スコア5.46 平均パット数1.99 パーオン率14.0% フェアウェイ率40.3% OB率18.8% バンカー率20.8%,難易度8位/18ホール中 平均スコア5.46 平均パット数1.99 パーオン率14.0% フェアウェイ率40.3% OB率18.8% バンカー率20.8%,難易度6位/18ホール中 平均スコア5.6 平均パット数2.01 パーオン率13.0% フェアウェイ率58.8% OB率36.5% バンカー率18.8%,難易度6位/18ホール中 平均スコア5.6 平均パット数2.01 パーオン率13.0% フェアウェイ率58.8% OB率36.5% バンカー率18.8%,難易度6位/18ホール中 平均スコア5.6 平均パット数2.01 パーオン率13.0% フェアウェイ率58.8% OB率36.5% バンカー率18.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：378yd,Hdcp：1,PAR：3,Reg.：128yd,Hdcp：11,PAR：5,Reg.：518yd,Hdcp：3
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,,,,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
10,難易度3位/18ホール中 平均スコア5.69 平均パット数1.9 パーオン率6.5% フェアウェイ率39.8% OB率38.3% バンカー率14.3%,難易度3位/18ホール中 平均スコア5.69 平均パット数1.9 パーオン率6.5% フェアウェイ率39.8% OB率38.3% バンカー率14.3%,難易度3位/18ホール中 平均スコア5.69 平均パット数1.9 パーオン率6.5% フェアウェイ率39.8% OB率38.3% バンカー率14.3%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.89 パーオン率25.0% フェアウェイ率- OB率7.8% バンカー率14.8%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.89 パーオン率25.0% フェアウェイ率- OB率7.8% バンカー率14.8%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.89 パーオン率25.0% フェアウェイ率- OB率7.8% バンカー率14.8%,難易度2位/18ホール中 平均スコア6.67 平均パット数1.94 パーオン率14.3% フェアウェイ率55.8% OB率39.8% バンカー率14.8%,難易度2位/18ホール中 平均スコア6.67 平均パット数1.94 パーオン率14.3% フェアウェイ率55.8% OB率39.8% バンカー率14.8%,難易度2位/18ホール中 平均スコア6.67 平均パット数1.94 パーオン率14.3% フェアウェイ率55.8% OB率39.8% バンカー率14.8%
