,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：521yd,Hdcp：13,PAR：4,Reg.：404yd,Hdcp：3,PAR：4,Reg.：404yd,Hdcp：9
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール
2,難易度9位/18ホール中 平均スコア6.44 平均パット数2.01 パーオン率21.5% フェアウェイ率53.3% OB率18.0% バンカー率32.5%,難易度9位/18ホール中 平均スコア6.44 平均パット数2.01 パーオン率21.5% フェアウェイ率53.3% OB率18.0% バンカー率32.5%,難易度9位/18ホール中 平均スコア6.44 平均パット数2.01 パーオン率21.5% フェアウェイ率53.3% OB率18.0% バンカー率32.5%,難易度3位/18ホール中 平均スコア5.65 平均パット数2.06 パーオン率11.8% フェアウェイ率46.0% OB率33.5% バンカー率29.8%,難易度3位/18ホール中 平均スコア5.65 平均パット数2.06 パーオン率11.8% フェアウェイ率46.0% OB率33.5% バンカー率29.8%,難易度3位/18ホール中 平均スコア5.65 平均パット数2.06 パーオン率11.8% フェアウェイ率46.0% OB率33.5% バンカー率29.8%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.09 パーオン率17.8% フェアウェイ率45.3% OB率26.8% バンカー率22.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.09 パーオン率17.8% フェアウェイ率45.3% OB率26.8% バンカー率22.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.09 パーオン率17.8% フェアウェイ率45.3% OB率26.8% バンカー率22.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：491yd,Hdcp：15,PAR：4,Reg.：327yd,Hdcp：17,PAR：4,Reg.：411yd,Hdcp：5
5,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,短いミドルホール,短いミドルホール,短いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度11位/18ホール中 平均スコア6.32 平均パット数2.03 パーオン率31.0% フェアウェイ率48.0% OB率40.5% バンカー率29.5%,難易度11位/18ホール中 平均スコア6.32 平均パット数2.03 パーオン率31.0% フェアウェイ率48.0% OB率40.5% バンカー率29.5%,難易度11位/18ホール中 平均スコア6.32 平均パット数2.03 パーオン率31.0% フェアウェイ率48.0% OB率40.5% バンカー率29.5%,難易度10位/18ホール中 平均スコア5.36 平均パット数2.11 パーオン率27.5% フェアウェイ率43.8% OB率37.3% バンカー率29.0%,難易度10位/18ホール中 平均スコア5.36 平均パット数2.11 パーオン率27.5% フェアウェイ率43.8% OB率37.3% バンカー率29.0%,難易度10位/18ホール中 平均スコア5.36 平均パット数2.11 パーオン率27.5% フェアウェイ率43.8% OB率37.3% バンカー率29.0%,難易度4位/18ホール中 平均スコア5.62 平均パット数2.09 パーオン率10.5% フェアウェイ率40.0% OB率25.0% バンカー率27.8%,難易度4位/18ホール中 平均スコア5.62 平均パット数2.09 パーオン率10.5% フェアウェイ率40.0% OB率25.0% バンカー率27.8%,難易度4位/18ホール中 平均スコア5.62 平均パット数2.09 パーオン率10.5% フェアウェイ率40.0% OB率25.0% バンカー率27.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：185yd,Hdcp：11,PAR：4,Reg.：396yd,Hdcp：1,PAR：3,Reg.：162yd,Hdcp：7
9,長いショートホール,長いショートホール,長いショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール
10,難易度15位/18ホール中 平均スコア4.11 平均パット数2.13 パーオン率30.5% フェアウェイ率- OB率20.8% バンカー率17.5%,難易度15位/18ホール中 平均スコア4.11 平均パット数2.13 パーオン率30.5% フェアウェイ率- OB率20.8% バンカー率17.5%,難易度15位/18ホール中 平均スコア4.11 平均パット数2.13 パーオン率30.5% フェアウェイ率- OB率20.8% バンカー率17.5%,難易度1位/18ホール中 平均スコア5.78 平均パット数2.19 パーオン率17.0% フェアウェイ率56.0% OB率49.3% バンカー率29.3%,難易度1位/18ホール中 平均スコア5.78 平均パット数2.19 パーオン率17.0% フェアウェイ率56.0% OB率49.3% バンカー率29.3%,難易度1位/18ホール中 平均スコア5.78 平均パット数2.19 パーオン率17.0% フェアウェイ率56.0% OB率49.3% バンカー率29.3%,難易度17位/18ホール中 平均スコア4.01 平均パット数2.08 パーオン率34.8% フェアウェイ率- OB率26.8% バンカー率26.3%,難易度17位/18ホール中 平均スコア4.01 平均パット数2.08 パーオン率34.8% フェアウェイ率- OB率26.8% バンカー率26.3%,難易度17位/18ホール中 平均スコア4.01 平均パット数2.08 パーオン率34.8% フェアウェイ率- OB率26.8% バンカー率26.3%
