,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：497yd,Hdcp：10,PAR：4,Reg.：360yd,Hdcp：4,PAR：3,Reg.：137yd,Hdcp：16
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール
2,難易度1位/18ホール中 平均スコア6.74 平均パット数2.03 パーオン率14.3% フェアウェイ率65.0% OB率46.0% バンカー率2.7%,難易度1位/18ホール中 平均スコア6.74 平均パット数2.03 パーオン率14.3% フェアウェイ率65.0% OB率46.0% バンカー率2.7%,難易度1位/18ホール中 平均スコア6.74 平均パット数2.03 パーオン率14.3% フェアウェイ率65.0% OB率46.0% バンカー率2.7%,難易度3位/18ホール中 平均スコア5.6 平均パット数2 パーオン率11.0% フェアウェイ率57.0% OB率33.5% バンカー率16.3%,難易度3位/18ホール中 平均スコア5.6 平均パット数2 パーオン率11.0% フェアウェイ率57.0% OB率33.5% バンカー率16.3%,難易度3位/18ホール中 平均スコア5.6 平均パット数2 パーオン率11.0% フェアウェイ率57.0% OB率33.5% バンカー率16.3%,難易度18位/18ホール中 平均スコア3.84 平均パット数2 パーオン率39.3% フェアウェイ率- OB率21.0% バンカー率14.7%,難易度18位/18ホール中 平均スコア3.84 平均パット数2 パーオン率39.3% フェアウェイ率- OB率21.0% バンカー率14.7%,難易度18位/18ホール中 平均スコア3.84 平均パット数2 パーオン率39.3% フェアウェイ率- OB率21.0% バンカー率14.7%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：354yd,Hdcp：2,PAR：4,Reg.：327yd,Hdcp：14,PAR：4,Reg.：308yd,Hdcp：8
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度12位/18ホール中 平均スコア5.21 平均パット数1.99 パーオン率26.0% フェアウェイ率59.3% OB率45.0% バンカー率-,難易度12位/18ホール中 平均スコア5.21 平均パット数1.99 パーオン率26.0% フェアウェイ率59.3% OB率45.0% バンカー率-,難易度12位/18ホール中 平均スコア5.21 平均パット数1.99 パーオン率26.0% フェアウェイ率59.3% OB率45.0% バンカー率-,難易度13位/18ホール中 平均スコア5.24 平均パット数1.93 パーオン率20.3% フェアウェイ率56.8% OB率41.0% バンカー率13.3%,難易度13位/18ホール中 平均スコア5.24 平均パット数1.93 パーオン率20.3% フェアウェイ率56.8% OB率41.0% バンカー率13.3%,難易度13位/18ホール中 平均スコア5.24 平均パット数1.93 パーオン率20.3% フェアウェイ率56.8% OB率41.0% バンカー率13.3%,難易度7位/18ホール中 平均スコア5.46 平均パット数2.03 パーオン率16.8% フェアウェイ率61.3% OB率39.5% バンカー率1.0%,難易度7位/18ホール中 平均スコア5.46 平均パット数2.03 パーオン率16.8% フェアウェイ率61.3% OB率39.5% バンカー率1.0%,難易度7位/18ホール中 平均スコア5.46 平均パット数2.03 パーオン率16.8% フェアウェイ率61.3% OB率39.5% バンカー率1.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：189yd,Hdcp：6,PAR：4,Reg.：315yd,Hdcp：18,PAR：5,Reg.：505yd,Hdcp：12
9,長いショートホール,長いショートホール,長いショートホール,短いミドルホール,短いミドルホール,短いミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度16位/18ホール中 平均スコア4.1 平均パット数1.97 パーオン率16.8% フェアウェイ率- OB率27.0% バンカー率-,難易度16位/18ホール中 平均スコア4.1 平均パット数1.97 パーオン率16.8% フェアウェイ率- OB率27.0% バンカー率-,難易度16位/18ホール中 平均スコア4.1 平均パット数1.97 パーオン率16.8% フェアウェイ率- OB率27.0% バンカー率-,難易度10位/18ホール中 平均スコア5.34 平均パット数2.05 パーオン率25.5% フェアウェイ率53.3% OB率40.3% バンカー率18.0%,難易度10位/18ホール中 平均スコア5.34 平均パット数2.05 パーオン率25.5% フェアウェイ率53.3% OB率40.3% バンカー率18.0%,難易度10位/18ホール中 平均スコア5.34 平均パット数2.05 パーオン率25.5% フェアウェイ率53.3% OB率40.3% バンカー率18.0%,難易度8位/18ホール中 平均スコア6.37 平均パット数1.96 パーオン率29.0% フェアウェイ率52.0% OB率50.5% バンカー率8.5%,難易度8位/18ホール中 平均スコア6.37 平均パット数1.96 パーオン率29.0% フェアウェイ率52.0% OB率50.5% バンカー率8.5%,難易度8位/18ホール中 平均スコア6.37 平均パット数1.96 パーオン率29.0% フェアウェイ率52.0% OB率50.5% バンカー率8.5%
