,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：413yd,Hdcp：3,PAR：3,Reg.：164yd,Hdcp：17,PAR：5,Reg.：520yd,Hdcp：11
1,距離のある打ち上げのタフなミドルホール,距離のある打ち上げのタフなミドルホール,距離のある打ち上げのタフなミドルホール,障害物もなく素直なショートホール,障害物もなく素直なショートホール,障害物もなく素直なショートホール,打ち下ろしのロングホール,打ち下ろしのロングホール,打ち下ろしのロングホール
2,難易度3位/18ホール中 平均スコア5.69 平均パット数1.93 パーオン率5.3% フェアウェイ率55.3% OB率38.5% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.69 平均パット数1.93 パーオン率5.3% フェアウェイ率55.3% OB率38.5% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.69 平均パット数1.93 パーオン率5.3% フェアウェイ率55.3% OB率38.5% バンカー率21.3%,難易度16位/18ホール中 平均スコア3.93 平均パット数1.94 パーオン率26.5% フェアウェイ率- OB率24.3% バンカー率11.5%,難易度16位/18ホール中 平均スコア3.93 平均パット数1.94 パーオン率26.5% フェアウェイ率- OB率24.3% バンカー率11.5%,難易度16位/18ホール中 平均スコア3.93 平均パット数1.94 パーオン率26.5% フェアウェイ率- OB率24.3% バンカー率11.5%,難易度5位/18ホール中 平均スコア6.48 平均パット数1.99 パーオン率27.3% フェアウェイ率49.3% OB率49.5% バンカー率10.8%,難易度5位/18ホール中 平均スコア6.48 平均パット数1.99 パーオン率27.3% フェアウェイ率49.3% OB率49.5% バンカー率10.8%,難易度5位/18ホール中 平均スコア6.48 平均パット数1.99 パーオン率27.3% フェアウェイ率49.3% OB率49.5% バンカー率10.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：381yd,Hdcp：1,PAR：4,Reg.：323yd,Hdcp：15,PAR：5,Reg.：531yd,Hdcp：5
5,ストレートな谷越えのミドルホール,ストレートな谷越えのミドルホール,ストレートな谷越えのミドルホール,急な左ドッグレッグのミドルホール,急な左ドッグレッグのミドルホール,急な左ドッグレッグのミドルホール,打上げて打下ろす、やや左ドッグレッグしたロング,打上げて打下ろす、やや左ドッグレッグしたロング,打上げて打下ろす、やや左ドッグレッグしたロング
6,難易度8位/18ホール中 平均スコア5.39 平均パット数1.95 パーオン率17.3% フェアウェイ率56.5% OB率37.5% バンカー率17.0%,難易度8位/18ホール中 平均スコア5.39 平均パット数1.95 パーオン率17.3% フェアウェイ率56.5% OB率37.5% バンカー率17.0%,難易度8位/18ホール中 平均スコア5.39 平均パット数1.95 パーオン率17.3% フェアウェイ率56.5% OB率37.5% バンカー率17.0%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.95 パーオン率26.8% フェアウェイ率51.8% OB率36.0% バンカー率7.5%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.95 パーオン率26.8% フェアウェイ率51.8% OB率36.0% バンカー率7.5%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.95 パーオン率26.8% フェアウェイ率51.8% OB率36.0% バンカー率7.5%,難易度2位/18ホール中 平均スコア6.62 平均パット数1.98 パーオン率18.3% フェアウェイ率57.5% OB率45.3% バンカー率18.0%,難易度2位/18ホール中 平均スコア6.62 平均パット数1.98 パーオン率18.3% フェアウェイ率57.5% OB率45.3% バンカー率18.0%,難易度2位/18ホール中 平均スコア6.62 平均パット数1.98 パーオン率18.3% フェアウェイ率57.5% OB率45.3% バンカー率18.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：184yd,Hdcp：7,PAR：4,Reg.：387yd,Hdcp：9,PAR：4,Reg.：381yd,Hdcp：13
9,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,打ち上げで左ドッグレッグのミドルホール,打ち上げで左ドッグレッグのミドルホール,打ち上げで左ドッグレッグのミドルホール,ストレートな打ち下ろしのミドルホール,ストレートな打ち下ろしのミドルホール,ストレートな打ち下ろしのミドルホール
10,難易度15位/18ホール中 平均スコア3.96 平均パット数1.94 パーオン率30.0% フェアウェイ率- OB率16.8% バンカー率16.3%,難易度15位/18ホール中 平均スコア3.96 平均パット数1.94 パーオン率30.0% フェアウェイ率- OB率16.8% バンカー率16.3%,難易度15位/18ホール中 平均スコア3.96 平均パット数1.94 パーオン率30.0% フェアウェイ率- OB率16.8% バンカー率16.3%,難易度9位/18ホール中 平均スコア5.39 平均パット数1.99 パーオン率16.3% フェアウェイ率63.3% OB率35.8% バンカー率11.3%,難易度9位/18ホール中 平均スコア5.39 平均パット数1.99 パーオン率16.3% フェアウェイ率63.3% OB率35.8% バンカー率11.3%,難易度9位/18ホール中 平均スコア5.39 平均パット数1.99 パーオン率16.3% フェアウェイ率63.3% OB率35.8% バンカー率11.3%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.96 パーオン率23.8% フェアウェイ率54.3% OB率35.8% バンカー率20.5%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.96 パーオン率23.8% フェアウェイ率54.3% OB率35.8% バンカー率20.5%,難易度10位/18ホール中 平均スコア5.3 平均パット数1.96 パーオン率23.8% フェアウェイ率54.3% OB率35.8% バンカー率20.5%
