,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：348yd,Hdcp：18,PAR：5,Reg.：552yd,Hdcp：2,PAR：4,Reg.：384yd,Hdcp：10
1,フェアウェイ広くティーショットは思い切って打てる,フェアウェイ広くティーショットは思い切って打てる,フェアウェイ広くティーショットは思い切って打てる,右に大きくドッグレッグした距離のあるロング,右に大きくドッグレッグした距離のあるロング,右に大きくドッグレッグした距離のあるロング,中国山脈が一望でき絶景が味わえる名物ホール,中国山脈が一望でき絶景が味わえる名物ホール,中国山脈が一望でき絶景が味わえる名物ホール
2,難易度14位/18ホール中 平均スコア5.13 平均パット数2.04 パーオン率30.0% フェアウェイ率57.8% OB率15.8% バンカー率23.3%,難易度14位/18ホール中 平均スコア5.13 平均パット数2.04 パーオン率30.0% フェアウェイ率57.8% OB率15.8% バンカー率23.3%,難易度14位/18ホール中 平均スコア5.13 平均パット数2.04 パーオン率30.0% フェアウェイ率57.8% OB率15.8% バンカー率23.3%,難易度3位/18ホール中 平均スコア6.61 平均パット数2.05 パーオン率20.3% フェアウェイ率52.5% OB率39.0% バンカー率11.8%,難易度3位/18ホール中 平均スコア6.61 平均パット数2.05 パーオン率20.3% フェアウェイ率52.5% OB率39.0% バンカー率11.8%,難易度3位/18ホール中 平均スコア6.61 平均パット数2.05 パーオン率20.3% フェアウェイ率52.5% OB率39.0% バンカー率11.8%,難易度9位/18ホール中 平均スコア5.3 平均パット数2.06 パーオン率30.5% フェアウェイ率47.8% OB率41.5% バンカー率19.8%,難易度9位/18ホール中 平均スコア5.3 平均パット数2.06 パーオン率30.5% フェアウェイ率47.8% OB率41.5% バンカー率19.8%,難易度9位/18ホール中 平均スコア5.3 平均パット数2.06 パーオン率30.5% フェアウェイ率47.8% OB率41.5% バンカー率19.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：197yd,Hdcp：14,PAR：5,Reg.：531yd,Hdcp：4,PAR：4,Reg.：342yd,Hdcp：12
5,距離のあるタフなショートホール,距離のあるタフなショートホール,距離のあるタフなショートホール,ティーショット落とし所により池越えの攻め方を判断,ティーショット落とし所により池越えの攻め方を判断,ティーショット落とし所により池越えの攻め方を判断,ティーショットはセンター左寄り狙いが良い,ティーショットはセンター左寄り狙いが良い,ティーショットはセンター左寄り狙いが良い
6,難易度15位/18ホール中 平均スコア4.16 平均パット数2.02 パーオン率19.0% フェアウェイ率- OB率19.8% バンカー率24.5%,難易度15位/18ホール中 平均スコア4.16 平均パット数2.02 パーオン率19.0% フェアウェイ率- OB率19.8% バンカー率24.5%,難易度15位/18ホール中 平均スコア4.16 平均パット数2.02 パーオン率19.0% フェアウェイ率- OB率19.8% バンカー率24.5%,難易度4位/18ホール中 平均スコア6.45 平均パット数2 パーオン率25.3% フェアウェイ率64.8% OB率25.8% バンカー率13.8%,難易度4位/18ホール中 平均スコア6.45 平均パット数2 パーオン率25.3% フェアウェイ率64.8% OB率25.8% バンカー率13.8%,難易度4位/18ホール中 平均スコア6.45 平均パット数2 パーオン率25.3% フェアウェイ率64.8% OB率25.8% バンカー率13.8%,難易度10位/18ホール中 平均スコア5.23 平均パット数2.07 パーオン率30.0% フェアウェイ率63.8% OB率22.8% バンカー率27.8%,難易度10位/18ホール中 平均スコア5.23 平均パット数2.07 パーオン率30.0% フェアウェイ率63.8% OB率22.8% バンカー率27.8%,難易度10位/18ホール中 平均スコア5.23 平均パット数2.07 パーオン率30.0% フェアウェイ率63.8% OB率22.8% バンカー率27.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：375yd,Hdcp：6,PAR：3,Reg.：173yd,Hdcp：16,PAR：4,Reg.：391yd,Hdcp：8
9,左右にOBゾーンがある。右サイドの池もOBゾーン,左右にOBゾーンがある。右サイドの池もOBゾーン,左右にOBゾーンがある。右サイドの池もOBゾーン,風の影響を受けやすい打ち下ろしのショート,風の影響を受けやすい打ち下ろしのショート,風の影響を受けやすい打ち下ろしのショート,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール
10,難易度8位/18ホール中 平均スコア5.34 平均パット数2.04 パーオン率24.8% フェアウェイ率59.0% OB率43.5% バンカー率19.8%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.04 パーオン率24.8% フェアウェイ率59.0% OB率43.5% バンカー率19.8%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.04 パーオン率24.8% フェアウェイ率59.0% OB率43.5% バンカー率19.8%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率30.8% フェアウェイ率- OB率33.3% バンカー率27.5%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率30.8% フェアウェイ率- OB率33.3% バンカー率27.5%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率30.8% フェアウェイ率- OB率33.3% バンカー率27.5%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.05 パーオン率22.8% フェアウェイ率51.8% OB率5.5% バンカー率27.7%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.05 パーオン率22.8% フェアウェイ率51.8% OB率5.5% バンカー率27.7%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.05 パーオン率22.8% フェアウェイ率51.8% OB率5.5% バンカー率27.7%
