,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：423yd,Hdcp：3,PAR：3,Reg.：188yd,Hdcp：7,PAR：4,Reg.：414yd,Hdcp：1
1,ティーショットはＦＷセンターがベスト！,ティーショットはＦＷセンターがベスト！,ティーショットはＦＷセンターがベスト！,風の影響を受けやすいショートホール,風の影響を受けやすいショートホール,風の影響を受けやすいショートホール,距離のある打ち降ろしのミドル、左サイドはＯＢ,距離のある打ち降ろしのミドル、左サイドはＯＢ,距離のある打ち降ろしのミドル、左サイドはＯＢ
2,難易度1位/18ホール中 平均スコア5.5 平均パット数2.02 パーオン率11.0% フェアウェイ率55.5% OB率7.3% バンカー率19.5%,難易度1位/18ホール中 平均スコア5.5 平均パット数2.02 パーオン率11.0% フェアウェイ率55.5% OB率7.3% バンカー率19.5%,難易度1位/18ホール中 平均スコア5.5 平均パット数2.02 パーオン率11.0% フェアウェイ率55.5% OB率7.3% バンカー率19.5%,難易度15位/18ホール中 平均スコア4.08 平均パット数2.07 パーオン率25.3% フェアウェイ率- OB率3.3% バンカー率33.0%,難易度15位/18ホール中 平均スコア4.08 平均パット数2.07 パーオン率25.3% フェアウェイ率- OB率3.3% バンカー率33.0%,難易度15位/18ホール中 平均スコア4.08 平均パット数2.07 パーオン率25.3% フェアウェイ率- OB率3.3% バンカー率33.0%,難易度4位/18ホール中 平均スコア5.43 平均パット数1.99 パーオン率14.5% フェアウェイ率47.5% OB率27.0% バンカー率21.8%,難易度4位/18ホール中 平均スコア5.43 平均パット数1.99 パーオン率14.5% フェアウェイ率47.5% OB率27.0% バンカー率21.8%,難易度4位/18ホール中 平均スコア5.43 平均パット数1.99 パーオン率14.5% フェアウェイ率47.5% OB率27.0% バンカー率21.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：501yd,Hdcp：11,PAR：3,Reg.：159yd,Hdcp：17,PAR：4,Reg.：381yd,Hdcp：13
5,飛ばし屋は右サイドの池まで届く可能性があり注意,飛ばし屋は右サイドの池まで届く可能性があり注意,飛ばし屋は右サイドの池まで届く可能性があり注意,右からの強烈な風が吹いた時は１番手大き目のクラブ,右からの強烈な風が吹いた時は１番手大き目のクラブ,右からの強烈な風が吹いた時は１番手大き目のクラブ,砲台グリーン、サイドに外すとアプローチ難易度ＵＰ,砲台グリーン、サイドに外すとアプローチ難易度ＵＰ,砲台グリーン、サイドに外すとアプローチ難易度ＵＰ
6,難易度5位/18ホール中 平均スコア6.33 平均パット数2.03 パーオン率27.0% フェアウェイ率49.0% OB率17.5% バンカー率27.3%,難易度5位/18ホール中 平均スコア6.33 平均パット数2.03 パーオン率27.0% フェアウェイ率49.0% OB率17.5% バンカー率27.3%,難易度5位/18ホール中 平均スコア6.33 平均パット数2.03 パーオン率27.0% フェアウェイ率49.0% OB率17.5% バンカー率27.3%,難易度18位/18ホール中 平均スコア3.84 平均パット数2.01 パーオン率42.5% フェアウェイ率- OB率6.8% バンカー率18.3%,難易度18位/18ホール中 平均スコア3.84 平均パット数2.01 パーオン率42.5% フェアウェイ率- OB率6.8% バンカー率18.3%,難易度18位/18ホール中 平均スコア3.84 平均パット数2.01 パーオン率42.5% フェアウェイ率- OB率6.8% バンカー率18.3%,難易度9位/18ホール中 平均スコア5.29 平均パット数2 パーオン率23.0% フェアウェイ率50.0% OB率21.8% バンカー率14.0%,難易度9位/18ホール中 平均スコア5.29 平均パット数2 パーオン率23.0% フェアウェイ率50.0% OB率21.8% バンカー率14.0%,難易度9位/18ホール中 平均スコア5.29 平均パット数2 パーオン率23.0% フェアウェイ率50.0% OB率21.8% バンカー率14.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：394yd,Hdcp：5,PAR：4,Reg.：356yd,Hdcp：15,PAR：5,Reg.：502yd,Hdcp：9
9,左サイドは全てＯＢで１打目やや右サイド狙い,左サイドは全てＯＢで１打目やや右サイド狙い,左サイドは全てＯＢで１打目やや右サイド狙い,左ドッグミドル、左に打ちすぎるとＧを狙えない,左ドッグミドル、左に打ちすぎるとＧを狙えない,左ドッグミドル、左に打ちすぎるとＧを狙えない,１打目が打ち降ろし、左右Ｇ手前のバンカーが難しい,１打目が打ち降ろし、左右Ｇ手前のバンカーが難しい,１打目が打ち降ろし、左右Ｇ手前のバンカーが難しい
