,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：317yd,Hdcp：,PAR：4,Reg.：352yd,Hdcp：,PAR：3,Reg.：150yd,Hdcp：
1,右ドッグレッグの短いミドルホール,右ドッグレッグの短いミドルホール,右ドッグレッグの短いミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール
2,難易度7位/9ホール中 平均スコア5.35 平均パット数2.03 パーオン率24.3% フェアウェイ率55.3% OB率33.3% バンカー率17.7%,難易度7位/9ホール中 平均スコア5.35 平均パット数2.03 パーオン率24.3% フェアウェイ率55.3% OB率33.3% バンカー率17.7%,難易度7位/9ホール中 平均スコア5.35 平均パット数2.03 パーオン率24.3% フェアウェイ率55.3% OB率33.3% バンカー率17.7%,難易度2位/9ホール中 平均スコア5.63 平均パット数1.98 パーオン率14.0% フェアウェイ率54.5% OB率50.8% バンカー率15.8%,難易度2位/9ホール中 平均スコア5.63 平均パット数1.98 パーオン率14.0% フェアウェイ率54.5% OB率50.8% バンカー率15.8%,難易度2位/9ホール中 平均スコア5.63 平均パット数1.98 パーオン率14.0% フェアウェイ率54.5% OB率50.8% バンカー率15.8%,難易度8位/9ホール中 平均スコア4.18 平均パット数1.98 パーオン率19.3% フェアウェイ率- OB率41.0% バンカー率1.0%,難易度8位/9ホール中 平均スコア4.18 平均パット数1.98 パーオン率19.3% フェアウェイ率- OB率41.0% バンカー率1.0%,難易度8位/9ホール中 平均スコア4.18 平均パット数1.98 パーオン率19.3% フェアウェイ率- OB率41.0% バンカー率1.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：480yd,Hdcp：,PAR：3,Reg.：135yd,Hdcp：,PAR：4,Reg.：290yd,Hdcp：
5,右ドッグレッグの短いロングホール,右ドッグレッグの短いロングホール,右ドッグレッグの短いロングホール,ショートホール,ショートホール,ショートホール,池越えの短いミドルホール,池越えの短いミドルホール,池越えの短いミドルホール
6,難易度5位/9ホール中 平均スコア6.24 平均パット数1.85 パーオン率28.8% フェアウェイ率49.5% OB率43.5% バンカー率17.8%,難易度5位/9ホール中 平均スコア6.24 平均パット数1.85 パーオン率28.8% フェアウェイ率49.5% OB率43.5% バンカー率17.8%,難易度5位/9ホール中 平均スコア6.24 平均パット数1.85 パーオン率28.8% フェアウェイ率49.5% OB率43.5% バンカー率17.8%,難易度9位/9ホール中 平均スコア4.15 平均パット数2.02 パーオン率19.0% フェアウェイ率- OB率16.5% バンカー率10.0%,難易度9位/9ホール中 平均スコア4.15 平均パット数2.02 パーオン率19.0% フェアウェイ率- OB率16.5% バンカー率10.0%,難易度9位/9ホール中 平均スコア4.15 平均パット数2.02 パーオン率19.0% フェアウェイ率- OB率16.5% バンカー率10.0%,難易度3位/9ホール中 平均スコア5.42 平均パット数1.93 パーオン率20.5% フェアウェイ率53.0% OB率45.8% バンカー率21.5%,難易度3位/9ホール中 平均スコア5.42 平均パット数1.93 パーオン率20.5% フェアウェイ率53.0% OB率45.8% バンカー率21.5%,難易度3位/9ホール中 平均スコア5.42 平均パット数1.93 パーオン率20.5% フェアウェイ率53.0% OB率45.8% バンカー率21.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：352yd,Hdcp：,PAR：4,Reg.：345yd,Hdcp：,PAR：5,Reg.：505yd,Hdcp：
9,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,なだらかな打ち上げのミドルホール,なだらかな打ち上げのミドルホール,なだらかな打ち上げのミドルホール,左傾斜のやや中腹狙いでフェアウェイ中央へ,左傾斜のやや中腹狙いでフェアウェイ中央へ,左傾斜のやや中腹狙いでフェアウェイ中央へ
10,難易度6位/9ホール中 平均スコア5.31 平均パット数1.97 パーオン率23.8% フェアウェイ率55.0% OB率34.3% バンカー率12.0%,難易度6位/9ホール中 平均スコア5.31 平均パット数1.97 パーオン率23.8% フェアウェイ率55.0% OB率34.3% バンカー率12.0%,難易度6位/9ホール中 平均スコア5.31 平均パット数1.97 パーオン率23.8% フェアウェイ率55.0% OB率34.3% バンカー率12.0%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.94 パーオン率14.8% フェアウェイ率49.3% OB率27.5% バンカー率3.0%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.94 パーオン率14.8% フェアウェイ率49.3% OB率27.5% バンカー率3.0%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.94 パーオン率14.8% フェアウェイ率49.3% OB率27.5% バンカー率3.0%,難易度1位/9ホール中 平均スコア6.59 平均パット数1.9 パーオン率19.0% フェアウェイ率55.3% OB率60.0% バンカー率2.0%,難易度1位/9ホール中 平均スコア6.59 平均パット数1.9 パーオン率19.0% フェアウェイ率55.3% OB率60.0% バンカー率2.0%,難易度1位/9ホール中 平均スコア6.59 平均パット数1.9 パーオン率19.0% フェアウェイ率55.3% OB率60.0% バンカー率2.0%
