,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：397yd,Hdcp：2,PAR：5,Reg.：479yd,Hdcp：5,PAR：3,Reg.：101yd,Hdcp：8
1,,,,,,,手前がＬ（左）グリーン,手前がＬ（左）グリーン,手前がＬ（左）グリーン
2,難易度3位/9ホール中 平均スコア5.65 平均パット数1.95 パーオン率5.5% フェアウェイ率45.8% OB率5.5% バンカー率15.3%,難易度3位/9ホール中 平均スコア5.65 平均パット数1.95 パーオン率5.5% フェアウェイ率45.8% OB率5.5% バンカー率15.3%,難易度3位/9ホール中 平均スコア5.65 平均パット数1.95 パーオン率5.5% フェアウェイ率45.8% OB率5.5% バンカー率15.3%,難易度5位/9ホール中 平均スコア6.39 平均パット数1.9 パーオン率20.3% フェアウェイ率44.3% OB率8.0% バンカー率24.0%,難易度5位/9ホール中 平均スコア6.39 平均パット数1.9 パーオン率20.3% フェアウェイ率44.3% OB率8.0% バンカー率24.0%,難易度5位/9ホール中 平均スコア6.39 平均パット数1.9 パーオン率20.3% フェアウェイ率44.3% OB率8.0% バンカー率24.0%,難易度8位/9ホール中 平均スコア3.9 平均パット数1.93 パーオン率31.0% フェアウェイ率- OB率20.0% バンカー率8.3%,難易度8位/9ホール中 平均スコア3.9 平均パット数1.93 パーオン率31.0% フェアウェイ率- OB率20.0% バンカー率8.3%,難易度8位/9ホール中 平均スコア3.9 平均パット数1.93 パーオン率31.0% フェアウェイ率- OB率20.0% バンカー率8.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：350yd,Hdcp：4,PAR：5,Reg.：399yd,Hdcp：1,PAR：4,Reg.：328yd,Hdcp：7
5,,,,,,,奥がＬ（左）グリーン,奥がＬ（左）グリーン,奥がＬ（左）グリーン
6,難易度2位/9ホール中 平均スコア5.68 平均パット数1.93 パーオン率8.0% フェアウェイ率52.0% OB率29.8% バンカー率5.0%,難易度2位/9ホール中 平均スコア5.68 平均パット数1.93 パーオン率8.0% フェアウェイ率52.0% OB率29.8% バンカー率5.0%,難易度2位/9ホール中 平均スコア5.68 平均パット数1.93 パーオン率8.0% フェアウェイ率52.0% OB率29.8% バンカー率5.0%,難易度4位/9ホール中 平均スコア6.52 平均パット数1.98 パーオン率23.5% フェアウェイ率43.0% OB率32.3% バンカー率30.0%,難易度4位/9ホール中 平均スコア6.52 平均パット数1.98 パーオン率23.5% フェアウェイ率43.0% OB率32.3% バンカー率30.0%,難易度4位/9ホール中 平均スコア6.52 平均パット数1.98 パーオン率23.5% フェアウェイ率43.0% OB率32.3% バンカー率30.0%,難易度6位/9ホール中 平均スコア5.22 平均パット数1.8 パーオン率19.3% フェアウェイ率53.5% OB率28.5% バンカー率15.8%,難易度6位/9ホール中 平均スコア5.22 平均パット数1.8 パーオン率19.3% フェアウェイ率53.5% OB率28.5% バンカー率15.8%,難易度6位/9ホール中 平均スコア5.22 平均パット数1.8 パーオン率19.3% フェアウェイ率53.5% OB率28.5% バンカー率15.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：387yd,Hdcp：3,PAR：4,Reg.：359yd,Hdcp：6,PAR：3,Reg.：159yd,Hdcp：9
9,,,,,,,,,
10,難易度1位/9ホール中 平均スコア5.8 平均パット数1.92 パーオン率10.5% フェアウェイ率45.8% OB率51.3% バンカー率16.0%,難易度1位/9ホール中 平均スコア5.8 平均パット数1.92 パーオン率10.5% フェアウェイ率45.8% OB率51.3% バンカー率16.0%,難易度1位/9ホール中 平均スコア5.8 平均パット数1.92 パーオン率10.5% フェアウェイ率45.8% OB率51.3% バンカー率16.0%,難易度7位/9ホール中 平均スコア5.21 平均パット数1.95 パーオン率22.8% フェアウェイ率47.8% OB率5.7% バンカー率24.8%,難易度7位/9ホール中 平均スコア5.21 平均パット数1.95 パーオン率22.8% フェアウェイ率47.8% OB率5.7% バンカー率24.8%,難易度7位/9ホール中 平均スコア5.21 平均パット数1.95 パーオン率22.8% フェアウェイ率47.8% OB率5.7% バンカー率24.8%,難易度9位/9ホール中 平均スコア3.91 平均パット数1.89 パーオン率27.3% フェアウェイ率- OB率15.8% バンカー率18.3%,難易度9位/9ホール中 平均スコア3.91 平均パット数1.89 パーオン率27.3% フェアウェイ率- OB率15.8% バンカー率18.3%,難易度9位/9ホール中 平均スコア3.91 平均パット数1.89 パーオン率27.3% フェアウェイ率- OB率15.8% バンカー率18.3%
