,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：346yd,Hdcp：15,PAR：4,Reg.：401yd,Hdcp：9,PAR：4,Reg.：416yd,Hdcp：1
1,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
2,難易度10位/18ホール中 平均スコア5.25 平均パット数2.11 パーオン率28.5% フェアウェイ率50.0% OB率5.0% バンカー率6.5%,難易度10位/18ホール中 平均スコア5.25 平均パット数2.11 パーオン率28.5% フェアウェイ率50.0% OB率5.0% バンカー率6.5%,難易度10位/18ホール中 平均スコア5.25 平均パット数2.11 パーオン率28.5% フェアウェイ率50.0% OB率5.0% バンカー率6.5%,難易度7位/18ホール中 平均スコア5.57 平均パット数2.06 パーオン率9.8% フェアウェイ率46.0% OB率3.7% バンカー率5.5%,難易度7位/18ホール中 平均スコア5.57 平均パット数2.06 パーオン率9.8% フェアウェイ率46.0% OB率3.7% バンカー率5.5%,難易度7位/18ホール中 平均スコア5.57 平均パット数2.06 パーオン率9.8% フェアウェイ率46.0% OB率3.7% バンカー率5.5%,難易度4位/18ホール中 平均スコア5.69 平均パット数2.03 パーオン率8.0% フェアウェイ率42.5% OB率14.0% バンカー率28.8%,難易度4位/18ホール中 平均スコア5.69 平均パット数2.03 パーオン率8.0% フェアウェイ率42.5% OB率14.0% バンカー率28.8%,難易度4位/18ホール中 平均スコア5.69 平均パット数2.03 パーオン率8.0% フェアウェイ率42.5% OB率14.0% バンカー率28.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：137yd,Hdcp：13,PAR：4,Reg.：324yd,Hdcp：7,PAR：3,Reg.：160yd,Hdcp：3
5,池越えのショートホール,池越えのショートホール,池越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度18位/18ホール中 平均スコア3.87 平均パット数1.99 パーオン率36.3% フェアウェイ率- OB率8.0% バンカー率25.0%,難易度18位/18ホール中 平均スコア3.87 平均パット数1.99 パーオン率36.3% フェアウェイ率- OB率8.0% バンカー率25.0%,難易度18位/18ホール中 平均スコア3.87 平均パット数1.99 パーオン率36.3% フェアウェイ率- OB率8.0% バンカー率25.0%,難易度14位/18ホール中 平均スコア5.02 平均パット数2.04 パーオン率35.5% フェアウェイ率48.3% OB率2.0% バンカー率21.3%,難易度14位/18ホール中 平均スコア5.02 平均パット数2.04 パーオン率35.5% フェアウェイ率48.3% OB率2.0% バンカー率21.3%,難易度14位/18ホール中 平均スコア5.02 平均パット数2.04 パーオン率35.5% フェアウェイ率48.3% OB率2.0% バンカー率21.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2 パーオン率27.0% フェアウェイ率- OB率4.0% バンカー率25.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2 パーオン率27.0% フェアウェイ率- OB率4.0% バンカー率25.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2 パーオン率27.0% フェアウェイ率- OB率4.0% バンカー率25.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：462yd,Hdcp：17,PAR：3,Reg.：193yd,Hdcp：11,PAR：4,Reg.：459yd,Hdcp：5
9,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,長いショートホール,長いショートホール,長いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度13位/18ホール中 平均スコア6.13 平均パット数1.91 パーオン率29.0% フェアウェイ率52.3% OB率3.5% バンカー率17.0%,難易度13位/18ホール中 平均スコア6.13 平均パット数1.91 パーオン率29.0% フェアウェイ率52.3% OB率3.5% バンカー率17.0%,難易度13位/18ホール中 平均スコア6.13 平均パット数1.91 パーオン率29.0% フェアウェイ率52.3% OB率3.5% バンカー率17.0%,難易度12位/18ホール中 平均スコア4.31 平均パット数1.96 パーオン率12.0% フェアウェイ率- OB率7.3% バンカー率2.0%,難易度12位/18ホール中 平均スコア4.31 平均パット数1.96 パーオン率12.0% フェアウェイ率- OB率7.3% バンカー率2.0%,難易度12位/18ホール中 平均スコア4.31 平均パット数1.96 パーオン率12.0% フェアウェイ率- OB率7.3% バンカー率2.0%,難易度5位/18ホール中 平均スコア5.68 平均パット数1.96 パーオン率4.8% フェアウェイ率46.3% OB率4.3% バンカー率20.8%,難易度5位/18ホール中 平均スコア5.68 平均パット数1.96 パーオン率4.8% フェアウェイ率46.3% OB率4.3% バンカー率20.8%,難易度5位/18ホール中 平均スコア5.68 平均パット数1.96 パーオン率4.8% フェアウェイ率46.3% OB率4.3% バンカー率20.8%
