,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：354yd,Hdcp：16,PAR：4,Reg.：269yd,Hdcp：12,PAR：4,Reg.：328yd,Hdcp：8
1,打ち上げ、打ち下ろし左ドッグレッグのミドルホール,打ち上げ、打ち下ろし左ドッグレッグのミドルホール,打ち上げ、打ち下ろし左ドッグレッグのミドルホール,右ドッグレッグの比較的短いミドルホール,右ドッグレッグの比較的短いミドルホール,右ドッグレッグの比較的短いミドルホール,やや緩い打ち上げのミドルホール,やや緩い打ち上げのミドルホール,やや緩い打ち上げのミドルホール
2,難易度10位/18ホール中 平均スコア5.15 平均パット数1.95 パーオン率23.5% フェアウェイ率56.3% OB率24.0% バンカー率7.5%,難易度10位/18ホール中 平均スコア5.15 平均パット数1.95 パーオン率23.5% フェアウェイ率56.3% OB率24.0% バンカー率7.5%,難易度10位/18ホール中 平均スコア5.15 平均パット数1.95 パーオン率23.5% フェアウェイ率56.3% OB率24.0% バンカー率7.5%,難易度9位/18ホール中 平均スコア5.22 平均パット数1.96 パーオン率25.8% フェアウェイ率48.8% OB率35.0% バンカー率36.0%,難易度9位/18ホール中 平均スコア5.22 平均パット数1.96 パーオン率25.8% フェアウェイ率48.8% OB率35.0% バンカー率36.0%,難易度9位/18ホール中 平均スコア5.22 平均パット数1.96 パーオン率25.8% フェアウェイ率48.8% OB率35.0% バンカー率36.0%,難易度7位/18ホール中 平均スコア5.37 平均パット数1.97 パーオン率18.8% フェアウェイ率48.0% OB率33.3% バンカー率19.3%,難易度7位/18ホール中 平均スコア5.37 平均パット数1.97 パーオン率18.8% フェアウェイ率48.0% OB率33.3% バンカー率19.3%,難易度7位/18ホール中 平均スコア5.37 平均パット数1.97 パーオン率18.8% フェアウェイ率48.0% OB率33.3% バンカー率19.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：492yd,Hdcp：2,PAR：3,Reg.：153yd,Hdcp：14,PAR：4,Reg.：349yd,Hdcp：10
5,打ち下ろし、やや打ち上げのロングホール,打ち下ろし、やや打ち上げのロングホール,打ち下ろし、やや打ち上げのロングホール,フラットなショートホール,フラットなショートホール,フラットなショートホール,打ち下ろし、打ち上げのミドルホール,打ち下ろし、打ち上げのミドルホール,打ち下ろし、打ち上げのミドルホール
6,難易度4位/18ホール中 平均スコア6.38 平均パット数2.01 パーオン率23.3% フェアウェイ率43.8% OB率21.8% バンカー率28.5%,難易度4位/18ホール中 平均スコア6.38 平均パット数2.01 パーオン率23.3% フェアウェイ率43.8% OB率21.8% バンカー率28.5%,難易度4位/18ホール中 平均スコア6.38 平均パット数2.01 パーオン率23.3% フェアウェイ率43.8% OB率21.8% バンカー率28.5%,難易度15位/18ホール中 平均スコア4.09 平均パット数2 パーオン率25.5% フェアウェイ率- OB率33.7% バンカー率26.3%,難易度15位/18ホール中 平均スコア4.09 平均パット数2 パーオン率25.5% フェアウェイ率- OB率33.7% バンカー率26.3%,難易度15位/18ホール中 平均スコア4.09 平均パット数2 パーオン率25.5% フェアウェイ率- OB率33.7% バンカー率26.3%,難易度8位/18ホール中 平均スコア5.3 平均パット数2.05 パーオン率24.8% フェアウェイ率49.3% OB率28.0% バンカー率23.8%,難易度8位/18ホール中 平均スコア5.3 平均パット数2.05 パーオン率24.8% フェアウェイ率49.3% OB率28.0% バンカー率23.8%,難易度8位/18ホール中 平均スコア5.3 平均パット数2.05 パーオン率24.8% フェアウェイ率49.3% OB率28.0% バンカー率23.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：161yd,Hdcp：4,PAR：5,Reg.：466yd,Hdcp：18,PAR：4,Reg.：354yd,Hdcp：6
9,やや砲台で二段グリーンのショートホール,やや砲台で二段グリーンのショートホール,やや砲台で二段グリーンのショートホール,距離の短いロングホール,距離の短いロングホール,距離の短いロングホール,打ち上げ、右ドッグレッグのミドルホール,打ち上げ、右ドッグレッグのミドルホール,打ち上げ、右ドッグレッグのミドルホール
10,難易度16位/18ホール中 平均スコア4.07 平均パット数1.91 パーオン率20.8% フェアウェイ率- OB率24.0% バンカー率24.3%,難易度16位/18ホール中 平均スコア4.07 平均パット数1.91 パーオン率20.8% フェアウェイ率- OB率24.0% バンカー率24.3%,難易度16位/18ホール中 平均スコア4.07 平均パット数1.91 パーオン率20.8% フェアウェイ率- OB率24.0% バンカー率24.3%,難易度12位/18ホール中 平均スコア6.02 平均パット数1.98 パーオン率43.0% フェアウェイ率50.5% OB率39.3% バンカー率34.3%,難易度12位/18ホール中 平均スコア6.02 平均パット数1.98 パーオン率43.0% フェアウェイ率50.5% OB率39.3% バンカー率34.3%,難易度12位/18ホール中 平均スコア6.02 平均パット数1.98 パーオン率43.0% フェアウェイ率50.5% OB率39.3% バンカー率34.3%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.94 パーオン率14.5% フェアウェイ率41.3% OB率34.8% バンカー率23.8%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.94 パーオン率14.5% フェアウェイ率41.3% OB率34.8% バンカー率23.8%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.94 パーオン率14.5% フェアウェイ率41.3% OB率34.8% バンカー率23.8%
