,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：317yd,Hdcp：9,PAR：4,Reg.：312yd,Hdcp：3,PAR：5,Reg.：456yd,Hdcp：5
1,大きい２段グリーン、打ち上げのミドルホール,大きい２段グリーン、打ち上げのミドルホール,大きい２段グリーン、打ち上げのミドルホール,谷越え左ドッグレッグのミドルホール,谷越え左ドッグレッグのミドルホール,谷越え左ドッグレッグのミドルホール,打ち上げ、高台グリーンのロングホール,打ち上げ、高台グリーンのロングホール,打ち上げ、高台グリーンのロングホール
2,難易度4位/18ホール中 平均スコア5.39 平均パット数2.08 パーオン率18.0% フェアウェイ率50.0% OB率26.5% バンカー率2.0%,難易度4位/18ホール中 平均スコア5.39 平均パット数2.08 パーオン率18.0% フェアウェイ率50.0% OB率26.5% バンカー率2.0%,難易度4位/18ホール中 平均スコア5.39 平均パット数2.08 パーオン率18.0% フェアウェイ率50.0% OB率26.5% バンカー率2.0%,難易度5位/18ホール中 平均スコア5.4 平均パット数2 パーオン率16.3% フェアウェイ率49.5% OB率31.3% バンカー率9.8%,難易度5位/18ホール中 平均スコア5.4 平均パット数2 パーオン率16.3% フェアウェイ率49.5% OB率31.3% バンカー率9.8%,難易度5位/18ホール中 平均スコア5.4 平均パット数2 パーオン率16.3% フェアウェイ率49.5% OB率31.3% バンカー率9.8%,難易度6位/18ホール中 平均スコア6.36 平均パット数2.02 パーオン率25.3% フェアウェイ率50.8% OB率28.5% バンカー率19.3%,難易度6位/18ホール中 平均スコア6.36 平均パット数2.02 パーオン率25.3% フェアウェイ率50.8% OB率28.5% バンカー率19.3%,難易度6位/18ホール中 平均スコア6.36 平均パット数2.02 パーオン率25.3% フェアウェイ率50.8% OB率28.5% バンカー率19.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：330yd,Hdcp：13,PAR：3,Reg.：127yd,Hdcp：15,PAR：4,Reg.：315yd,Hdcp：11
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,グリーンの狭い打ち下ろしのショートホール,グリーンの狭い打ち下ろしのショートホール,グリーンの狭い打ち下ろしのショートホール,打ち上げ、左ドッグレッグのミドルホール,打ち上げ、左ドッグレッグのミドルホール,打ち上げ、左ドッグレッグのミドルホール
6,難易度15位/18ホール中 平均スコア5.01 平均パット数2.1 パーオン率41.5% フェアウェイ率59.5% OB率17.8% バンカー率16.3%,難易度15位/18ホール中 平均スコア5.01 平均パット数2.1 パーオン率41.5% フェアウェイ率59.5% OB率17.8% バンカー率16.3%,難易度15位/18ホール中 平均スコア5.01 平均パット数2.1 パーオン率41.5% フェアウェイ率59.5% OB率17.8% バンカー率16.3%,難易度18位/18ホール中 平均スコア3.77 平均パット数2.09 パーオン率44.5% フェアウェイ率- OB率2.3% バンカー率8.8%,難易度18位/18ホール中 平均スコア3.77 平均パット数2.09 パーオン率44.5% フェアウェイ率- OB率2.3% バンカー率8.8%,難易度18位/18ホール中 平均スコア3.77 平均パット数2.09 パーオン率44.5% フェアウェイ率- OB率2.3% バンカー率8.8%,難易度12位/18ホール中 平均スコア5.18 平均パット数2.02 パーオン率23.0% フェアウェイ率55.0% OB率9.5% バンカー率21.5%,難易度12位/18ホール中 平均スコア5.18 平均パット数2.02 パーオン率23.0% フェアウェイ率55.0% OB率9.5% バンカー率21.5%,難易度12位/18ホール中 平均スコア5.18 平均パット数2.02 パーオン率23.0% フェアウェイ率55.0% OB率9.5% バンカー率21.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：172yd,Hdcp：7,PAR：5,Reg.：508yd,Hdcp：1,PAR：4,Reg.：288yd,Hdcp：17
9,長いショートホール,長いショートホール,長いショートホール,グリーンが広いＳ字のロングホール,グリーンが広いＳ字のロングホール,グリーンが広いＳ字のロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度14位/18ホール中 平均スコア4.19 平均パット数2.14 パーオン率20.5% フェアウェイ率- OB率12.7% バンカー率21.5%,難易度14位/18ホール中 平均スコア4.19 平均パット数2.14 パーオン率20.5% フェアウェイ率- OB率12.7% バンカー率21.5%,難易度14位/18ホール中 平均スコア4.19 平均パット数2.14 パーオン率20.5% フェアウェイ率- OB率12.7% バンカー率21.5%,難易度2位/18ホール中 平均スコア6.54 平均パット数2.08 パーオン率19.0% フェアウェイ率47.5% OB率23.3% バンカー率15.0%,難易度2位/18ホール中 平均スコア6.54 平均パット数2.08 パーオン率19.0% フェアウェイ率47.5% OB率23.3% バンカー率15.0%,難易度2位/18ホール中 平均スコア6.54 平均パット数2.08 パーオン率19.0% フェアウェイ率47.5% OB率23.3% バンカー率15.0%,難易度13位/18ホール中 平均スコア5.2 平均パット数1.97 パーオン率23.5% フェアウェイ率59.3% OB率19.0% バンカー率5.0%,難易度13位/18ホール中 平均スコア5.2 平均パット数1.97 パーオン率23.5% フェアウェイ率59.3% OB率19.0% バンカー率5.0%,難易度13位/18ホール中 平均スコア5.2 平均パット数1.97 パーオン率23.5% フェアウェイ率59.3% OB率19.0% バンカー率5.0%
