,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：394yd,Hdcp：4,PAR：5,Reg.：514yd,Hdcp：8,PAR：4,Reg.：286yd,Hdcp：12
1,右はOB　左は美しい松林だが隣は18Hへ落ちやすい,右はOB　左は美しい松林だが隣は18Hへ落ちやすい,右はOB　左は美しい松林だが隣は18Hへ落ちやすい,比較的平坦なロングホール,比較的平坦なロングホール,比較的平坦なロングホール,池とグリーンの配置が美しい名物ホール,池とグリーンの配置が美しい名物ホール,池とグリーンの配置が美しい名物ホール
2,難易度9位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率17.5% フェアウェイ率50.8% OB率20.3% バンカー率22.5%,難易度9位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率17.5% フェアウェイ率50.8% OB率20.3% バンカー率22.5%,難易度9位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率17.5% フェアウェイ率50.8% OB率20.3% バンカー率22.5%,難易度10位/18ホール中 平均スコア6.27 平均パット数2.05 パーオン率29.8% フェアウェイ率42.3% OB率3.8% バンカー率41.8%,難易度10位/18ホール中 平均スコア6.27 平均パット数2.05 パーオン率29.8% フェアウェイ率42.3% OB率3.8% バンカー率41.8%,難易度10位/18ホール中 平均スコア6.27 平均パット数2.05 パーオン率29.8% フェアウェイ率42.3% OB率3.8% バンカー率41.8%,難易度13位/18ホール中 平均スコア5.14 平均パット数2.07 パーオン率37.0% フェアウェイ率47.5% OB率3.7% バンカー率20.0%,難易度13位/18ホール中 平均スコア5.14 平均パット数2.07 パーオン率37.0% フェアウェイ率47.5% OB率3.7% バンカー率20.0%,難易度13位/18ホール中 平均スコア5.14 平均パット数2.07 パーオン率37.0% フェアウェイ率47.5% OB率3.7% バンカー率20.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：352yd,Hdcp：2,PAR：3,Reg.：181yd,Hdcp：14,PAR：4,Reg.：355yd,Hdcp：16
5,打ちあげのミドルホール,打ちあげのミドルホール,打ちあげのミドルホール,打ちおろしのショートホール,打ちおろしのショートホール,打ちおろしのショートホール,桜島を目指して打つフラットなミドルホール,桜島を目指して打つフラットなミドルホール,桜島を目指して打つフラットなミドルホール
6,難易度11位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率22.3% フェアウェイ率52.5% OB率13.3% バンカー率33.5%,難易度11位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率22.3% フェアウェイ率52.5% OB率13.3% バンカー率33.5%,難易度11位/18ホール中 平均スコア5.29 平均パット数2.01 パーオン率22.3% フェアウェイ率52.5% OB率13.3% バンカー率33.5%,難易度14位/18ホール中 平均スコア4.18 平均パット数2.08 パーオン率23.8% フェアウェイ率- OB率13.3% バンカー率35.3%,難易度14位/18ホール中 平均スコア4.18 平均パット数2.08 パーオン率23.8% フェアウェイ率- OB率13.3% バンカー率35.3%,難易度14位/18ホール中 平均スコア4.18 平均パット数2.08 パーオン率23.8% フェアウェイ率- OB率13.3% バンカー率35.3%,難易度15位/18ホール中 平均スコア5.11 平均パット数2 パーオン率31.5% フェアウェイ率53.5% OB率23.8% バンカー率23.5%,難易度15位/18ホール中 平均スコア5.11 平均パット数2 パーオン率31.5% フェアウェイ率53.5% OB率23.8% バンカー率23.5%,難易度15位/18ホール中 平均スコア5.11 平均パット数2 パーオン率31.5% フェアウェイ率53.5% OB率23.8% バンカー率23.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：509yd,Hdcp：10,PAR：3,Reg.：133yd,Hdcp：18,PAR：4,Reg.：415yd,Hdcp：6
9,豪快に打ちおろすロングホール,豪快に打ちおろすロングホール,豪快に打ちおろすロングホール,比較的易しい池越えのショートホール,比較的易しい池越えのショートホール,比較的易しい池越えのショートホール,ティーショットはFWセンター左寄りが良い,ティーショットはFWセンター左寄りが良い,ティーショットはFWセンター左寄りが良い
10,難易度6位/18ホール中 平均スコア6.44 平均パット数2.15 パーオン率30.3% フェアウェイ率47.3% OB率28.3% バンカー率36.0%,難易度6位/18ホール中 平均スコア6.44 平均パット数2.15 パーオン率30.3% フェアウェイ率47.3% OB率28.3% バンカー率36.0%,難易度6位/18ホール中 平均スコア6.44 平均パット数2.15 パーオン率30.3% フェアウェイ率47.3% OB率28.3% バンカー率36.0%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.06 パーオン率43.0% フェアウェイ率- OB率8.0% バンカー率22.8%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.06 パーオン率43.0% フェアウェイ率- OB率8.0% バンカー率22.8%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.06 パーオン率43.0% フェアウェイ率- OB率8.0% バンカー率22.8%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.13 パーオン率11.8% フェアウェイ率40.8% OB率3.0% バンカー率37.8%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.13 パーオン率11.8% フェアウェイ率40.8% OB率3.0% バンカー率37.8%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.13 パーオン率11.8% フェアウェイ率40.8% OB率3.0% バンカー率37.8%
