,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：394yd,Hdcp：9,PAR：4,Reg.：324yd,Hdcp：11,PAR：3,Reg.：173yd,Hdcp：15
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度4位/18ホール中 平均スコア5.46 平均パット数2.09 パーオン率16.5% フェアウェイ率46.0% OB率21.0% バンカー率16.0%,難易度4位/18ホール中 平均スコア5.46 平均パット数2.09 パーオン率16.5% フェアウェイ率46.0% OB率21.0% バンカー率16.0%,難易度4位/18ホール中 平均スコア5.46 平均パット数2.09 パーオン率16.5% フェアウェイ率46.0% OB率21.0% バンカー率16.0%,難易度11位/18ホール中 平均スコア5.13 平均パット数2.1 パーオン率31.8% フェアウェイ率41.0% OB率19.5% バンカー率31.0%,難易度11位/18ホール中 平均スコア5.13 平均パット数2.1 パーオン率31.8% フェアウェイ率41.0% OB率19.5% バンカー率31.0%,難易度11位/18ホール中 平均スコア5.13 平均パット数2.1 パーオン率31.8% フェアウェイ率41.0% OB率19.5% バンカー率31.0%,難易度16位/18ホール中 平均スコア3.82 平均パット数1.98 パーオン率32.8% フェアウェイ率- OB率6.5% バンカー率-,難易度16位/18ホール中 平均スコア3.82 平均パット数1.98 パーオン率32.8% フェアウェイ率- OB率6.5% バンカー率-,難易度16位/18ホール中 平均スコア3.82 平均パット数1.98 パーオン率32.8% フェアウェイ率- OB率6.5% バンカー率-
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：533yd,Hdcp：7,PAR：4,Reg.：408yd,Hdcp：5,PAR：5,Reg.：461yd,Hdcp：17
5,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
6,難易度7位/18ホール中 平均スコア6.31 平均パット数2.14 パーオン率32.8% フェアウェイ率41.3% OB率40.5% バンカー率15.3%,難易度7位/18ホール中 平均スコア6.31 平均パット数2.14 パーオン率32.8% フェアウェイ率41.3% OB率40.5% バンカー率15.3%,難易度7位/18ホール中 平均スコア6.31 平均パット数2.14 パーオン率32.8% フェアウェイ率41.3% OB率40.5% バンカー率15.3%,難易度6位/18ホール中 平均スコア5.44 平均パット数2.14 パーオン率24.3% フェアウェイ率38.8% OB率39.8% バンカー率-,難易度6位/18ホール中 平均スコア5.44 平均パット数2.14 パーオン率24.3% フェアウェイ率38.8% OB率39.8% バンカー率-,難易度6位/18ホール中 平均スコア5.44 平均パット数2.14 パーオン率24.3% フェアウェイ率38.8% OB率39.8% バンカー率-,難易度12位/18ホール中 平均スコア6.08 平均パット数2.11 パーオン率46.0% フェアウェイ率46.8% OB率44.5% バンカー率15.8%,難易度12位/18ホール中 平均スコア6.08 平均パット数2.11 パーオン率46.0% フェアウェイ率46.8% OB率44.5% バンカー率15.8%,難易度12位/18ホール中 平均スコア6.08 平均パット数2.11 パーオン率46.0% フェアウェイ率46.8% OB率44.5% バンカー率15.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：392yd,Hdcp：3,PAR：3,Reg.：150yd,Hdcp：13,PAR：4,Reg.：423yd,Hdcp：1
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度5位/18ホール中 平均スコア5.5 平均パット数2.04 パーオン率19.7% フェアウェイ率34.3% OB率31.0% バンカー率24.8%,難易度5位/18ホール中 平均スコア5.5 平均パット数2.04 パーオン率19.7% フェアウェイ率34.3% OB率31.0% バンカー率24.8%,難易度5位/18ホール中 平均スコア5.5 平均パット数2.04 パーオン率19.7% フェアウェイ率34.3% OB率31.0% バンカー率24.8%,難易度17位/18ホール中 平均スコア3.92 平均パット数1.97 パーオン率32.0% フェアウェイ率- OB率3.0% バンカー率37.0%,難易度17位/18ホール中 平均スコア3.92 平均パット数1.97 パーオン率32.0% フェアウェイ率- OB率3.0% バンカー率37.0%,難易度17位/18ホール中 平均スコア3.92 平均パット数1.97 パーオン率32.0% フェアウェイ率- OB率3.0% バンカー率37.0%,難易度3位/18ホール中 平均スコア5.45 平均パット数2.19 パーオン率21.0% フェアウェイ率29.0% OB率8.3% バンカー率13.8%,難易度3位/18ホール中 平均スコア5.45 平均パット数2.19 パーオン率21.0% フェアウェイ率29.0% OB率8.3% バンカー率13.8%,難易度3位/18ホール中 平均スコア5.45 平均パット数2.19 パーオン率21.0% フェアウェイ率29.0% OB率8.3% バンカー率13.8%
