,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：476yd,Hdcp：1,PAR：4,Reg.：264yd,Hdcp：6,PAR：4,Reg.：306yd,Hdcp：5
1,第一打は右サイドバンカーを避けること,第一打は右サイドバンカーを避けること,第一打は右サイドバンカーを避けること,距離に自信のある人は右バンカー狙い,距離に自信のある人は右バンカー狙い,距離に自信のある人は右バンカー狙い,右前方の谷に注意　谷の手前に第一打がベスト,右前方の谷に注意　谷の手前に第一打がベスト,右前方の谷に注意　谷の手前に第一打がベスト
2,難易度4位/9ホール中 平均スコア6.29 平均パット数1.93 パーオン率25.5% フェアウェイ率44.8% OB率22.5% バンカー率22.8%,難易度4位/9ホール中 平均スコア6.29 平均パット数1.93 パーオン率25.5% フェアウェイ率44.8% OB率22.5% バンカー率22.8%,難易度4位/9ホール中 平均スコア6.29 平均パット数1.93 パーオン率25.5% フェアウェイ率44.8% OB率22.5% バンカー率22.8%,難易度7位/9ホール中 平均スコア5.01 平均パット数1.95 パーオン率32.5% フェアウェイ率51.5% OB率23.3% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.01 平均パット数1.95 パーオン率32.5% フェアウェイ率51.5% OB率23.3% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.01 平均パット数1.95 パーオン率32.5% フェアウェイ率51.5% OB率23.3% バンカー率17.0%,難易度3位/9ホール中 平均スコア5.46 平均パット数1.92 パーオン率13.8% フェアウェイ率46.0% OB率41.5% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.46 平均パット数1.92 パーオン率13.8% フェアウェイ率46.0% OB率41.5% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.46 平均パット数1.92 パーオン率13.8% フェアウェイ率46.0% OB率41.5% バンカー率16.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：306yd,Hdcp：4,PAR：3,Reg.：150yd,Hdcp：8,PAR：5,Reg.：461yd,Hdcp：2
5,打ち上げのミドルホール　第二打の距離感に注意,打ち上げのミドルホール　第二打の距離感に注意,打ち上げのミドルホール　第二打の距離感に注意,短めのクラブを持って下さい,短めのクラブを持って下さい,短めのクラブを持って下さい,ストレートなロングホール　飛ばし屋は２オン可,ストレートなロングホール　飛ばし屋は２オン可,ストレートなロングホール　飛ばし屋は２オン可
6,難易度5位/9ホール中 平均スコア5.34 平均パット数1.91 パーオン率18.8% フェアウェイ率56.0% OB率38.3% バンカー率17.3%,難易度5位/9ホール中 平均スコア5.34 平均パット数1.91 パーオン率18.8% フェアウェイ率56.0% OB率38.3% バンカー率17.3%,難易度5位/9ホール中 平均スコア5.34 平均パット数1.91 パーオン率18.8% フェアウェイ率56.0% OB率38.3% バンカー率17.3%,難易度8位/9ホール中 平均スコア3.86 平均パット数1.99 パーオン率35.8% フェアウェイ率- OB率9.0% バンカー率14.5%,難易度8位/9ホール中 平均スコア3.86 平均パット数1.99 パーオン率35.8% フェアウェイ率- OB率9.0% バンカー率14.5%,難易度8位/9ホール中 平均スコア3.86 平均パット数1.99 パーオン率35.8% フェアウェイ率- OB率9.0% バンカー率14.5%,難易度2位/9ホール中 平均スコア6.42 平均パット数1.97 パーオン率21.8% フェアウェイ率50.0% OB率35.8% バンカー率11.3%,難易度2位/9ホール中 平均スコア6.42 平均パット数1.97 パーオン率21.8% フェアウェイ率50.0% OB率35.8% バンカー率11.3%,難易度2位/9ホール中 平均スコア6.42 平均パット数1.97 パーオン率21.8% フェアウェイ率50.0% OB率35.8% バンカー率11.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：352yd,Hdcp：3,PAR：4,Reg.：258yd,Hdcp：7,PAR：3,Reg.：105yd,Hdcp：9
9,フェアウェイの狭いミドルホール,フェアウェイの狭いミドルホール,フェアウェイの狭いミドルホール,左ドッグのミドルホール,左ドッグのミドルホール,左ドッグのミドルホール,サービスショートホール,サービスショートホール,サービスショートホール
10,難易度1位/9ホール中 平均スコア5.56 平均パット数1.9 パーオン率11.0% フェアウェイ率45.5% OB率32.8% バンカー率17.0%,難易度1位/9ホール中 平均スコア5.56 平均パット数1.9 パーオン率11.0% フェアウェイ率45.5% OB率32.8% バンカー率17.0%,難易度1位/9ホール中 平均スコア5.56 平均パット数1.9 パーオン率11.0% フェアウェイ率45.5% OB率32.8% バンカー率17.0%,難易度6位/9ホール中 平均スコア5.17 平均パット数1.89 パーオン率26.8% フェアウェイ率51.3% OB率36.5% バンカー率16.0%,難易度6位/9ホール中 平均スコア5.17 平均パット数1.89 パーオン率26.8% フェアウェイ率51.3% OB率36.5% バンカー率16.0%,難易度6位/9ホール中 平均スコア5.17 平均パット数1.89 パーオン率26.8% フェアウェイ率51.3% OB率36.5% バンカー率16.0%,難易度9位/9ホール中 平均スコア3.72 平均パット数1.84 パーオン率32.0% フェアウェイ率- OB率7.8% バンカー率17.0%,難易度9位/9ホール中 平均スコア3.72 平均パット数1.84 パーオン率32.0% フェアウェイ率- OB率7.8% バンカー率17.0%,難易度9位/9ホール中 平均スコア3.72 平均パット数1.84 パーオン率32.0% フェアウェイ率- OB率7.8% バンカー率17.0%
