,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：374yd,Hdcp：13,PAR：4,Reg.：400yd,Hdcp：3,PAR：4,Reg.：353yd,Hdcp：1
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度1位/18ホール中 平均スコア5.6 平均パット数2.01 パーオン率10.3% フェアウェイ率62.0% OB率36.5% バンカー率1.7%,難易度1位/18ホール中 平均スコア5.6 平均パット数2.01 パーオン率10.3% フェアウェイ率62.0% OB率36.5% バンカー率1.7%,難易度1位/18ホール中 平均スコア5.6 平均パット数2.01 パーオン率10.3% フェアウェイ率62.0% OB率36.5% バンカー率1.7%,難易度3位/18ホール中 平均スコア5.5 平均パット数2.02 パーオン率12.5% フェアウェイ率67.3% OB率23.8% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.5 平均パット数2.02 パーオン率12.5% フェアウェイ率67.3% OB率23.8% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.5 平均パット数2.02 パーオン率12.5% フェアウェイ率67.3% OB率23.8% バンカー率21.3%,難易度9位/18ホール中 平均スコア5.11 平均パット数1.89 パーオン率22.0% フェアウェイ率68.3% OB率13.0% バンカー率28.8%,難易度9位/18ホール中 平均スコア5.11 平均パット数1.89 パーオン率22.0% フェアウェイ率68.3% OB率13.0% バンカー率28.8%,難易度9位/18ホール中 平均スコア5.11 平均パット数1.89 パーオン率22.0% フェアウェイ率68.3% OB率13.0% バンカー率28.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：165yd,Hdcp：17,PAR：4,Reg.：371yd,Hdcp：11,PAR：5,Reg.：515yd,Hdcp：5
5,,,,長いミドルホール,長いミドルホール,長いミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
6,難易度15位/18ホール中 平均スコア4.1 平均パット数2.03 パーオン率22.3% フェアウェイ率- OB率9.0% バンカー率26.3%,難易度15位/18ホール中 平均スコア4.1 平均パット数2.03 パーオン率22.3% フェアウェイ率- OB率9.0% バンカー率26.3%,難易度15位/18ホール中 平均スコア4.1 平均パット数2.03 パーオン率22.3% フェアウェイ率- OB率9.0% バンカー率26.3%,難易度8位/18ホール中 平均スコア5.25 平均パット数1.95 パーオン率20.3% フェアウェイ率66.8% OB率21.5% バンカー率26.0%,難易度8位/18ホール中 平均スコア5.25 平均パット数1.95 パーオン率20.3% フェアウェイ率66.8% OB率21.5% バンカー率26.0%,難易度8位/18ホール中 平均スコア5.25 平均パット数1.95 パーオン率20.3% フェアウェイ率66.8% OB率21.5% バンカー率26.0%,難易度6位/18ホール中 平均スコア6.28 平均パット数2.03 パーオン率27.5% フェアウェイ率51.0% OB率40.3% バンカー率10.8%,難易度6位/18ホール中 平均スコア6.28 平均パット数2.03 パーオン率27.5% フェアウェイ率51.0% OB率40.3% バンカー率10.8%,難易度6位/18ホール中 平均スコア6.28 平均パット数2.03 パーオン率27.5% フェアウェイ率51.0% OB率40.3% バンカー率10.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：194yd,Hdcp：7,PAR：5,Reg.：507yd,Hdcp：15,PAR：4,Reg.：368yd,Hdcp：9
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度18位/18ホール中 平均スコア3.96 平均パット数2.02 パーオン率26.3% フェアウェイ率- OB率6.8% バンカー率2.3%,難易度18位/18ホール中 平均スコア3.96 平均パット数2.02 パーオン率26.3% フェアウェイ率- OB率6.8% バンカー率2.3%,難易度18位/18ホール中 平均スコア3.96 平均パット数2.02 パーオン率26.3% フェアウェイ率- OB率6.8% バンカー率2.3%,難易度16位/18ホール中 平均スコア6.01 平均パット数2.02 パーオン率38.3% フェアウェイ率63.8% OB率20.3% バンカー率27.5%,難易度16位/18ホール中 平均スコア6.01 平均パット数2.02 パーオン率38.3% フェアウェイ率63.8% OB率20.3% バンカー率27.5%,難易度16位/18ホール中 平均スコア6.01 平均パット数2.02 パーオン率38.3% フェアウェイ率63.8% OB率20.3% バンカー率27.5%,難易度17位/18ホール中 平均スコア5.02 平均パット数1.95 パーオン率30.0% フェアウェイ率60.8% OB率19.8% バンカー率17.8%,難易度17位/18ホール中 平均スコア5.02 平均パット数1.95 パーオン率30.0% フェアウェイ率60.8% OB率19.8% バンカー率17.8%,難易度17位/18ホール中 平均スコア5.02 平均パット数1.95 パーオン率30.0% フェアウェイ率60.8% OB率19.8% バンカー率17.8%
