,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：363yd,Hdcp：8,PAR：4,Reg.：300yd,Hdcp：16,PAR：5,Reg.：490yd,Hdcp：6
1,第１打は左、一本松方向へ　そこからグリーンねらい,第１打は左、一本松方向へ　そこからグリーンねらい,第１打は左、一本松方向へ　そこからグリーンねらい,宮津湾が一望できる豪快な打ち下ろしの名物ホール,宮津湾が一望できる豪快な打ち下ろしの名物ホール,宮津湾が一望できる豪快な打ち下ろしの名物ホール,広々としておりドラコン推薦ホール　途中左側にＯＢ,広々としておりドラコン推薦ホール　途中左側にＯＢ,広々としておりドラコン推薦ホール　途中左側にＯＢ
2,難易度9位/18ホール中 平均スコア5.28 平均パット数1.87 パーオン率12.8% フェアウェイ率53.0% OB率36.0% バンカー率39.3%,難易度9位/18ホール中 平均スコア5.28 平均パット数1.87 パーオン率12.8% フェアウェイ率53.0% OB率36.0% バンカー率39.3%,難易度9位/18ホール中 平均スコア5.28 平均パット数1.87 パーオン率12.8% フェアウェイ率53.0% OB率36.0% バンカー率39.3%,難易度12位/18ホール中 平均スコア5.12 平均パット数1.95 パーオン率38.0% フェアウェイ率59.0% OB率61.0% バンカー率13.3%,難易度12位/18ホール中 平均スコア5.12 平均パット数1.95 パーオン率38.0% フェアウェイ率59.0% OB率61.0% バンカー率13.3%,難易度12位/18ホール中 平均スコア5.12 平均パット数1.95 パーオン率38.0% フェアウェイ率59.0% OB率61.0% バンカー率13.3%,難易度8位/18ホール中 平均スコア6.23 平均パット数1.96 パーオン率35.0% フェアウェイ率56.5% OB率45.3% バンカー率43.5%,難易度8位/18ホール中 平均スコア6.23 平均パット数1.96 パーオン率35.0% フェアウェイ率56.5% OB率45.3% バンカー率43.5%,難易度8位/18ホール中 平均スコア6.23 平均パット数1.96 パーオン率35.0% フェアウェイ率56.5% OB率45.3% バンカー率43.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：142yd,Hdcp：18,PAR：4,Reg.：364yd,Hdcp：14,PAR：4,Reg.：398yd,Hdcp：4
5,グリーン左奥が狭くこぼれるとＯＢの可能性有,グリーン左奥が狭くこぼれるとＯＢの可能性有,グリーン左奥が狭くこぼれるとＯＢの可能性有,谷越えのミドルホール　中央の松ねらいがポイント,谷越えのミドルホール　中央の松ねらいがポイント,谷越えのミドルホール　中央の松ねらいがポイント,谷越えのミドル　左右広くフルショットが満喫できる,谷越えのミドル　左右広くフルショットが満喫できる,谷越えのミドル　左右広くフルショットが満喫できる
6,難易度18位/18ホール中 平均スコア3.98 平均パット数2 パーオン率33.5% フェアウェイ率- OB率34.7% バンカー率22.7%,難易度18位/18ホール中 平均スコア3.98 平均パット数2 パーオン率33.5% フェアウェイ率- OB率34.7% バンカー率22.7%,難易度18位/18ホール中 平均スコア3.98 平均パット数2 パーオン率33.5% フェアウェイ率- OB率34.7% バンカー率22.7%,難易度11位/18ホール中 平均スコア5.19 平均パット数2 パーオン率29.3% フェアウェイ率54.3% OB率39.0% バンカー率44.8%,難易度11位/18ホール中 平均スコア5.19 平均パット数2 パーオン率29.3% フェアウェイ率54.3% OB率39.0% バンカー率44.8%,難易度11位/18ホール中 平均スコア5.19 平均パット数2 パーオン率29.3% フェアウェイ率54.3% OB率39.0% バンカー率44.8%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.98 パーオン率12.5% フェアウェイ率54.8% OB率56.0% バンカー率12.3%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.98 パーオン率12.5% フェアウェイ率54.8% OB率56.0% バンカー率12.3%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.98 パーオン率12.5% フェアウェイ率54.8% OB率56.0% バンカー率12.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：400yd,Hdcp：2,PAR：3,Reg.：180yd,Hdcp：12,PAR：5,Reg.：508yd,Hdcp：10
9,右側に注意　やや左側からの攻めがよい,右側に注意　やや左側からの攻めがよい,右側に注意　やや左側からの攻めがよい,距離のあるショートホール　確実な２オン狙いもよい,距離のあるショートホール　確実な２オン狙いもよい,距離のあるショートホール　確実な２オン狙いもよい,池越えのロングホール　中央ねらいがポイント,池越えのロングホール　中央ねらいがポイント,池越えのロングホール　中央ねらいがポイント
