,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：363yd,Hdcp：11,PAR：5,Reg.：464yd,Hdcp：1,PAR：4,Reg.：318yd,Hdcp：13
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
2,難易度2位/9ホール中 平均スコア5.36 平均パット数2.17 パーオン率31.0% フェアウェイ率40.8% OB率41.3% バンカー率18.0%,難易度2位/9ホール中 平均スコア5.36 平均パット数2.17 パーオン率31.0% フェアウェイ率40.8% OB率41.3% バンカー率18.0%,難易度2位/9ホール中 平均スコア5.36 平均パット数2.17 パーオン率31.0% フェアウェイ率40.8% OB率41.3% バンカー率18.0%,難易度1位/9ホール中 平均スコア6.84 平均パット数2.13 パーオン率18.3% フェアウェイ率58.5% OB率37.0% バンカー率-,難易度1位/9ホール中 平均スコア6.84 平均パット数2.13 パーオン率18.3% フェアウェイ率58.5% OB率37.0% バンカー率-,難易度1位/9ホール中 平均スコア6.84 平均パット数2.13 パーオン率18.3% フェアウェイ率58.5% OB率37.0% バンカー率-,難易度5位/9ホール中 平均スコア5.22 平均パット数2.1 パーオン率27.5% フェアウェイ率48.3% OB率11.0% バンカー率14.3%,難易度5位/9ホール中 平均スコア5.22 平均パット数2.1 パーオン率27.5% フェアウェイ率48.3% OB率11.0% バンカー率14.3%,難易度5位/9ホール中 平均スコア5.22 平均パット数2.1 パーオン率27.5% フェアウェイ率48.3% OB率11.0% バンカー率14.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：147yd,Hdcp：17,PAR：4,Reg.：393yd,Hdcp：5,PAR：5,Reg.：544yd,Hdcp：3
5,短いショートホール,短いショートホール,短いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
6,難易度8位/9ホール中 平均スコア3.85 平均パット数2.05 パーオン率40.0% フェアウェイ率- OB率33.0% バンカー率4.5%,難易度8位/9ホール中 平均スコア3.85 平均パット数2.05 パーオン率40.0% フェアウェイ率- OB率33.0% バンカー率4.5%,難易度8位/9ホール中 平均スコア3.85 平均パット数2.05 パーオン率40.0% フェアウェイ率- OB率33.0% バンカー率4.5%,難易度4位/9ホール中 平均スコア5.27 平均パット数2.14 パーオン率28.0% フェアウェイ率52.5% OB率4.5% バンカー率28.3%,難易度4位/9ホール中 平均スコア5.27 平均パット数2.14 パーオン率28.0% フェアウェイ率52.5% OB率4.5% バンカー率28.3%,難易度4位/9ホール中 平均スコア5.27 平均パット数2.14 パーオン率28.0% フェアウェイ率52.5% OB率4.5% バンカー率28.3%,難易度3位/9ホール中 平均スコア6.2 平均パット数2.03 パーオン率26.8% フェアウェイ率52.5% OB率5.3% バンカー率13.0%,難易度3位/9ホール中 平均スコア6.2 平均パット数2.03 パーオン率26.8% フェアウェイ率52.5% OB率5.3% バンカー率13.0%,難易度3位/9ホール中 平均スコア6.2 平均パット数2.03 パーオン率26.8% フェアウェイ率52.5% OB率5.3% バンカー率13.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：369yd,Hdcp：9,PAR：3,Reg.：180yd,Hdcp：15,PAR：4,Reg.：383yd,Hdcp：7
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度6位/9ホール中 平均スコア5.11 平均パット数2.08 パーオン率33.8% フェアウェイ率50.3% OB率5.8% バンカー率19.3%,難易度6位/9ホール中 平均スコア5.11 平均パット数2.08 パーオン率33.8% フェアウェイ率50.3% OB率5.8% バンカー率19.3%,難易度6位/9ホール中 平均スコア5.11 平均パット数2.08 パーオン率33.8% フェアウェイ率50.3% OB率5.8% バンカー率19.3%,難易度9位/9ホール中 平均スコア3.79 平均パット数2.07 パーオン率42.0% フェアウェイ率- OB率4.0% バンカー率12.5%,難易度9位/9ホール中 平均スコア3.79 平均パット数2.07 パーオン率42.0% フェアウェイ率- OB率4.0% バンカー率12.5%,難易度9位/9ホール中 平均スコア3.79 平均パット数2.07 パーオン率42.0% フェアウェイ率- OB率4.0% バンカー率12.5%,難易度7位/9ホール中 平均スコア5.1 平均パット数2.13 パーオン率34.0% フェアウェイ率53.8% OB率4.0% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.1 平均パット数2.13 パーオン率34.0% フェアウェイ率53.8% OB率4.0% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.1 平均パット数2.13 パーオン率34.0% フェアウェイ率53.8% OB率4.0% バンカー率17.0%
