,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：344yd,Hdcp：16,PAR：3,Reg.：156yd,Hdcp：14,PAR：4,Reg.：350yd,Hdcp：4
1,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,長いショートホール　奥がＬ（左）グリーン,長いショートホール　奥がＬ（左）グリーン,長いショートホール　奥がＬ（左）グリーン,Ｓ字のミドルホール　奥がＬ（左）グリーン,Ｓ字のミドルホール　奥がＬ（左）グリーン,Ｓ字のミドルホール　奥がＬ（左）グリーン
2,難易度6位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率20.3% フェアウェイ率56.0% OB率38.0% バンカー率8.8%,難易度6位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率20.3% フェアウェイ率56.0% OB率38.0% バンカー率8.8%,難易度6位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率20.3% フェアウェイ率56.0% OB率38.0% バンカー率8.8%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.98 パーオン率23.0% フェアウェイ率- OB率19.7% バンカー率21.3%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.98 パーオン率23.0% フェアウェイ率- OB率19.7% バンカー率21.3%,難易度14位/18ホール中 平均スコア4.15 平均パット数1.98 パーオン率23.0% フェアウェイ率- OB率19.7% バンカー率21.3%,難易度7位/18ホール中 平均スコア5.41 平均パット数2.12 パーオン率19.0% フェアウェイ率49.3% OB率10.0% バンカー率28.5%,難易度7位/18ホール中 平均スコア5.41 平均パット数2.12 パーオン率19.0% フェアウェイ率49.3% OB率10.0% バンカー率28.5%,難易度7位/18ホール中 平均スコア5.41 平均パット数2.12 パーオン率19.0% フェアウェイ率49.3% OB率10.0% バンカー率28.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：168yd,Hdcp：6,PAR：5,Reg.：511yd,Hdcp：10,PAR：4,Reg.：366yd,Hdcp：2
5,１オンが困難なホール　左は即ＯＢ、右目から攻める,１オンが困難なホール　左は即ＯＢ、右目から攻める,１オンが困難なホール　左は即ＯＢ、右目から攻める,豪快な打ち下ろしのロングホール,豪快な打ち下ろしのロングホール,豪快な打ち下ろしのロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
6,難易度18位/18ホール中 平均スコア3.91 平均パット数2.07 パーオン率34.0% フェアウェイ率- OB率19.3% バンカー率12.8%,難易度18位/18ホール中 平均スコア3.91 平均パット数2.07 パーオン率34.0% フェアウェイ率- OB率19.3% バンカー率12.8%,難易度18位/18ホール中 平均スコア3.91 平均パット数2.07 パーオン率34.0% フェアウェイ率- OB率19.3% バンカー率12.8%,難易度8位/18ホール中 平均スコア6.36 平均パット数1.97 パーオン率25.8% フェアウェイ率49.0% OB率42.3% バンカー率15.5%,難易度8位/18ホール中 平均スコア6.36 平均パット数1.97 パーオン率25.8% フェアウェイ率49.0% OB率42.3% バンカー率15.5%,難易度8位/18ホール中 平均スコア6.36 平均パット数1.97 パーオン率25.8% フェアウェイ率49.0% OB率42.3% バンカー率15.5%,難易度2位/18ホール中 平均スコア5.62 平均パット数2.01 パーオン率11.5% フェアウェイ率49.3% OB率34.0% バンカー率10.0%,難易度2位/18ホール中 平均スコア5.62 平均パット数2.01 パーオン率11.5% フェアウェイ率49.3% OB率34.0% バンカー率10.0%,難易度2位/18ホール中 平均スコア5.62 平均パット数2.01 パーオン率11.5% フェアウェイ率49.3% OB率34.0% バンカー率10.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：486yd,Hdcp：8,PAR：4,Reg.：362yd,Hdcp：18,PAR：4,Reg.：348yd,Hdcp：12
9,グリーンは奥から速い　ピン位置より手前から攻める,グリーンは奥から速い　ピン位置より手前から攻める,グリーンは奥から速い　ピン位置より手前から攻める,打ち下ろしの距離の短いミドルホール,打ち下ろしの距離の短いミドルホール,打ち下ろしの距離の短いミドルホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
10,難易度15位/18ホール中 平均スコア6.02 平均パット数2.14 パーオン率43.3% フェアウェイ率55.8% OB率18.5% バンカー率15.8%,難易度15位/18ホール中 平均スコア6.02 平均パット数2.14 パーオン率43.3% フェアウェイ率55.8% OB率18.5% バンカー率15.8%,難易度15位/18ホール中 平均スコア6.02 平均パット数2.14 パーオン率43.3% フェアウェイ率55.8% OB率18.5% バンカー率15.8%,難易度11位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率23.3% フェアウェイ率48.5% OB率24.8% バンカー率19.5%,難易度11位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率23.3% フェアウェイ率48.5% OB率24.8% バンカー率19.5%,難易度11位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率23.3% フェアウェイ率48.5% OB率24.8% バンカー率19.5%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.96 パーオン率21.0% フェアウェイ率58.8% OB率27.0% バンカー率8.0%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.96 パーオン率21.0% フェアウェイ率58.8% OB率27.0% バンカー率8.0%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.96 パーオン率21.0% フェアウェイ率58.8% OB率27.0% バンカー率8.0%
