,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：430yd,Hdcp：6,PAR：4,Reg.：300yd,Hdcp：3,PAR：4,Reg.：271yd,Hdcp：7
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いミドルホール,短いミドルホール,短いミドルホール
2,難易度4位/9ホール中 平均スコア6.26 平均パット数2.1 パーオン率33.5% フェアウェイ率54.3% OB率20.5% バンカー率25.8%,難易度4位/9ホール中 平均スコア6.26 平均パット数2.1 パーオン率33.5% フェアウェイ率54.3% OB率20.5% バンカー率25.8%,難易度4位/9ホール中 平均スコア6.26 平均パット数2.1 パーオン率33.5% フェアウェイ率54.3% OB率20.5% バンカー率25.8%,難易度3位/9ホール中 平均スコア5.44 平均パット数1.93 パーオン率18.3% フェアウェイ率39.5% OB率45.8% バンカー率19.0%,難易度3位/9ホール中 平均スコア5.44 平均パット数1.93 パーオン率18.3% フェアウェイ率39.5% OB率45.8% バンカー率19.0%,難易度3位/9ホール中 平均スコア5.44 平均パット数1.93 パーオン率18.3% フェアウェイ率39.5% OB率45.8% バンカー率19.0%,難易度7位/9ホール中 平均スコア5.19 平均パット数1.9 パーオン率23.3% フェアウェイ率63.5% OB率27.5% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.19 平均パット数1.9 パーオン率23.3% フェアウェイ率63.5% OB率27.5% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.19 平均パット数1.9 パーオン率23.3% フェアウェイ率63.5% OB率27.5% バンカー率17.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：319yd,Hdcp：4,PAR：3,Reg.：124yd,Hdcp：9,PAR：5,Reg.：457yd,Hdcp：2
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度5位/9ホール中 平均スコア5.33 平均パット数2.07 パーオン率24.8% フェアウェイ率56.5% OB率33.3% バンカー率29.0%,難易度5位/9ホール中 平均スコア5.33 平均パット数2.07 パーオン率24.8% フェアウェイ率56.5% OB率33.3% バンカー率29.0%,難易度5位/9ホール中 平均スコア5.33 平均パット数2.07 パーオン率24.8% フェアウェイ率56.5% OB率33.3% バンカー率29.0%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.97 パーオン率37.0% フェアウェイ率- OB率25.8% バンカー率19.8%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.97 パーオン率37.0% フェアウェイ率- OB率25.8% バンカー率19.8%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.97 パーオン率37.0% フェアウェイ率- OB率25.8% バンカー率19.8%,難易度1位/9ホール中 平均スコア6.61 平均パット数2.13 パーオン率24.3% フェアウェイ率54.8% OB率46.3% バンカー率21.8%,難易度1位/9ホール中 平均スコア6.61 平均パット数2.13 パーオン率24.3% フェアウェイ率54.8% OB率46.3% バンカー率21.8%,難易度1位/9ホール中 平均スコア6.61 平均パット数2.13 パーオン率24.3% フェアウェイ率54.8% OB率46.3% バンカー率21.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：347yd,Hdcp：1,PAR：3,Reg.：155yd,Hdcp：8,PAR：4,Reg.：367yd,Hdcp：5
9,長いミドルホール,長いミドルホール,長いミドルホール,ショートホール,ショートホール,ショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度2位/9ホール中 平均スコア5.64 平均パット数2.08 パーオン率12.5% フェアウェイ率55.8% OB率35.3% バンカー率12.0%,難易度2位/9ホール中 平均スコア5.64 平均パット数2.08 パーオン率12.5% フェアウェイ率55.8% OB率35.3% バンカー率12.0%,難易度2位/9ホール中 平均スコア5.64 平均パット数2.08 パーオン率12.5% フェアウェイ率55.8% OB率35.3% バンカー率12.0%,難易度8位/9ホール中 平均スコア4 平均パット数2.12 パーオン率37.3% フェアウェイ率- OB率8.3% バンカー率30.0%,難易度8位/9ホール中 平均スコア4 平均パット数2.12 パーオン率37.3% フェアウェイ率- OB率8.3% バンカー率30.0%,難易度8位/9ホール中 平均スコア4 平均パット数2.12 パーオン率37.3% フェアウェイ率- OB率8.3% バンカー率30.0%,難易度6位/9ホール中 平均スコア5.26 平均パット数2.03 パーオン率29.3% フェアウェイ率64.5% OB率28.8% バンカー率2.0%,難易度6位/9ホール中 平均スコア5.26 平均パット数2.03 パーオン率29.3% フェアウェイ率64.5% OB率28.8% バンカー率2.0%,難易度6位/9ホール中 平均スコア5.26 平均パット数2.03 パーオン率29.3% フェアウェイ率64.5% OB率28.8% バンカー率2.0%
