,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：432yd,Hdcp：12,PAR：4,Reg.：418yd,Hdcp：4,PAR：3,Reg.：165yd,Hdcp：18
1,ティショットが打ち下しのミドルホール,ティショットが打ち下しのミドルホール,ティショットが打ち下しのミドルホール,両サイドＯＢで距離のあるミドルホール,両サイドＯＢで距離のあるミドルホール,両サイドＯＢで距離のあるミドルホール,手前に深いバンカーのあるショートホール,手前に深いバンカーのあるショートホール,手前に深いバンカーのあるショートホール
2,難易度7位/18ホール中 平均スコア5.47 平均パット数2.04 パーオン率20.0% フェアウェイ率38.3% OB率31.0% バンカー率26.0%,難易度7位/18ホール中 平均スコア5.47 平均パット数2.04 パーオン率20.0% フェアウェイ率38.3% OB率31.0% バンカー率26.0%,難易度7位/18ホール中 平均スコア5.47 平均パット数2.04 パーオン率20.0% フェアウェイ率38.3% OB率31.0% バンカー率26.0%,難易度2位/18ホール中 平均スコア5.61 平均パット数2.01 パーオン率14.7% フェアウェイ率56.3% OB率51.0% バンカー率36.7%,難易度2位/18ホール中 平均スコア5.61 平均パット数2.01 パーオン率14.7% フェアウェイ率56.3% OB率51.0% バンカー率36.7%,難易度2位/18ホール中 平均スコア5.61 平均パット数2.01 パーオン率14.7% フェアウェイ率56.3% OB率51.0% バンカー率36.7%,難易度18位/18ホール中 平均スコア3.67 平均パット数1.92 パーオン率46.5% フェアウェイ率- OB率24.3% バンカー率46.0%,難易度18位/18ホール中 平均スコア3.67 平均パット数1.92 パーオン率46.5% フェアウェイ率- OB率24.3% バンカー率46.0%,難易度18位/18ホール中 平均スコア3.67 平均パット数1.92 パーオン率46.5% フェアウェイ率- OB率24.3% バンカー率46.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：522yd,Hdcp：8,PAR：4,Reg.：410yd,Hdcp：2,PAR：4,Reg.：410yd,Hdcp：14
5,ティショットが谷越えで右ドッグレッグのロング,ティショットが谷越えで右ドッグレッグのロング,ティショットが谷越えで右ドッグレッグのロング,ティショットが池越えでバンカーがないミドルホール,ティショットが池越えでバンカーがないミドルホール,ティショットが池越えでバンカーがないミドルホール,右ドッグレッグの距離のないミドルホール,右ドッグレッグの距離のないミドルホール,右ドッグレッグの距離のないミドルホール
6,難易度15位/18ホール中 平均スコア6.29 平均パット数2 パーオン率36.7% フェアウェイ率76.8% OB率23.3% バンカー率54.3%,難易度15位/18ホール中 平均スコア6.29 平均パット数2 パーオン率36.7% フェアウェイ率76.8% OB率23.3% バンカー率54.3%,難易度15位/18ホール中 平均スコア6.29 平均パット数2 パーオン率36.7% フェアウェイ率76.8% OB率23.3% バンカー率54.3%,難易度9位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率22.0% フェアウェイ率58.3% OB率4.0% バンカー率17.0%,難易度9位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率22.0% フェアウェイ率58.3% OB率4.0% バンカー率17.0%,難易度9位/18ホール中 平均スコア5.32 平均パット数2.1 パーオン率22.0% フェアウェイ率58.3% OB率4.0% バンカー率17.0%,難易度14位/18ホール中 平均スコア5.22 平均パット数1.96 パーオン率19.5% フェアウェイ率61.5% OB率14.0% バンカー率31.7%,難易度14位/18ホール中 平均スコア5.22 平均パット数1.96 パーオン率19.5% フェアウェイ率61.5% OB率14.0% バンカー率31.7%,難易度14位/18ホール中 平均スコア5.22 平均パット数1.96 パーオン率19.5% フェアウェイ率61.5% OB率14.0% バンカー率31.7%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：371yd,Hdcp：10,PAR：3,Reg.：204yd,Hdcp：16,PAR：5,Reg.：550yd,Hdcp：6
9,セカンドショットは池越えになるミドルホール,セカンドショットは池越えになるミドルホール,セカンドショットは池越えになるミドルホール,打ち下しで左にビーチバンカーがあるショートホール,打ち下しで左にビーチバンカーがあるショートホール,打ち下しで左にビーチバンカーがあるショートホール,グリーン右サイドに大きな池のあるロングホール,グリーン右サイドに大きな池のあるロングホール,グリーン右サイドに大きな池のあるロングホール
10,難易度11位/18ホール中 平均スコア5.26 平均パット数2.01 パーオン率30.8% フェアウェイ率53.5% OB率14.3% バンカー率5.5%,難易度11位/18ホール中 平均スコア5.26 平均パット数2.01 パーオン率30.8% フェアウェイ率53.5% OB率14.3% バンカー率5.5%,難易度11位/18ホール中 平均スコア5.26 平均パット数2.01 パーオン率30.8% フェアウェイ率53.5% OB率14.3% バンカー率5.5%,難易度13位/18ホール中 平均スコア4.19 平均パット数1.89 パーオン率20.3% フェアウェイ率- OB率25.0% バンカー率28.3%,難易度13位/18ホール中 平均スコア4.19 平均パット数1.89 パーオン率20.3% フェアウェイ率- OB率25.0% バンカー率28.3%,難易度13位/18ホール中 平均スコア4.19 平均パット数1.89 パーオン率20.3% フェアウェイ率- OB率25.0% バンカー率28.3%,難易度6位/18ホール中 平均スコア6.59 平均パット数1.88 パーオン率26.0% フェアウェイ率51.0% OB率37.8% バンカー率15.0%,難易度6位/18ホール中 平均スコア6.59 平均パット数1.88 パーオン率26.0% フェアウェイ率51.0% OB率37.8% バンカー率15.0%,難易度6位/18ホール中 平均スコア6.59 平均パット数1.88 パーオン率26.0% フェアウェイ率51.0% OB率37.8% バンカー率15.0%
