,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：381yd,Hdcp：3,PAR：4,Reg.：367yd,Hdcp：7,PAR：5,Reg.：455yd,Hdcp：5
1,長いミドル　ティーショットは右サイドを狙うと安全,長いミドル　ティーショットは右サイドを狙うと安全,長いミドル　ティーショットは右サイドを狙うと安全,Ｓ字のミドルホール　フェアウェイセンターへ,Ｓ字のミドルホール　フェアウェイセンターへ,Ｓ字のミドルホール　フェアウェイセンターへ,Ｓ字のロングホール　右目グラスバンカー方向へ,Ｓ字のロングホール　右目グラスバンカー方向へ,Ｓ字のロングホール　右目グラスバンカー方向へ
2,難易度1位/18ホール中 平均スコア5.69 平均パット数2.22 パーオン率14.5% フェアウェイ率50.8% OB率21.5% バンカー率8.5%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.22 パーオン率14.5% フェアウェイ率50.8% OB率21.5% バンカー率8.5%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.22 パーオン率14.5% フェアウェイ率50.8% OB率21.5% バンカー率8.5%,難易度3位/18ホール中 平均スコア5.51 平均パット数2.07 パーオン率21.8% フェアウェイ率49.0% OB率50.0% バンカー率6.8%,難易度3位/18ホール中 平均スコア5.51 平均パット数2.07 パーオン率21.8% フェアウェイ率49.0% OB率50.0% バンカー率6.8%,難易度3位/18ホール中 平均スコア5.51 平均パット数2.07 パーオン率21.8% フェアウェイ率49.0% OB率50.0% バンカー率6.8%,難易度2位/18ホール中 平均スコア6.57 平均パット数2.08 パーオン率28.8% フェアウェイ率43.0% OB率48.5% バンカー率21.0%,難易度2位/18ホール中 平均スコア6.57 平均パット数2.08 パーオン率28.8% フェアウェイ率43.0% OB率48.5% バンカー率21.0%,難易度2位/18ホール中 平均スコア6.57 平均パット数2.08 パーオン率28.8% フェアウェイ率43.0% OB率48.5% バンカー率21.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：153yd,Hdcp：9,PAR：5,Reg.：464yd,Hdcp：15,PAR：4,Reg.：329yd,Hdcp：17
5,谷越えのショートホール　ティーショットは右目,谷越えのショートホール　ティーショットは右目,谷越えのショートホール　ティーショットは右目,ティーショットは正面のしゅろの木の右目を狙う,ティーショットは正面のしゅろの木の右目を狙う,ティーショットは正面のしゅろの木の右目を狙う,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール
6,難易度18位/18ホール中 平均スコア3.98 平均パット数2.06 パーオン率33.3% フェアウェイ率- OB率33.0% バンカー率28.5%,難易度18位/18ホール中 平均スコア3.98 平均パット数2.06 パーオン率33.3% フェアウェイ率- OB率33.0% バンカー率28.5%,難易度18位/18ホール中 平均スコア3.98 平均パット数2.06 パーオン率33.3% フェアウェイ率- OB率33.0% バンカー率28.5%,難易度10位/18ホール中 平均スコア6.24 平均パット数2.05 パーオン率38.0% フェアウェイ率52.3% OB率48.5% バンカー率22.5%,難易度10位/18ホール中 平均スコア6.24 平均パット数2.05 パーオン率38.0% フェアウェイ率52.3% OB率48.5% バンカー率22.5%,難易度10位/18ホール中 平均スコア6.24 平均パット数2.05 パーオン率38.0% フェアウェイ率52.3% OB率48.5% バンカー率22.5%,難易度14位/18ホール中 平均スコア5.1 平均パット数2.01 パーオン率38.5% フェアウェイ率45.3% OB率35.3% バンカー率30.5%,難易度14位/18ホール中 平均スコア5.1 平均パット数2.01 パーオン率38.5% フェアウェイ率45.3% OB率35.3% バンカー率30.5%,難易度14位/18ホール中 平均スコア5.1 平均パット数2.01 パーオン率38.5% フェアウェイ率45.3% OB率35.3% バンカー率30.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：150yd,Hdcp：13,PAR：4,Reg.：386yd,Hdcp：1,PAR：4,Reg.：350yd,Hdcp：11
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,長いミドルホール　カート道路方向を狙う,長いミドルホール　カート道路方向を狙う,長いミドルホール　カート道路方向を狙う,右ドッグレッグのミドル　正面の二本杉の左狙い,右ドッグレッグのミドル　正面の二本杉の左狙い,右ドッグレッグのミドル　正面の二本杉の左狙い
10,難易度17位/18ホール中 平均スコア4.07 平均パット数2.1 パーオン率35.8% フェアウェイ率- OB率19.8% バンカー率24.5%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.1 パーオン率35.8% フェアウェイ率- OB率19.8% バンカー率24.5%,難易度17位/18ホール中 平均スコア4.07 平均パット数2.1 パーオン率35.8% フェアウェイ率- OB率19.8% バンカー率24.5%,難易度5位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率20.8% フェアウェイ率57.5% OB率31.0% バンカー率21.8%,難易度5位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率20.8% フェアウェイ率57.5% OB率31.0% バンカー率21.8%,難易度5位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率20.8% フェアウェイ率57.5% OB率31.0% バンカー率21.8%,難易度13位/18ホール中 平均スコア5.18 平均パット数2.09 パーオン率35.5% フェアウェイ率65.3% OB率22.0% バンカー率9.8%,難易度13位/18ホール中 平均スコア5.18 平均パット数2.09 パーオン率35.5% フェアウェイ率65.3% OB率22.0% バンカー率9.8%,難易度13位/18ホール中 平均スコア5.18 平均パット数2.09 パーオン率35.5% フェアウェイ率65.3% OB率22.0% バンカー率9.8%
