,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：324yd,Hdcp：7,PAR：5,Reg.：515yd,Hdcp：13,PAR：3,Reg.：166yd,Hdcp：17
1,短いミドルホール,短いミドルホール,短いミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール
2,難易度7位/18ホール中 平均スコア5.35 平均パット数1.94 パーオン率25.7% フェアウェイ率36.3% OB率16.8% バンカー率59.0%,難易度7位/18ホール中 平均スコア5.35 平均パット数1.94 パーオン率25.7% フェアウェイ率36.3% OB率16.8% バンカー率59.0%,難易度7位/18ホール中 平均スコア5.35 平均パット数1.94 パーオン率25.7% フェアウェイ率36.3% OB率16.8% バンカー率59.0%,難易度12位/18ホール中 平均スコア6.26 平均パット数1.87 パーオン率24.8% フェアウェイ率59.3% OB率28.5% バンカー率23.0%,難易度12位/18ホール中 平均スコア6.26 平均パット数1.87 パーオン率24.8% フェアウェイ率59.3% OB率28.5% バンカー率23.0%,難易度12位/18ホール中 平均スコア6.26 平均パット数1.87 パーオン率24.8% フェアウェイ率59.3% OB率28.5% バンカー率23.0%,難易度14位/18ホール中 平均スコア4.16 平均パット数1.86 パーオン率13.3% フェアウェイ率- OB率17.0% バンカー率29.0%,難易度14位/18ホール中 平均スコア4.16 平均パット数1.86 パーオン率13.3% フェアウェイ率- OB率17.0% バンカー率29.0%,難易度14位/18ホール中 平均スコア4.16 平均パット数1.86 パーオン率13.3% フェアウェイ率- OB率17.0% バンカー率29.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：377yd,Hdcp：5,PAR：4,Reg.：378yd,Hdcp：11,PAR：4,Reg.：412yd,Hdcp：1
5,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度11位/18ホール中 平均スコア5.21 平均パット数1.86 パーオン率17.3% フェアウェイ率41.8% OB率7.8% バンカー率31.3%,難易度11位/18ホール中 平均スコア5.21 平均パット数1.86 パーオン率17.3% フェアウェイ率41.8% OB率7.8% バンカー率31.3%,難易度11位/18ホール中 平均スコア5.21 平均パット数1.86 パーオン率17.3% フェアウェイ率41.8% OB率7.8% バンカー率31.3%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.92 パーオン率18.5% フェアウェイ率49.3% OB率30.0% バンカー率3.0%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.92 パーオン率18.5% フェアウェイ率49.3% OB率30.0% バンカー率3.0%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.92 パーオン率18.5% フェアウェイ率49.3% OB率30.0% バンカー率3.0%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.85 パーオン率12.3% フェアウェイ率50.5% OB率15.8% バンカー率51.8%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.85 パーオン率12.3% フェアウェイ率50.5% OB率15.8% バンカー率51.8%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.85 パーオン率12.3% フェアウェイ率50.5% OB率15.8% バンカー率51.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：491yd,Hdcp：9,PAR：3,Reg.：171yd,Hdcp：15,PAR：4,Reg.：398yd,Hdcp：3
9,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,長いショートホール,長いショートホール,長いショートホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
10,難易度17位/18ホール中 平均スコア6.1 平均パット数1.95 パーオン率34.0% フェアウェイ率37.3% OB率25.0% バンカー率50.3%,難易度17位/18ホール中 平均スコア6.1 平均パット数1.95 パーオン率34.0% フェアウェイ率37.3% OB率25.0% バンカー率50.3%,難易度17位/18ホール中 平均スコア6.1 平均パット数1.95 パーオン率34.0% フェアウェイ率37.3% OB率25.0% バンカー率50.3%,難易度16位/18ホール中 平均スコア4.09 平均パット数1.88 パーオン率19.0% フェアウェイ率- OB率11.3% バンカー率54.8%,難易度16位/18ホール中 平均スコア4.09 平均パット数1.88 パーオン率19.0% フェアウェイ率- OB率11.3% バンカー率54.8%,難易度16位/18ホール中 平均スコア4.09 平均パット数1.88 パーオン率19.0% フェアウェイ率- OB率11.3% バンカー率54.8%,難易度6位/18ホール中 平均スコア5.4 平均パット数1.93 パーオン率22.5% フェアウェイ率48.5% OB率11.5% バンカー率13.3%,難易度6位/18ホール中 平均スコア5.4 平均パット数1.93 パーオン率22.5% フェアウェイ率48.5% OB率11.5% バンカー率13.3%,難易度6位/18ホール中 平均スコア5.4 平均パット数1.93 パーオン率22.5% フェアウェイ率48.5% OB率11.5% バンカー率13.3%
