,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：564yd,Hdcp：2,PAR：3,Reg.：162yd,Hdcp：3,PAR：4,Reg.：347yd,Hdcp：7
1,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度1位/9ホール中 平均スコア6.47 平均パット数2.17 パーオン率25.3% フェアウェイ率52.5% OB率14.8% バンカー率25.0%,難易度1位/9ホール中 平均スコア6.47 平均パット数2.17 パーオン率25.3% フェアウェイ率52.5% OB率14.8% バンカー率25.0%,難易度1位/9ホール中 平均スコア6.47 平均パット数2.17 パーオン率25.3% フェアウェイ率52.5% OB率14.8% バンカー率25.0%,難易度9位/9ホール中 平均スコア3.91 平均パット数2.05 パーオン率43.5% フェアウェイ率- OB率5.7% バンカー率6.8%,難易度9位/9ホール中 平均スコア3.91 平均パット数2.05 パーオン率43.5% フェアウェイ率- OB率5.7% バンカー率6.8%,難易度9位/9ホール中 平均スコア3.91 平均パット数2.05 パーオン率43.5% フェアウェイ率- OB率5.7% バンカー率6.8%,難易度5位/9ホール中 平均スコア5.24 平均パット数2.04 パーオン率25.0% フェアウェイ率38.0% OB率12.7% バンカー率41.8%,難易度5位/9ホール中 平均スコア5.24 平均パット数2.04 パーオン率25.0% フェアウェイ率38.0% OB率12.7% バンカー率41.8%,難易度5位/9ホール中 平均スコア5.24 平均パット数2.04 パーオン率25.0% フェアウェイ率38.0% OB率12.7% バンカー率41.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：344yd,Hdcp：5,PAR：4,Reg.：387yd,Hdcp：1,PAR：4,Reg.：390yd,Hdcp：4
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度6位/9ホール中 平均スコア5.2 平均パット数2.12 パーオン率28.8% フェアウェイ率42.5% OB率19.0% バンカー率21.5%,難易度6位/9ホール中 平均スコア5.2 平均パット数2.12 パーオン率28.8% フェアウェイ率42.5% OB率19.0% バンカー率21.5%,難易度6位/9ホール中 平均スコア5.2 平均パット数2.12 パーオン率28.8% フェアウェイ率42.5% OB率19.0% バンカー率21.5%,難易度4位/9ホール中 平均スコア5.31 平均パット数1.99 パーオン率19.5% フェアウェイ率42.8% OB率14.0% バンカー率19.3%,難易度4位/9ホール中 平均スコア5.31 平均パット数1.99 パーオン率19.5% フェアウェイ率42.8% OB率14.0% バンカー率19.3%,難易度4位/9ホール中 平均スコア5.31 平均パット数1.99 パーオン率19.5% フェアウェイ率42.8% OB率14.0% バンカー率19.3%,難易度2位/9ホール中 平均スコア5.47 平均パット数1.9 パーオン率14.5% フェアウェイ率47.0% OB率23.0% バンカー率33.5%,難易度2位/9ホール中 平均スコア5.47 平均パット数1.9 パーオン率14.5% フェアウェイ率47.0% OB率23.0% バンカー率33.5%,難易度2位/9ホール中 平均スコア5.47 平均パット数1.9 パーオン率14.5% フェアウェイ率47.0% OB率23.0% バンカー率33.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：471yd,Hdcp：9,PAR：3,Reg.：150yd,Hdcp：8,PAR：4,Reg.：326yd,Hdcp：6
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,ショートホール,ショートホール,ショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度3位/9ホール中 平均スコア6.32 平均パット数1.92 パーオン率26.0% フェアウェイ率48.8% OB率20.0% バンカー率46.5%,難易度3位/9ホール中 平均スコア6.32 平均パット数1.92 パーオン率26.0% フェアウェイ率48.8% OB率20.0% バンカー率46.5%,難易度3位/9ホール中 平均スコア6.32 平均パット数1.92 パーオン率26.0% フェアウェイ率48.8% OB率20.0% バンカー率46.5%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.99 パーオン率30.5% フェアウェイ率- OB率4.0% バンカー率45.0%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.99 パーオン率30.5% フェアウェイ率- OB率4.0% バンカー率45.0%,難易度8位/9ホール中 平均スコア4.01 平均パット数1.99 パーオン率30.5% フェアウェイ率- OB率4.0% バンカー率45.0%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.04 パーオン率30.0% フェアウェイ率52.0% OB率7.7% バンカー率36.5%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.04 パーオン率30.0% フェアウェイ率52.0% OB率7.7% バンカー率36.5%,難易度7位/9ホール中 平均スコア5.14 平均パット数2.04 パーオン率30.0% フェアウェイ率52.0% OB率7.7% バンカー率36.5%
