,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：384yd,Hdcp：15,PAR：4,Reg.：387yd,Hdcp：3,PAR：5,Reg.：510yd,Hdcp：7
1,左の３本の白樺やや右にティショットするのがよい,左の３本の白樺やや右にティショットするのがよい,左の３本の白樺やや右にティショットするのがよい,正確なショットが特に要求される　ぐり,正確なショットが特に要求される　ぐり,正確なショットが特に要求される　ぐり,右側ＯＢ　第一打はホールの中心に思い切って打つ,右側ＯＢ　第一打はホールの中心に思い切って打つ,右側ＯＢ　第一打はホールの中心に思い切って打つ
2,難易度7位/18ホール中 平均スコア5.53 平均パット数1.98 パーオン率9.5% フェアウェイ率33.0% OB率- バンカー率19.3%,難易度7位/18ホール中 平均スコア5.53 平均パット数1.98 パーオン率9.5% フェアウェイ率33.0% OB率- バンカー率19.3%,難易度7位/18ホール中 平均スコア5.53 平均パット数1.98 パーオン率9.5% フェアウェイ率33.0% OB率- バンカー率19.3%,難易度1位/18ホール中 平均スコア5.68 平均パット数2.08 パーオン率10.0% フェアウェイ率39.3% OB率9.0% バンカー率48.3%,難易度1位/18ホール中 平均スコア5.68 平均パット数2.08 パーオン率10.0% フェアウェイ率39.3% OB率9.0% バンカー率48.3%,難易度1位/18ホール中 平均スコア5.68 平均パット数2.08 パーオン率10.0% フェアウェイ率39.3% OB率9.0% バンカー率48.3%,難易度3位/18ホール中 平均スコア6.57 平均パット数2.04 パーオン率19.8% フェアウェイ率38.5% OB率26.5% バンカー率35.3%,難易度3位/18ホール中 平均スコア6.57 平均パット数2.04 パーオン率19.8% フェアウェイ率38.5% OB率26.5% バンカー率35.3%,難易度3位/18ホール中 平均スコア6.57 平均パット数2.04 パーオン率19.8% フェアウェイ率38.5% OB率26.5% バンカー率35.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：363yd,Hdcp：13,PAR：3,Reg.：215yd,Hdcp：5,PAR：4,Reg.：396yd,Hdcp：9
5,右側ＯＢ　グリーンが左右に細長いので第二打に注意,右側ＯＢ　グリーンが左右に細長いので第二打に注意,右側ＯＢ　グリーンが左右に細長いので第二打に注意,池越えの美しいホール,池越えの美しいホール,池越えの美しいホール,左側クロスバンカー、中心点を狙うのがよい,左側クロスバンカー、中心点を狙うのがよい,左側クロスバンカー、中心点を狙うのがよい
6,難易度9位/18ホール中 平均スコア5.43 平均パット数2.14 パーオン率23.0% フェアウェイ率53.3% OB率1.5% バンカー率29.3%,難易度9位/18ホール中 平均スコア5.43 平均パット数2.14 パーオン率23.0% フェアウェイ率53.3% OB率1.5% バンカー率29.3%,難易度9位/18ホール中 平均スコア5.43 平均パット数2.14 パーオン率23.0% フェアウェイ率53.3% OB率1.5% バンカー率29.3%,難易度12位/18ホール中 平均スコア4.39 平均パット数1.93 パーオン率5.5% フェアウェイ率- OB率12.0% バンカー率30.3%,難易度12位/18ホール中 平均スコア4.39 平均パット数1.93 パーオン率5.5% フェアウェイ率- OB率12.0% バンカー率30.3%,難易度12位/18ホール中 平均スコア4.39 平均パット数1.93 パーオン率5.5% フェアウェイ率- OB率12.0% バンカー率30.3%,難易度8位/18ホール中 平均スコア5.48 平均パット数2.02 パーオン率13.0% フェアウェイ率39.5% OB率4.0% バンカー率25.5%,難易度8位/18ホール中 平均スコア5.48 平均パット数2.02 パーオン率13.0% フェアウェイ率39.5% OB率4.0% バンカー率25.5%,難易度8位/18ホール中 平均スコア5.48 平均パット数2.02 パーオン率13.0% フェアウェイ率39.5% OB率4.0% バンカー率25.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：411yd,Hdcp：1,PAR：3,Reg.：133yd,Hdcp：17,PAR：5,Reg.：510yd,Hdcp：11
9,フェアウェイは狭く木が多い,フェアウェイは狭く木が多い,フェアウェイは狭く木が多い,サービスコース　風が変わるので第一打は慎重に,サービスコース　風が変わるので第一打は慎重に,サービスコース　風が変わるので第一打は慎重に,バックティでは中心からやや右寄りにショット,バックティでは中心からやや右寄りにショット,バックティでは中心からやや右寄りにショット
10,難易度6位/18ホール中 平均スコア5.56 平均パット数1.98 パーオン率11.0% フェアウェイ率42.0% OB率43.0% バンカー率27.0%,難易度6位/18ホール中 平均スコア5.56 平均パット数1.98 パーオン率11.0% フェアウェイ率42.0% OB率43.0% バンカー率27.0%,難易度6位/18ホール中 平均スコア5.56 平均パット数1.98 パーオン率11.0% フェアウェイ率42.0% OB率43.0% バンカー率27.0%,難易度18位/18ホール中 平均スコア3.83 平均パット数2.01 パーオン率43.3% フェアウェイ率- OB率4.7% バンカー率16.0%,難易度18位/18ホール中 平均スコア3.83 平均パット数2.01 パーオン率43.3% フェアウェイ率- OB率4.7% バンカー率16.0%,難易度18位/18ホール中 平均スコア3.83 平均パット数2.01 パーオン率43.3% フェアウェイ率- OB率4.7% バンカー率16.0%,難易度4位/18ホール中 平均スコア6.55 平均パット数2.04 パーオン率19.0% フェアウェイ率47.8% OB率2.0% バンカー率33.8%,難易度4位/18ホール中 平均スコア6.55 平均パット数2.04 パーオン率19.0% フェアウェイ率47.8% OB率2.0% バンカー率33.8%,難易度4位/18ホール中 平均スコア6.55 平均パット数2.04 パーオン率19.0% フェアウェイ率47.8% OB率2.0% バンカー率33.8%
