,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：361yd,Hdcp：16,PAR：3,Reg.：161yd,Hdcp：14,PAR：4,Reg.：367yd,Hdcp：8
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いショートホール,短いショートホール,短いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
2,難易度8位/18ホール中 平均スコア5.33 平均パット数2.14 パーオン率22.5% フェアウェイ率49.0% OB率3.0% バンカー率27.3%,難易度8位/18ホール中 平均スコア5.33 平均パット数2.14 パーオン率22.5% フェアウェイ率49.0% OB率3.0% バンカー率27.3%,難易度8位/18ホール中 平均スコア5.33 平均パット数2.14 パーオン率22.5% フェアウェイ率49.0% OB率3.0% バンカー率27.3%,難易度16位/18ホール中 平均スコア4.11 平均パット数2.1 パーオン率24.8% フェアウェイ率- OB率9.5% バンカー率26.3%,難易度16位/18ホール中 平均スコア4.11 平均パット数2.1 パーオン率24.8% フェアウェイ率- OB率9.5% バンカー率26.3%,難易度16位/18ホール中 平均スコア4.11 平均パット数2.1 パーオン率24.8% フェアウェイ率- OB率9.5% バンカー率26.3%,難易度3位/18ホール中 平均スコア5.44 平均パット数2.19 パーオン率23.0% フェアウェイ率54.5% OB率31.8% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.44 平均パット数2.19 パーオン率23.0% フェアウェイ率54.5% OB率31.8% バンカー率21.3%,難易度3位/18ホール中 平均スコア5.44 平均パット数2.19 パーオン率23.0% フェアウェイ率54.5% OB率31.8% バンカー率21.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：356yd,Hdcp：18,PAR：5,Reg.：461yd,Hdcp：10,PAR：4,Reg.：391yd,Hdcp：4
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,右ドッグのミドルホール,右ドッグのミドルホール,右ドッグのミドルホール
6,難易度17位/18ホール中 平均スコア5.1 平均パット数2.19 パーオン率36.3% フェアウェイ率45.3% OB率4.3% バンカー率25.0%,難易度17位/18ホール中 平均スコア5.1 平均パット数2.19 パーオン率36.3% フェアウェイ率45.3% OB率4.3% バンカー率25.0%,難易度17位/18ホール中 平均スコア5.1 平均パット数2.19 パーオン率36.3% フェアウェイ率45.3% OB率4.3% バンカー率25.0%,難易度11位/18ホール中 平均スコア6.25 平均パット数2.17 パーオン率34.0% フェアウェイ率43.3% OB率6.7% バンカー率30.8%,難易度11位/18ホール中 平均スコア6.25 平均パット数2.17 パーオン率34.0% フェアウェイ率43.3% OB率6.7% バンカー率30.8%,難易度11位/18ホール中 平均スコア6.25 平均パット数2.17 パーオン率34.0% フェアウェイ率43.3% OB率6.7% バンカー率30.8%,難易度9位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率19.3% フェアウェイ率42.5% OB率13.0% バンカー率11.5%,難易度9位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率19.3% フェアウェイ率42.5% OB率13.0% バンカー率11.5%,難易度9位/18ホール中 平均スコア5.32 平均パット数2.05 パーオン率19.3% フェアウェイ率42.5% OB率13.0% バンカー率11.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：198yd,Hdcp：6,PAR：4,Reg.：389yd,Hdcp：2,PAR：5,Reg.：506yd,Hdcp：12
9,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いロングホール,長いロングホール,長いロングホール
10,難易度15位/18ホール中 平均スコア4.14 平均パット数2.05 パーオン率20.8% フェアウェイ率- OB率19.8% バンカー率40.8%,難易度15位/18ホール中 平均スコア4.14 平均パット数2.05 パーオン率20.8% フェアウェイ率- OB率19.8% バンカー率40.8%,難易度15位/18ホール中 平均スコア4.14 平均パット数2.05 パーオン率20.8% フェアウェイ率- OB率19.8% バンカー率40.8%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.2 パーオン率9.8% フェアウェイ率53.5% OB率6.8% バンカー率20.0%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.2 パーオン率9.8% フェアウェイ率53.5% OB率6.8% バンカー率20.0%,難易度1位/18ホール中 平均スコア5.69 平均パット数2.2 パーオン率9.8% フェアウェイ率53.5% OB率6.8% バンカー率20.0%,難易度13位/18ホール中 平均スコア6.12 平均パット数2.13 パーオン率35.8% フェアウェイ率55.5% OB率4.3% バンカー率21.5%,難易度13位/18ホール中 平均スコア6.12 平均パット数2.13 パーオン率35.8% フェアウェイ率55.5% OB率4.3% バンカー率21.5%,難易度13位/18ホール中 平均スコア6.12 平均パット数2.13 パーオン率35.8% フェアウェイ率55.5% OB率4.3% バンカー率21.5%
