,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：380yd,Hdcp：5,PAR：4,Reg.：320yd,Hdcp：8,PAR：4,Reg.：385yd,Hdcp：2
1,長いミドルホール,長いミドルホール,長いミドルホール,左ドッグレッグのミドルホール　手前がＬ（左）グリーン,左ドッグレッグのミドルホール　手前がＬ（左）グリーン,左ドッグレッグのミドルホール　手前がＬ（左）グリーン,長いミドルホール,長いミドルホール,長いミドルホール
2,難易度3位/9ホール中 平均スコア5.71 平均パット数2.14 パーオン率8.8% フェアウェイ率63.0% OB率24.5% バンカー率2.0%,難易度3位/9ホール中 平均スコア5.71 平均パット数2.14 パーオン率8.8% フェアウェイ率63.0% OB率24.5% バンカー率2.0%,難易度3位/9ホール中 平均スコア5.71 平均パット数2.14 パーオン率8.8% フェアウェイ率63.0% OB率24.5% バンカー率2.0%,難易度4位/9ホール中 平均スコア5.65 平均パット数2.02 パーオン率10.8% フェアウェイ率44.8% OB率35.3% バンカー率2.3%,難易度4位/9ホール中 平均スコア5.65 平均パット数2.02 パーオン率10.8% フェアウェイ率44.8% OB率35.3% バンカー率2.3%,難易度4位/9ホール中 平均スコア5.65 平均パット数2.02 パーオン率10.8% フェアウェイ率44.8% OB率35.3% バンカー率2.3%,難易度2位/9ホール中 平均スコア5.79 平均パット数1.91 パーオン率8.3% フェアウェイ率48.3% OB率45.8% バンカー率9.3%,難易度2位/9ホール中 平均スコア5.79 平均パット数1.91 パーオン率8.3% フェアウェイ率48.3% OB率45.8% バンカー率9.3%,難易度2位/9ホール中 平均スコア5.79 平均パット数1.91 パーオン率8.3% フェアウェイ率48.3% OB率45.8% バンカー率9.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：320yd,Hdcp：4,PAR：5,Reg.：595yd,Hdcp：1,PAR：3,Reg.：135yd,Hdcp：7
5,Ｓ字のミドルホール　手前がＬ（左）グリーン,Ｓ字のミドルホール　手前がＬ（左）グリーン,Ｓ字のミドルホール　手前がＬ（左）グリーン,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,手前がＬ（左）グリーン,手前がＬ（左）グリーン,手前がＬ（左）グリーン
6,難易度5位/9ホール中 平均スコア5.45 平均パット数1.92 パーオン率13.3% フェアウェイ率54.8% OB率29.0% バンカー率17.5%,難易度5位/9ホール中 平均スコア5.45 平均パット数1.92 パーオン率13.3% フェアウェイ率54.8% OB率29.0% バンカー率17.5%,難易度5位/9ホール中 平均スコア5.45 平均パット数1.92 パーオン率13.3% フェアウェイ率54.8% OB率29.0% バンカー率17.5%,難易度1位/9ホール中 平均スコア6.73 平均パット数2 パーオン率14.3% フェアウェイ率66.3% OB率22.0% バンカー率5.0%,難易度1位/9ホール中 平均スコア6.73 平均パット数2 パーオン率14.3% フェアウェイ率66.3% OB率22.0% バンカー率5.0%,難易度1位/9ホール中 平均スコア6.73 平均パット数2 パーオン率14.3% フェアウェイ率66.3% OB率22.0% バンカー率5.0%,難易度8位/9ホール中 平均スコア4.14 平均パット数1.99 パーオン率23.8% フェアウェイ率- OB率14.0% バンカー率2.0%,難易度8位/9ホール中 平均スコア4.14 平均パット数1.99 パーオン率23.8% フェアウェイ率- OB率14.0% バンカー率2.0%,難易度8位/9ホール中 平均スコア4.14 平均パット数1.99 パーオン率23.8% フェアウェイ率- OB率14.0% バンカー率2.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：480yd,Hdcp：3,PAR：3,Reg.：135yd,Hdcp：9,PAR：4,Reg.：385yd,Hdcp：6
9,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,,,,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度7位/9ホール中 平均スコア6.1 平均パット数1.91 パーオン率31.0% フェアウェイ率59.8% OB率18.8% バンカー率18.8%,難易度7位/9ホール中 平均スコア6.1 平均パット数1.91 パーオン率31.0% フェアウェイ率59.8% OB率18.8% バンカー率18.8%,難易度7位/9ホール中 平均スコア6.1 平均パット数1.91 パーオン率31.0% フェアウェイ率59.8% OB率18.8% バンカー率18.8%,難易度9位/9ホール中 平均スコア3.8 平均パット数1.82 パーオン率28.8% フェアウェイ率- OB率3.7% バンカー率14.0%,難易度9位/9ホール中 平均スコア3.8 平均パット数1.82 パーオン率28.8% フェアウェイ率- OB率3.7% バンカー率14.0%,難易度9位/9ホール中 平均スコア3.8 平均パット数1.82 パーオン率28.8% フェアウェイ率- OB率3.7% バンカー率14.0%,難易度6位/9ホール中 平均スコア5.33 平均パット数1.98 パーオン率18.3% フェアウェイ率58.5% OB率28.0% バンカー率7.3%,難易度6位/9ホール中 平均スコア5.33 平均パット数1.98 パーオン率18.3% フェアウェイ率58.5% OB率28.0% バンカー率7.3%,難易度6位/9ホール中 平均スコア5.33 平均パット数1.98 パーオン率18.3% フェアウェイ率58.5% OB率28.0% バンカー率7.3%
