,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：431yd,Hdcp：17,PAR：4,Reg.：342yd,Hdcp：9,PAR：4,Reg.：441yd,Hdcp：3
1,打ち上げ右ドッグレッグのロングホール,打ち上げ右ドッグレッグのロングホール,打ち上げ右ドッグレッグのロングホール,奥が左（Ｌ）グリーン　高さのある打ち下ろし,奥が左（Ｌ）グリーン　高さのある打ち下ろし,奥が左（Ｌ）グリーン　高さのある打ち下ろし,手前が左（Ｌ）グリーン　要所にバンカーがあり,手前が左（Ｌ）グリーン　要所にバンカーがあり,手前が左（Ｌ）グリーン　要所にバンカーがあり
2,難易度15位/18ホール中 平均スコア6.02 平均パット数1.85 パーオン率30.5% フェアウェイ率50.8% OB率17.3% バンカー率29.3%,難易度15位/18ホール中 平均スコア6.02 平均パット数1.85 パーオン率30.5% フェアウェイ率50.8% OB率17.3% バンカー率29.3%,難易度15位/18ホール中 平均スコア6.02 平均パット数1.85 パーオン率30.5% フェアウェイ率50.8% OB率17.3% バンカー率29.3%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.95 パーオン率24.5% フェアウェイ率46.5% OB率32.3% バンカー率29.8%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.95 パーオン率24.5% フェアウェイ率46.5% OB率32.3% バンカー率29.8%,難易度10位/18ホール中 平均スコア5.32 平均パット数1.95 パーオン率24.5% フェアウェイ率46.5% OB率32.3% バンカー率29.8%,難易度2位/18ホール中 平均スコア5.87 平均パット数1.94 パーオン率4.3% フェアウェイ率47.8% OB率48.3% バンカー率18.8%,難易度2位/18ホール中 平均スコア5.87 平均パット数1.94 パーオン率4.3% フェアウェイ率47.8% OB率48.3% バンカー率18.8%,難易度2位/18ホール中 平均スコア5.87 平均パット数1.94 パーオン率4.3% フェアウェイ率47.8% OB率48.3% バンカー率18.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：180yd,Hdcp：11,PAR：4,Reg.：311yd,Hdcp：13,PAR：4,Reg.：323yd,Hdcp：1
5,やや打ち上げのショートホール,やや打ち上げのショートホール,やや打ち上げのショートホール,右ドッグレッグでグリーン周辺はバンカーあり,右ドッグレッグでグリーン周辺はバンカーあり,右ドッグレッグでグリーン周辺はバンカーあり,難易度がの高いミドルホール　２打目からは打ち上げ,難易度がの高いミドルホール　２打目からは打ち上げ,難易度がの高いミドルホール　２打目からは打ち上げ
6,難易度13位/18ホール中 平均スコア4.21 平均パット数1.98 パーオン率14.8% フェアウェイ率- OB率4.0% バンカー率38.0%,難易度13位/18ホール中 平均スコア4.21 平均パット数1.98 パーオン率14.8% フェアウェイ率- OB率4.0% バンカー率38.0%,難易度13位/18ホール中 平均スコア4.21 平均パット数1.98 パーオン率14.8% フェアウェイ率- OB率4.0% バンカー率38.0%,難易度8位/18ホール中 平均スコア5.42 平均パット数2.01 パーオン率19.5% フェアウェイ率48.3% OB率29.8% バンカー率31.8%,難易度8位/18ホール中 平均スコア5.42 平均パット数2.01 パーオン率19.5% フェアウェイ率48.3% OB率29.8% バンカー率31.8%,難易度8位/18ホール中 平均スコア5.42 平均パット数2.01 パーオン率19.5% フェアウェイ率48.3% OB率29.8% バンカー率31.8%,難易度7位/18ホール中 平均スコア5.43 平均パット数1.96 パーオン率12.8% フェアウェイ率53.3% OB率21.7% バンカー率17.5%,難易度7位/18ホール中 平均スコア5.43 平均パット数1.96 パーオン率12.8% フェアウェイ率53.3% OB率21.7% バンカー率17.5%,難易度7位/18ホール中 平均スコア5.43 平均パット数1.96 パーオン率12.8% フェアウェイ率53.3% OB率21.7% バンカー率17.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：167yd,Hdcp：15,PAR：4,Reg.：402yd,Hdcp：7,PAR：5,Reg.：528yd,Hdcp：5
9,ショートホール　グリーン左から奥にかけてＯＢ,ショートホール　グリーン左から奥にかけてＯＢ,ショートホール　グリーン左から奥にかけてＯＢ,池越えのミドルホール　２打目から打ち下ろし,池越えのミドルホール　２打目から打ち下ろし,池越えのミドルホール　２打目から打ち下ろし,距離のたっぷりある打ち上げショットが続くロング,距離のたっぷりある打ち上げショットが続くロング,距離のたっぷりある打ち上げショットが続くロング
