,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：486yd,Hdcp：12,PAR：4,Reg.：363yd,Hdcp：6,PAR：3,Reg.：117yd,Hdcp：18
1,軽い左ドッグレッグの広々としたロングホール,軽い左ドッグレッグの広々としたロングホール,軽い左ドッグレッグの広々としたロングホール,軽い左ドッグレッグで打ち下ろしのミドルホール,軽い左ドッグレッグで打ち下ろしのミドルホール,軽い左ドッグレッグで打ち下ろしのミドルホール,森に囲まれたショートホール　背後に針葉樹林,森に囲まれたショートホール　背後に針葉樹林,森に囲まれたショートホール　背後に針葉樹林
2,難易度8位/9ホール中 平均スコア6.25 平均パット数2.11 パーオン率32.8% フェアウェイ率43.0% OB率24.3% バンカー率38.0%,難易度8位/9ホール中 平均スコア6.25 平均パット数2.11 パーオン率32.8% フェアウェイ率43.0% OB率24.3% バンカー率38.0%,難易度8位/9ホール中 平均スコア6.25 平均パット数2.11 パーオン率32.8% フェアウェイ率43.0% OB率24.3% バンカー率38.0%,難易度7位/9ホール中 平均スコア5.34 平均パット数2 パーオン率22.0% フェアウェイ率39.8% OB率44.0% バンカー率18.7%,難易度7位/9ホール中 平均スコア5.34 平均パット数2 パーオン率22.0% フェアウェイ率39.8% OB率44.0% バンカー率18.7%,難易度7位/9ホール中 平均スコア5.34 平均パット数2 パーオン率22.0% フェアウェイ率39.8% OB率44.0% バンカー率18.7%,難易度9位/9ホール中 平均スコア3.74 平均パット数2.21 パーオン率59.8% フェアウェイ率- OB率10.0% バンカー率29.0%,難易度9位/9ホール中 平均スコア3.74 平均パット数2.21 パーオン率59.8% フェアウェイ率- OB率10.0% バンカー率29.0%,難易度9位/9ホール中 平均スコア3.74 平均パット数2.21 パーオン率59.8% フェアウェイ率- OB率10.0% バンカー率29.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：405yd,Hdcp：14,PAR：4,Reg.：423yd,Hdcp：8,PAR：4,Reg.：408yd,Hdcp：2
5,第２打はグリーン左サイドに池が追っている,第２打はグリーン左サイドに池が追っている,第２打はグリーン左サイドに池が追っている,左サイドにあるムカデ型バンカーに注意,左サイドにあるムカデ型バンカーに注意,左サイドにあるムカデ型バンカーに注意,ティーショットは打ち下ろし　２打目は打ち上げ,ティーショットは打ち下ろし　２打目は打ち上げ,ティーショットは打ち下ろし　２打目は打ち上げ
6,難易度4位/9ホール中 平均スコア5.48 平均パット数2.07 パーオン率27.3% フェアウェイ率45.3% OB率41.3% バンカー率8.0%,難易度4位/9ホール中 平均スコア5.48 平均パット数2.07 パーオン率27.3% フェアウェイ率45.3% OB率41.3% バンカー率8.0%,難易度4位/9ホール中 平均スコア5.48 平均パット数2.07 パーオン率27.3% フェアウェイ率45.3% OB率41.3% バンカー率8.0%,難易度3位/9ホール中 平均スコア5.69 平均パット数2.23 パーオン率12.3% フェアウェイ率46.5% OB率38.5% バンカー率34.0%,難易度3位/9ホール中 平均スコア5.69 平均パット数2.23 パーオン率12.3% フェアウェイ率46.5% OB率38.5% バンカー率34.0%,難易度3位/9ホール中 平均スコア5.69 平均パット数2.23 パーオン率12.3% フェアウェイ率46.5% OB率38.5% バンカー率34.0%,難易度1位/9ホール中 平均スコア5.61 平均パット数2.05 パーオン率15.0% フェアウェイ率47.8% OB率49.8% バンカー率21.3%,難易度1位/9ホール中 平均スコア5.61 平均パット数2.05 パーオン率15.0% フェアウェイ率47.8% OB率49.8% バンカー率21.3%,難易度1位/9ホール中 平均スコア5.61 平均パット数2.05 パーオン率15.0% フェアウェイ率47.8% OB率49.8% バンカー率21.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：205yd,Hdcp：16,PAR：4,Reg.：406yd,Hdcp：4,PAR：5,Reg.：539yd,Hdcp：10
9,造形が美しい名物ショート　正確な距離感が必要,造形が美しい名物ショート　正確な距離感が必要,造形が美しい名物ショート　正確な距離感が必要,バンカーのひとつもないミドルホール,バンカーのひとつもないミドルホール,バンカーのひとつもないミドルホール,距離のあるロング　できるだけ左サイドから攻める,距離のあるロング　できるだけ左サイドから攻める,距離のあるロング　できるだけ左サイドから攻める
