,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：385yd,Hdcp：11,PAR：4,Reg.：360yd,Hdcp：5,PAR：3,Reg.：160yd,Hdcp：15
1,ほぼ真っ直ぐな長いミドルホール,ほぼ真っ直ぐな長いミドルホール,ほぼ真っ直ぐな長いミドルホール,池越えのほぼ真っ直ぐなミドルホール,池越えのほぼ真っ直ぐなミドルホール,池越えのほぼ真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール
2,難易度10位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率21.5% フェアウェイ率51.3% OB率8.3% バンカー率42.8%,難易度10位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率21.5% フェアウェイ率51.3% OB率8.3% バンカー率42.8%,難易度10位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率21.5% フェアウェイ率51.3% OB率8.3% バンカー率42.8%,難易度7位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率22.0% フェアウェイ率67.0% OB率19.8% バンカー率36.8%,難易度7位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率22.0% フェアウェイ率67.0% OB率19.8% バンカー率36.8%,難易度7位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率22.0% フェアウェイ率67.0% OB率19.8% バンカー率36.8%,難易度18位/18ホール中 平均スコア4 平均パット数1.88 パーオン率22.0% フェアウェイ率- OB率19.0% バンカー率48.0%,難易度18位/18ホール中 平均スコア4 平均パット数1.88 パーオン率22.0% フェアウェイ率- OB率19.0% バンカー率48.0%,難易度18位/18ホール中 平均スコア4 平均パット数1.88 パーオン率22.0% フェアウェイ率- OB率19.0% バンカー率48.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：480yd,Hdcp：7,PAR：4,Reg.：420yd,Hdcp：1,PAR：3,Reg.：130yd,Hdcp：17
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,ほぼ真っ直ぐな長いミドルホール,ほぼ真っ直ぐな長いミドルホール,ほぼ真っ直ぐな長いミドルホール,ショートホール,ショートホール,ショートホール
6,難易度1位/18ホール中 平均スコア6.61 平均パット数2.1 パーオン率23.0% フェアウェイ率47.8% OB率47.5% バンカー率32.3%,難易度1位/18ホール中 平均スコア6.61 平均パット数2.1 パーオン率23.0% フェアウェイ率47.8% OB率47.5% バンカー率32.3%,難易度1位/18ホール中 平均スコア6.61 平均パット数2.1 パーオン率23.0% フェアウェイ率47.8% OB率47.5% バンカー率32.3%,難易度4位/18ホール中 平均スコア5.51 平均パット数2.05 パーオン率19.3% フェアウェイ率57.5% OB率42.3% バンカー率26.0%,難易度4位/18ホール中 平均スコア5.51 平均パット数2.05 パーオン率19.3% フェアウェイ率57.5% OB率42.3% バンカー率26.0%,難易度4位/18ホール中 平均スコア5.51 平均パット数2.05 パーオン率19.3% フェアウェイ率57.5% OB率42.3% バンカー率26.0%,難易度16位/18ホール中 平均スコア4.02 平均パット数1.93 パーオン率23.8% フェアウェイ率- OB率3.7% バンカー率56.3%,難易度16位/18ホール中 平均スコア4.02 平均パット数1.93 パーオン率23.8% フェアウェイ率- OB率3.7% バンカー率56.3%,難易度16位/18ホール中 平均スコア4.02 平均パット数1.93 パーオン率23.8% フェアウェイ率- OB率3.7% バンカー率56.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：475yd,Hdcp：3,PAR：3,Reg.：175yd,Hdcp：13,PAR：5,Reg.：460yd,Hdcp：9
9,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
10,難易度3位/18ホール中 平均スコア6.48 平均パット数1.91 パーオン率23.8% フェアウェイ率65.8% OB率35.3% バンカー率38.3%,難易度3位/18ホール中 平均スコア6.48 平均パット数1.91 パーオン率23.8% フェアウェイ率65.8% OB率35.3% バンカー率38.3%,難易度3位/18ホール中 平均スコア6.48 平均パット数1.91 パーオン率23.8% フェアウェイ率65.8% OB率35.3% バンカー率38.3%,難易度14位/18ホール中 平均スコア4.21 平均パット数1.86 パーオン率9.5% フェアウェイ率- OB率30.3% バンカー率24.8%,難易度14位/18ホール中 平均スコア4.21 平均パット数1.86 パーオン率9.5% フェアウェイ率- OB率30.3% バンカー率24.8%,難易度14位/18ホール中 平均スコア4.21 平均パット数1.86 パーオン率9.5% フェアウェイ率- OB率30.3% バンカー率24.8%,難易度9位/18ホール中 平均スコア6.31 平均パット数1.92 パーオン率24.5% フェアウェイ率59.3% OB率21.8% バンカー率41.5%,難易度9位/18ホール中 平均スコア6.31 平均パット数1.92 パーオン率24.5% フェアウェイ率59.3% OB率21.8% バンカー率41.5%,難易度9位/18ホール中 平均スコア6.31 平均パット数1.92 パーオン率24.5% フェアウェイ率59.3% OB率21.8% バンカー率41.5%
