,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：494yd,Hdcp：3,PAR：3,Reg.：127yd,Hdcp：9,PAR：5,Reg.：474yd,Hdcp：15
1,打ち下ろしのロングホール　第１打は左側狙い,打ち下ろしのロングホール　第１打は左側狙い,打ち下ろしのロングホール　第１打は左側狙い,池越えのショートホール　グリーンは砲台,池越えのショートホール　グリーンは砲台,池越えのショートホール　グリーンは砲台,フェアウェイは広いが右傾斜のため第１打は左側狙い,フェアウェイは広いが右傾斜のため第１打は左側狙い,フェアウェイは広いが右傾斜のため第１打は左側狙い
2,難易度8位/18ホール中 平均スコア6.38 平均パット数1.96 パーオン率24.5% フェアウェイ率46.0% OB率22.3% バンカー率9.0%,難易度8位/18ホール中 平均スコア6.38 平均パット数1.96 パーオン率24.5% フェアウェイ率46.0% OB率22.3% バンカー率9.0%,難易度8位/18ホール中 平均スコア6.38 平均パット数1.96 パーオン率24.5% フェアウェイ率46.0% OB率22.3% バンカー率9.0%,難易度15位/18ホール中 平均スコア4.08 平均パット数2.07 パーオン率29.5% フェアウェイ率- OB率3.3% バンカー率11.0%,難易度15位/18ホール中 平均スコア4.08 平均パット数2.07 パーオン率29.5% フェアウェイ率- OB率3.3% バンカー率11.0%,難易度15位/18ホール中 平均スコア4.08 平均パット数2.07 パーオン率29.5% フェアウェイ率- OB率3.3% バンカー率11.0%,難易度4位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率22.8% フェアウェイ率48.3% OB率10.0% バンカー率16.3%,難易度4位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率22.8% フェアウェイ率48.3% OB率10.0% バンカー率16.3%,難易度4位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率22.8% フェアウェイ率48.3% OB率10.0% バンカー率16.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：369yd,Hdcp：7,PAR：3,Reg.：150yd,Hdcp：13,PAR：4,Reg.：290yd,Hdcp：1
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,広々としたショートホール,広々としたショートホール,広々としたショートホール,打ち上げの短いミドルホール,打ち上げの短いミドルホール,打ち上げの短いミドルホール
6,難易度12位/18ホール中 平均スコア5.22 平均パット数1.92 パーオン率26.3% フェアウェイ率56.8% OB率10.3% バンカー率17.0%,難易度12位/18ホール中 平均スコア5.22 平均パット数1.92 パーオン率26.3% フェアウェイ率56.8% OB率10.3% バンカー率17.0%,難易度12位/18ホール中 平均スコア5.22 平均パット数1.92 パーオン率26.3% フェアウェイ率56.8% OB率10.3% バンカー率17.0%,難易度17位/18ホール中 平均スコア3.97 平均パット数1.94 パーオン率25.8% フェアウェイ率- OB率7.5% バンカー率24.3%,難易度17位/18ホール中 平均スコア3.97 平均パット数1.94 パーオン率25.8% フェアウェイ率- OB率7.5% バンカー率24.3%,難易度17位/18ホール中 平均スコア3.97 平均パット数1.94 パーオン率25.8% フェアウェイ率- OB率7.5% バンカー率24.3%,難易度7位/18ホール中 平均スコア5.45 平均パット数2.03 パーオン率20.8% フェアウェイ率44.5% OB率10.3% バンカー率1.8%,難易度7位/18ホール中 平均スコア5.45 平均パット数2.03 パーオン率20.8% フェアウェイ率44.5% OB率10.3% バンカー率1.8%,難易度7位/18ホール中 平均スコア5.45 平均パット数2.03 パーオン率20.8% フェアウェイ率44.5% OB率10.3% バンカー率1.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：340yd,Hdcp：17,PAR：4,Reg.：360yd,Hdcp：5,PAR：4,Reg.：350yd,Hdcp：11
9,手前に池がありフェアウェイは右傾斜,手前に池がありフェアウェイは右傾斜,手前に池がありフェアウェイは右傾斜,フェアウェイが右傾斜なので左側から攻める,フェアウェイが右傾斜なので左側から攻める,フェアウェイが右傾斜なので左側から攻める,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール
10,難易度13位/18ホール中 平均スコア5.23 平均パット数2.01 パーオン率31.0% フェアウェイ率44.8% OB率22.8% バンカー率21.3%,難易度13位/18ホール中 平均スコア5.23 平均パット数2.01 パーオン率31.0% フェアウェイ率44.8% OB率22.8% バンカー率21.3%,難易度13位/18ホール中 平均スコア5.23 平均パット数2.01 パーオン率31.0% フェアウェイ率44.8% OB率22.8% バンカー率21.3%,難易度6位/18ホール中 平均スコア5.53 平均パット数2 パーオン率13.0% フェアウェイ率43.0% OB率16.3% バンカー率3.3%,難易度6位/18ホール中 平均スコア5.53 平均パット数2 パーオン率13.0% フェアウェイ率43.0% OB率16.3% バンカー率3.3%,難易度6位/18ホール中 平均スコア5.53 平均パット数2 パーオン率13.0% フェアウェイ率43.0% OB率16.3% バンカー率3.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率18.5% フェアウェイ率63.8% OB率11.3% バンカー率12.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率18.5% フェアウェイ率63.8% OB率11.3% バンカー率12.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数1.98 パーオン率18.5% フェアウェイ率63.8% OB率11.3% バンカー率12.3%
