,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：335yd,Hdcp：8,PAR：4,Reg.：348yd,Hdcp：2,PAR：5,Reg.：424yd,Hdcp：5
1,ティーショットはバンカー左センター狙い,ティーショットはバンカー左センター狙い,ティーショットはバンカー左センター狙い,１打目はセンター林の右狙い　右の池に充分注意,１打目はセンター林の右狙い　右の池に充分注意,１打目はセンター林の右狙い　右の池に充分注意,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
2,難易度3位/9ホール中 平均スコア5.21 平均パット数2.07 パーオン率25.3% フェアウェイ率55.5% OB率6.5% バンカー率11.3%,難易度3位/9ホール中 平均スコア5.21 平均パット数2.07 パーオン率25.3% フェアウェイ率55.5% OB率6.5% バンカー率11.3%,難易度3位/9ホール中 平均スコア5.21 平均パット数2.07 パーオン率25.3% フェアウェイ率55.5% OB率6.5% バンカー率11.3%,難易度1位/9ホール中 平均スコア5.42 平均パット数2 パーオン率17.3% フェアウェイ率52.0% OB率4.5% バンカー率10.8%,難易度1位/9ホール中 平均スコア5.42 平均パット数2 パーオン率17.3% フェアウェイ率52.0% OB率4.5% バンカー率10.8%,難易度1位/9ホール中 平均スコア5.42 平均パット数2 パーオン率17.3% フェアウェイ率52.0% OB率4.5% バンカー率10.8%,難易度2位/9ホール中 平均スコア6.35 平均パット数2.02 パーオン率26.8% フェアウェイ率59.0% OB率13.3% バンカー率2.3%,難易度2位/9ホール中 平均スコア6.35 平均パット数2.02 パーオン率26.8% フェアウェイ率59.0% OB率13.3% バンカー率2.3%,難易度2位/9ホール中 平均スコア6.35 平均パット数2.02 パーオン率26.8% フェアウェイ率59.0% OB率13.3% バンカー率2.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：131yd,Hdcp：4,PAR：4,Reg.：318yd,Hdcp：7,PAR：4,Reg.：288yd,Hdcp：1
5,２段グリーンのショートホール,２段グリーンのショートホール,２段グリーンのショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,ロングヒッターは右の池注意　２打目はオーバー禁物,ロングヒッターは右の池注意　２打目はオーバー禁物,ロングヒッターは右の池注意　２打目はオーバー禁物
6,難易度8位/9ホール中 平均スコア3.99 平均パット数2.05 パーオン率34.0% フェアウェイ率- OB率3.0% バンカー率14.8%,難易度8位/9ホール中 平均スコア3.99 平均パット数2.05 パーオン率34.0% フェアウェイ率- OB率3.0% バンカー率14.8%,難易度8位/9ホール中 平均スコア3.99 平均パット数2.05 パーオン率34.0% フェアウェイ率- OB率3.0% バンカー率14.8%,難易度6位/9ホール中 平均スコア5.1 平均パット数2.11 パーオン率35.0% フェアウェイ率52.5% OB率16.0% バンカー率9.7%,難易度6位/9ホール中 平均スコア5.1 平均パット数2.11 パーオン率35.0% フェアウェイ率52.5% OB率16.0% バンカー率9.7%,難易度6位/9ホール中 平均スコア5.1 平均パット数2.11 パーオン率35.0% フェアウェイ率52.5% OB率16.0% バンカー率9.7%,難易度5位/9ホール中 平均スコア5.13 平均パット数2.13 パーオン率35.3% フェアウェイ率55.5% OB率5.0% バンカー率9.0%,難易度5位/9ホール中 平均スコア5.13 平均パット数2.13 パーオン率35.3% フェアウェイ率55.5% OB率5.0% バンカー率9.0%,難易度5位/9ホール中 平均スコア5.13 平均パット数2.13 パーオン率35.3% フェアウェイ率55.5% OB率5.0% バンカー率9.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：304yd,Hdcp：9,PAR：4,Reg.：333yd,Hdcp：3,PAR：3,Reg.：160yd,Hdcp：6
9,距離がないミドルホール　１打目は柳の間狙い,距離がないミドルホール　１打目は柳の間狙い,距離がないミドルホール　１打目は柳の間狙い,左に池、右ＯＢあり　１打目の正確さが必要,左に池、右ＯＢあり　１打目の正確さが必要,左に池、右ＯＢあり　１打目の正確さが必要,オーバーは禁物　手前から攻めること,オーバーは禁物　手前から攻めること,オーバーは禁物　手前から攻めること
10,難易度9位/9ホール中 平均スコア4.91 平均パット数2.06 パーオン率39.8% フェアウェイ率55.3% OB率2.0% バンカー率6.3%,難易度9位/9ホール中 平均スコア4.91 平均パット数2.06 パーオン率39.8% フェアウェイ率55.3% OB率2.0% バンカー率6.3%,難易度9位/9ホール中 平均スコア4.91 平均パット数2.06 パーオン率39.8% フェアウェイ率55.3% OB率2.0% バンカー率6.3%,難易度4位/9ホール中 平均スコア5.19 平均パット数2.07 パーオン率31.5% フェアウェイ率60.3% OB率11.0% バンカー率10.0%,難易度4位/9ホール中 平均スコア5.19 平均パット数2.07 パーオン率31.5% フェアウェイ率60.3% OB率11.0% バンカー率10.0%,難易度4位/9ホール中 平均スコア5.19 平均パット数2.07 パーオン率31.5% フェアウェイ率60.3% OB率11.0% バンカー率10.0%,難易度7位/9ホール中 平均スコア4.05 平均パット数2.1 パーオン率29.3% フェアウェイ率- OB率4.3% バンカー率18.5%,難易度7位/9ホール中 平均スコア4.05 平均パット数2.1 パーオン率29.3% フェアウェイ率- OB率4.3% バンカー率18.5%,難易度7位/9ホール中 平均スコア4.05 平均パット数2.1 パーオン率29.3% フェアウェイ率- OB率4.3% バンカー率18.5%
