,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：381yd,Hdcp：9,PAR：4,Reg.：387yd,Hdcp：3,PAR：5,Reg.：489yd,Hdcp：15
1,下りのストレートなミドルホール,下りのストレートなミドルホール,下りのストレートなミドルホール,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール,ティーショット、第２打とも方向性重視で攻めよう,ティーショット、第２打とも方向性重視で攻めよう,ティーショット、第２打とも方向性重視で攻めよう
2,難易度10位/18ホール中 平均スコア5.43 平均パット数1.86 パーオン率12.0% フェアウェイ率42.8% OB率2.3% バンカー率26.0%,難易度10位/18ホール中 平均スコア5.43 平均パット数1.86 パーオン率12.0% フェアウェイ率42.8% OB率2.3% バンカー率26.0%,難易度10位/18ホール中 平均スコア5.43 平均パット数1.86 パーオン率12.0% フェアウェイ率42.8% OB率2.3% バンカー率26.0%,難易度2位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率6.5% フェアウェイ率52.0% OB率1.3% バンカー率10.3%,難易度2位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率6.5% フェアウェイ率52.0% OB率1.3% バンカー率10.3%,難易度2位/18ホール中 平均スコア5.63 平均パット数1.91 パーオン率6.5% フェアウェイ率52.0% OB率1.3% バンカー率10.3%,難易度13位/18ホール中 平均スコア6.25 平均パット数1.92 パーオン率23.8% フェアウェイ率45.8% OB率6.0% バンカー率33.8%,難易度13位/18ホール中 平均スコア6.25 平均パット数1.92 パーオン率23.8% フェアウェイ率45.8% OB率6.0% バンカー率33.8%,難易度13位/18ホール中 平均スコア6.25 平均パット数1.92 パーオン率23.8% フェアウェイ率45.8% OB率6.0% バンカー率33.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：186yd,Hdcp：7,PAR：4,Reg.：344yd,Hdcp：1,PAR：3,Reg.：157yd,Hdcp：13
5,池越えのショート　グリーン手前のバンカーに注意,池越えのショート　グリーン手前のバンカーに注意,池越えのショート　グリーン手前のバンカーに注意,左にＯＢが続くミドルホール,左にＯＢが続くミドルホール,左にＯＢが続くミドルホール,距離が短く見え、ミスしやすいショートホール,距離が短く見え、ミスしやすいショートホール,距離が短く見え、ミスしやすいショートホール
6,難易度17位/18ホール中 平均スコア4.11 平均パット数1.87 パーオン率13.5% フェアウェイ率- OB率2.3% バンカー率26.3%,難易度17位/18ホール中 平均スコア4.11 平均パット数1.87 パーオン率13.5% フェアウェイ率- OB率2.3% バンカー率26.3%,難易度17位/18ホール中 平均スコア4.11 平均パット数1.87 パーオン率13.5% フェアウェイ率- OB率2.3% バンカー率26.3%,難易度12位/18ホール中 平均スコア5.32 平均パット数2.01 パーオン率20.0% フェアウェイ率44.8% OB率7.0% バンカー率27.3%,難易度12位/18ホール中 平均スコア5.32 平均パット数2.01 パーオン率20.0% フェアウェイ率44.8% OB率7.0% バンカー率27.3%,難易度12位/18ホール中 平均スコア5.32 平均パット数2.01 パーオン率20.0% フェアウェイ率44.8% OB率7.0% バンカー率27.3%,難易度16位/18ホール中 平均スコア4.11 平均パット数1.89 パーオン率18.3% フェアウェイ率- OB率4.3% バンカー率37.3%,難易度16位/18ホール中 平均スコア4.11 平均パット数1.89 パーオン率18.3% フェアウェイ率- OB率4.3% バンカー率37.3%,難易度16位/18ホール中 平均スコア4.11 平均パット数1.89 パーオン率18.3% フェアウェイ率- OB率4.3% バンカー率37.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：482yd,Hdcp：5,PAR：4,Reg.：372yd,Hdcp：11,PAR：4,Reg.：393yd,Hdcp：17
9,緩やかに右にカーブしたロングホール,緩やかに右にカーブしたロングホール,緩やかに右にカーブしたロングホール,馬の背のミドルホール,馬の背のミドルホール,馬の背のミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール
10,難易度8位/18ホール中 平均スコア6.42 平均パット数1.96 パーオン率22.5% フェアウェイ率46.0% OB率15.5% バンカー率27.0%,難易度8位/18ホール中 平均スコア6.42 平均パット数1.96 パーオン率22.5% フェアウェイ率46.0% OB率15.5% バンカー率27.0%,難易度8位/18ホール中 平均スコア6.42 平均パット数1.96 パーオン率22.5% フェアウェイ率46.0% OB率15.5% バンカー率27.0%,難易度6位/18ホール中 平均スコア5.54 平均パット数1.91 パーオン率7.8% フェアウェイ率40.8% OB率2.7% バンカー率23.3%,難易度6位/18ホール中 平均スコア5.54 平均パット数1.91 パーオン率7.8% フェアウェイ率40.8% OB率2.7% バンカー率23.3%,難易度6位/18ホール中 平均スコア5.54 平均パット数1.91 パーオン率7.8% フェアウェイ率40.8% OB率2.7% バンカー率23.3%,難易度3位/18ホール中 平均スコア5.61 平均パット数1.92 パーオン率10.0% フェアウェイ率48.0% OB率1.0% バンカー率31.0%,難易度3位/18ホール中 平均スコア5.61 平均パット数1.92 パーオン率10.0% フェアウェイ率48.0% OB率1.0% バンカー率31.0%,難易度3位/18ホール中 平均スコア5.61 平均パット数1.92 パーオン率10.0% フェアウェイ率48.0% OB率1.0% バンカー率31.0%
