,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：472yd,Hdcp：15,PAR：4,Reg.：364yd,Hdcp：5,PAR：3,Reg.：139yd,Hdcp：9
1,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,短いショートホール,短いショートホール,短いショートホール
2,難易度2位/18ホール中 平均スコア6.7 平均パット数1.99 パーオン率14.5% フェアウェイ率52.0% OB率1.7% バンカー率36.8%,難易度2位/18ホール中 平均スコア6.7 平均パット数1.99 パーオン率14.5% フェアウェイ率52.0% OB率1.7% バンカー率36.8%,難易度2位/18ホール中 平均スコア6.7 平均パット数1.99 パーオン率14.5% フェアウェイ率52.0% OB率1.7% バンカー率36.8%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.13 パーオン率22.3% フェアウェイ率55.0% OB率2.8% バンカー率28.3%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.13 パーオン率22.3% フェアウェイ率55.0% OB率2.8% バンカー率28.3%,難易度5位/18ホール中 平均スコア5.47 平均パット数2.13 パーオン率22.3% フェアウェイ率55.0% OB率2.8% バンカー率28.3%,難易度18位/18ホール中 平均スコア3.98 平均パット数2.01 パーオン率28.8% フェアウェイ率- OB率24.3% バンカー率21.3%,難易度18位/18ホール中 平均スコア3.98 平均パット数2.01 パーオン率28.8% フェアウェイ率- OB率24.3% バンカー率21.3%,難易度18位/18ホール中 平均スコア3.98 平均パット数2.01 パーオン率28.8% フェアウェイ率- OB率24.3% バンカー率21.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：278yd,Hdcp：13,PAR：4,Reg.：361yd,Hdcp：7,PAR：5,Reg.：471yd,Hdcp：1
5,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,打ち下ろし、打ち上げとなる左ドッグレッグのミドル,打ち下ろし、打ち上げとなる左ドッグレッグのミドル,打ち下ろし、打ち上げとなる左ドッグレッグのミドル,やや打ち下ろしのロングホール,やや打ち下ろしのロングホール,やや打ち下ろしのロングホール
6,難易度10位/18ホール中 平均スコア5.37 平均パット数2.03 パーオン率23.8% フェアウェイ率51.8% OB率35.5% バンカー率27.5%,難易度10位/18ホール中 平均スコア5.37 平均パット数2.03 パーオン率23.8% フェアウェイ率51.8% OB率35.5% バンカー率27.5%,難易度10位/18ホール中 平均スコア5.37 平均パット数2.03 パーオン率23.8% フェアウェイ率51.8% OB率35.5% バンカー率27.5%,難易度3位/18ホール中 平均スコア5.52 平均パット数2.07 パーオン率20.5% フェアウェイ率46.0% OB率31.0% バンカー率25.5%,難易度3位/18ホール中 平均スコア5.52 平均パット数2.07 パーオン率20.5% フェアウェイ率46.0% OB率31.0% バンカー率25.5%,難易度3位/18ホール中 平均スコア5.52 平均パット数2.07 パーオン率20.5% フェアウェイ率46.0% OB率31.0% バンカー率25.5%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.98 パーオン率22.0% フェアウェイ率45.5% OB率29.8% バンカー率16.8%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.98 パーオン率22.0% フェアウェイ率45.5% OB率29.8% バンカー率16.8%,難易度6位/18ホール中 平均スコア6.47 平均パット数1.98 パーオン率22.0% フェアウェイ率45.5% OB率29.8% バンカー率16.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：164yd,Hdcp：11,PAR：4,Reg.：373yd,Hdcp：3,PAR：4,Reg.：340yd,Hdcp：17
9,池越えのやや長いショートホール,池越えのやや長いショートホール,池越えのやや長いショートホール,やや打ち下ろしのミドルホール,やや打ち下ろしのミドルホール,やや打ち下ろしのミドルホール,やや短い打ち下ろしのミドルホール,やや短い打ち下ろしのミドルホール,やや短い打ち下ろしのミドルホール
10,難易度15位/18ホール中 平均スコア4.12 平均パット数2.02 パーオン率28.8% フェアウェイ率- OB率10.0% バンカー率10.3%,難易度15位/18ホール中 平均スコア4.12 平均パット数2.02 パーオン率28.8% フェアウェイ率- OB率10.0% バンカー率10.3%,難易度15位/18ホール中 平均スコア4.12 平均パット数2.02 パーオン率28.8% フェアウェイ率- OB率10.0% バンカー率10.3%,難易度8位/18ホール中 平均スコア5.48 平均パット数2.04 パーオン率16.3% フェアウェイ率52.0% OB率4.0% バンカー率37.0%,難易度8位/18ホール中 平均スコア5.48 平均パット数2.04 パーオン率16.3% フェアウェイ率52.0% OB率4.0% バンカー率37.0%,難易度8位/18ホール中 平均スコア5.48 平均パット数2.04 パーオン率16.3% フェアウェイ率52.0% OB率4.0% バンカー率37.0%,難易度13位/18ホール中 平均スコア5.29 平均パット数1.99 パーオン率21.3% フェアウェイ率43.8% OB率15.5% バンカー率30.3%,難易度13位/18ホール中 平均スコア5.29 平均パット数1.99 パーオン率21.3% フェアウェイ率43.8% OB率15.5% バンカー率30.3%,難易度13位/18ホール中 平均スコア5.29 平均パット数1.99 パーオン率21.3% フェアウェイ率43.8% OB率15.5% バンカー率30.3%
