,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：396yd,Hdcp：2,PAR：5,Reg.：514yd,Hdcp：12,PAR：4,Reg.：375yd,Hdcp：16
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度3位/18ホール中 平均スコア5.47 平均パット数1.99 パーオン率12.5% フェアウェイ率48.3% OB率23.0% バンカー率13.0%,難易度3位/18ホール中 平均スコア5.47 平均パット数1.99 パーオン率12.5% フェアウェイ率48.3% OB率23.0% バンカー率13.0%,難易度3位/18ホール中 平均スコア5.47 平均パット数1.99 パーオン率12.5% フェアウェイ率48.3% OB率23.0% バンカー率13.0%,難易度11位/18ホール中 平均スコア6.22 平均パット数2.01 パーオン率31.8% フェアウェイ率58.5% OB率21.3% バンカー率32.5%,難易度11位/18ホール中 平均スコア6.22 平均パット数2.01 パーオン率31.8% フェアウェイ率58.5% OB率21.3% バンカー率32.5%,難易度11位/18ホール中 平均スコア6.22 平均パット数2.01 パーオン率31.8% フェアウェイ率58.5% OB率21.3% バンカー率32.5%,難易度16位/18ホール中 平均スコア5.09 平均パット数2 パーオン率31.3% フェアウェイ率48.5% OB率24.0% バンカー率22.8%,難易度16位/18ホール中 平均スコア5.09 平均パット数2 パーオン率31.3% フェアウェイ率48.5% OB率24.0% バンカー率22.8%,難易度16位/18ホール中 平均スコア5.09 平均パット数2 パーオン率31.3% フェアウェイ率48.5% OB率24.0% バンカー率22.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：145yd,Hdcp：14,PAR：4,Reg.：356yd,Hdcp：10,PAR：4,Reg.：364yd,Hdcp：4
5,,,,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度17位/18ホール中 平均スコア4.05 平均パット数1.97 パーオン率17.8% フェアウェイ率- OB率4.5% バンカー率1.7%,難易度17位/18ホール中 平均スコア4.05 平均パット数1.97 パーオン率17.8% フェアウェイ率- OB率4.5% バンカー率1.7%,難易度17位/18ホール中 平均スコア4.05 平均パット数1.97 パーオン率17.8% フェアウェイ率- OB率4.5% バンカー率1.7%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率20.5% フェアウェイ率52.3% OB率18.3% バンカー率19.3%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率20.5% フェアウェイ率52.3% OB率18.3% バンカー率19.3%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率20.5% フェアウェイ率52.3% OB率18.3% バンカー率19.3%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.02 パーオン率22.8% フェアウェイ率51.3% OB率33.0% バンカー率11.8%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.02 パーオン率22.8% フェアウェイ率51.3% OB率33.0% バンカー率11.8%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.02 パーオン率22.8% フェアウェイ率51.3% OB率33.0% バンカー率11.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：492yd,Hdcp：8,PAR：3,Reg.：146yd,Hdcp：18,PAR：4,Reg.：405yd,Hdcp：6
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,,,,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度5位/18ホール中 平均スコア6.37 平均パット数2.12 パーオン率28.0% フェアウェイ率56.0% OB率23.0% バンカー率23.0%,難易度5位/18ホール中 平均スコア6.37 平均パット数2.12 パーオン率28.0% フェアウェイ率56.0% OB率23.0% バンカー率23.0%,難易度5位/18ホール中 平均スコア6.37 平均パット数2.12 パーオン率28.0% フェアウェイ率56.0% OB率23.0% バンカー率23.0%,難易度18位/18ホール中 平均スコア3.94 平均パット数2.06 パーオン率33.0% フェアウェイ率- OB率3.0% バンカー率42.3%,難易度18位/18ホール中 平均スコア3.94 平均パット数2.06 パーオン率33.0% フェアウェイ率- OB率3.0% バンカー率42.3%,難易度18位/18ホール中 平均スコア3.94 平均パット数2.06 パーオン率33.0% フェアウェイ率- OB率3.0% バンカー率42.3%,難易度9位/18ホール中 平均スコア5.33 平均パット数1.99 パーオン率13.8% フェアウェイ率48.0% OB率5.0% バンカー率11.5%,難易度9位/18ホール中 平均スコア5.33 平均パット数1.99 パーオン率13.8% フェアウェイ率48.0% OB率5.0% バンカー率11.5%,難易度9位/18ホール中 平均スコア5.33 平均パット数1.99 パーオン率13.8% フェアウェイ率48.0% OB率5.0% バンカー率11.5%
