,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：388yd,Hdcp：2,PAR：5,Reg.：569yd,Hdcp：6,PAR：3,Reg.：169yd,Hdcp：7
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール
2,難易度1位/9ホール中 平均スコア5.54 平均パット数2.05 パーオン率11.0% フェアウェイ率65.3% OB率14.5% バンカー率15.0%,難易度1位/9ホール中 平均スコア5.54 平均パット数2.05 パーオン率11.0% フェアウェイ率65.3% OB率14.5% バンカー率15.0%,難易度1位/9ホール中 平均スコア5.54 平均パット数2.05 パーオン率11.0% フェアウェイ率65.3% OB率14.5% バンカー率15.0%,難易度2位/9ホール中 平均スコア6.36 平均パット数1.96 パーオン率22.8% フェアウェイ率54.0% OB率41.3% バンカー率3.3%,難易度2位/9ホール中 平均スコア6.36 平均パット数1.96 パーオン率22.8% フェアウェイ率54.0% OB率41.3% バンカー率3.3%,難易度2位/9ホール中 平均スコア6.36 平均パット数1.96 パーオン率22.8% フェアウェイ率54.0% OB率41.3% バンカー率3.3%,難易度8位/9ホール中 平均スコア4.2 平均パット数1.97 パーオン率16.0% フェアウェイ率- OB率21.5% バンカー率2.0%,難易度8位/9ホール中 平均スコア4.2 平均パット数1.97 パーオン率16.0% フェアウェイ率- OB率21.5% バンカー率2.0%,難易度8位/9ホール中 平均スコア4.2 平均パット数1.97 パーオン率16.0% フェアウェイ率- OB率21.5% バンカー率2.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：334yd,Hdcp：1,PAR：4,Reg.：391yd,Hdcp：8,PAR：3,Reg.：137yd,Hdcp：5
5,長いミドルホール,長いミドルホール,長いミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いショートホール,長いショートホール,長いショートホール
6,難易度5位/9ホール中 平均スコア5.33 平均パット数2.1 パーオン率21.0% フェアウェイ率70.0% OB率5.3% バンカー率15.3%,難易度5位/9ホール中 平均スコア5.33 平均パット数2.1 パーオン率21.0% フェアウェイ率70.0% OB率5.3% バンカー率15.3%,難易度5位/9ホール中 平均スコア5.33 平均パット数2.1 パーオン率21.0% フェアウェイ率70.0% OB率5.3% バンカー率15.3%,難易度6位/9ホール中 平均スコア5.25 平均パット数2.01 パーオン率21.5% フェアウェイ率63.5% OB率19.7% バンカー率23.5%,難易度6位/9ホール中 平均スコア5.25 平均パット数2.01 パーオン率21.5% フェアウェイ率63.5% OB率19.7% バンカー率23.5%,難易度6位/9ホール中 平均スコア5.25 平均パット数2.01 パーオン率21.5% フェアウェイ率63.5% OB率19.7% バンカー率23.5%,難易度9位/9ホール中 平均スコア3.79 平均パット数1.98 パーオン率38.3% フェアウェイ率- OB率4.8% バンカー率21.5%,難易度9位/9ホール中 平均スコア3.79 平均パット数1.98 パーオン率38.3% フェアウェイ率- OB率4.8% バンカー率21.5%,難易度9位/9ホール中 平均スコア3.79 平均パット数1.98 パーオン率38.3% フェアウェイ率- OB率4.8% バンカー率21.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：534yd,Hdcp：3,PAR：4,Reg.：378yd,Hdcp：9,PAR：4,Reg.：408yd,Hdcp：4
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度3位/9ホール中 平均スコア6.29 平均パット数2.04 パーオン率25.3% フェアウェイ率63.5% OB率22.0% バンカー率10.3%,難易度3位/9ホール中 平均スコア6.29 平均パット数2.04 パーオン率25.3% フェアウェイ率63.5% OB率22.0% バンカー率10.3%,難易度3位/9ホール中 平均スコア6.29 平均パット数2.04 パーオン率25.3% フェアウェイ率63.5% OB率22.0% バンカー率10.3%,難易度7位/9ホール中 平均スコア5.24 平均パット数2.03 パーオン率19.8% フェアウェイ率66.0% OB率7.5% バンカー率27.5%,難易度7位/9ホール中 平均スコア5.24 平均パット数2.03 パーオン率19.8% フェアウェイ率66.0% OB率7.5% バンカー率27.5%,難易度7位/9ホール中 平均スコア5.24 平均パット数2.03 パーオン率19.8% フェアウェイ率66.0% OB率7.5% バンカー率27.5%,難易度4位/9ホール中 平均スコア5.33 平均パット数1.95 パーオン率13.3% フェアウェイ率68.8% OB率18.0% バンカー率5.5%,難易度4位/9ホール中 平均スコア5.33 平均パット数1.95 パーオン率13.3% フェアウェイ率68.8% OB率18.0% バンカー率5.5%,難易度4位/9ホール中 平均スコア5.33 平均パット数1.95 パーオン率13.3% フェアウェイ率68.8% OB率18.0% バンカー率5.5%
