,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：383yd,Hdcp：2,PAR：3,Reg.：217yd,Hdcp：7,PAR：4,Reg.：392yd,Hdcp：1
1,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,左ドッグレッグのミドル　奥がＬ（左）グリーン,左ドッグレッグのミドル　奥がＬ（左）グリーン,左ドッグレッグのミドル　奥がＬ（左）グリーン
2,難易度7位/9ホール中 平均スコア5.25 平均パット数1.87 パーオン率15.0% フェアウェイ率62.5% OB率42.5% バンカー率16.5%,難易度7位/9ホール中 平均スコア5.25 平均パット数1.87 パーオン率15.0% フェアウェイ率62.5% OB率42.5% バンカー率16.5%,難易度7位/9ホール中 平均スコア5.25 平均パット数1.87 パーオン率15.0% フェアウェイ率62.5% OB率42.5% バンカー率16.5%,難易度6位/9ホール中 平均スコア4.22 平均パット数1.9 パーオン率10.3% フェアウェイ率- OB率28.3% バンカー率29.8%,難易度6位/9ホール中 平均スコア4.22 平均パット数1.9 パーオン率10.3% フェアウェイ率- OB率28.3% バンカー率29.8%,難易度6位/9ホール中 平均スコア4.22 平均パット数1.9 パーオン率10.3% フェアウェイ率- OB率28.3% バンカー率29.8%,難易度1位/9ホール中 平均スコア5.47 平均パット数1.95 パーオン率5.5% フェアウェイ率51.3% OB率24.0% バンカー率20.0%,難易度1位/9ホール中 平均スコア5.47 平均パット数1.95 パーオン率5.5% フェアウェイ率51.3% OB率24.0% バンカー率20.0%,難易度1位/9ホール中 平均スコア5.47 平均パット数1.95 パーオン率5.5% フェアウェイ率51.3% OB率24.0% バンカー率20.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：529yd,Hdcp：5,PAR：4,Reg.：374yd,Hdcp：6,PAR：3,Reg.：149yd,Hdcp：9
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いショートホール　奥がＬ（左）グリーン,短いショートホール　奥がＬ（左）グリーン,短いショートホール　奥がＬ（左）グリーン
6,難易度4位/9ホール中 平均スコア6.35 平均パット数1.98 パーオン率27.5% フェアウェイ率52.0% OB率48.5% バンカー率24.0%,難易度4位/9ホール中 平均スコア6.35 平均パット数1.98 パーオン率27.5% フェアウェイ率52.0% OB率48.5% バンカー率24.0%,難易度4位/9ホール中 平均スコア6.35 平均パット数1.98 パーオン率27.5% フェアウェイ率52.0% OB率48.5% バンカー率24.0%,難易度8位/9ホール中 平均スコア5.28 平均パット数1.96 パーオン率18.8% フェアウェイ率41.5% OB率45.3% バンカー率29.7%,難易度8位/9ホール中 平均スコア5.28 平均パット数1.96 パーオン率18.8% フェアウェイ率41.5% OB率45.3% バンカー率29.7%,難易度8位/9ホール中 平均スコア5.28 平均パット数1.96 パーオン率18.8% フェアウェイ率41.5% OB率45.3% バンカー率29.7%,難易度9位/9ホール中 平均スコア3.8 平均パット数1.9 パーオン率34.0% フェアウェイ率- OB率16.0% バンカー率22.8%,難易度9位/9ホール中 平均スコア3.8 平均パット数1.9 パーオン率34.0% フェアウェイ率- OB率16.0% バンカー率22.8%,難易度9位/9ホール中 平均スコア3.8 平均パット数1.9 パーオン率34.0% フェアウェイ率- OB率16.0% バンカー率22.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：393yd,Hdcp：8,PAR：5,Reg.：581yd,Hdcp：3,PAR：4,Reg.：352yd,Hdcp：4
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,短いミドルホール,短いミドルホール,短いミドルホール
10,難易度5位/9ホール中 平均スコア5.26 平均パット数1.92 パーオン率17.3% フェアウェイ率60.8% OB率23.8% バンカー率40.8%,難易度5位/9ホール中 平均スコア5.26 平均パット数1.92 パーオン率17.3% フェアウェイ率60.8% OB率23.8% バンカー率40.8%,難易度5位/9ホール中 平均スコア5.26 平均パット数1.92 パーオン率17.3% フェアウェイ率60.8% OB率23.8% バンカー率40.8%,難易度2位/9ホール中 平均スコア6.48 平均パット数1.92 パーオン率12.5% フェアウェイ率41.0% OB率22.5% バンカー率38.8%,難易度2位/9ホール中 平均スコア6.48 平均パット数1.92 パーオン率12.5% フェアウェイ率41.0% OB率22.5% バンカー率38.8%,難易度2位/9ホール中 平均スコア6.48 平均パット数1.92 パーオン率12.5% フェアウェイ率41.0% OB率22.5% バンカー率38.8%,難易度3位/9ホール中 平均スコア5.35 平均パット数1.99 パーオン率13.0% フェアウェイ率51.8% OB率9.5% バンカー率39.3%,難易度3位/9ホール中 平均スコア5.35 平均パット数1.99 パーオン率13.0% フェアウェイ率51.8% OB率9.5% バンカー率39.3%,難易度3位/9ホール中 平均スコア5.35 平均パット数1.99 パーオン率13.0% フェアウェイ率51.8% OB率9.5% バンカー率39.3%
