,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：340yd,Hdcp：8,PAR：3,Reg.：128yd,Hdcp：18,PAR：4,Reg.：340yd,Hdcp：4
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いショートホール,短いショートホール,短いショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
2,難易度4位/18ホール中 平均スコア5.38 平均パット数1.94 パーオン率14.5% フェアウェイ率56.5% OB率25.0% バンカー率26.3%,難易度4位/18ホール中 平均スコア5.38 平均パット数1.94 パーオン率14.5% フェアウェイ率56.5% OB率25.0% バンカー率26.3%,難易度4位/18ホール中 平均スコア5.38 平均パット数1.94 パーオン率14.5% フェアウェイ率56.5% OB率25.0% バンカー率26.3%,難易度14位/18ホール中 平均スコア3.93 平均パット数1.9 パーオン率20.3% フェアウェイ率- OB率14.8% バンカー率18.0%,難易度14位/18ホール中 平均スコア3.93 平均パット数1.9 パーオン率20.3% フェアウェイ率- OB率14.8% バンカー率18.0%,難易度14位/18ホール中 平均スコア3.93 平均パット数1.9 パーオン率20.3% フェアウェイ率- OB率14.8% バンカー率18.0%,難易度3位/18ホール中 平均スコア5.44 平均パット数1.99 パーオン率16.3% フェアウェイ率54.5% OB率39.0% バンカー率22.8%,難易度3位/18ホール中 平均スコア5.44 平均パット数1.99 パーオン率16.3% フェアウェイ率54.5% OB率39.0% バンカー率22.8%,難易度3位/18ホール中 平均スコア5.44 平均パット数1.99 パーオン率16.3% フェアウェイ率54.5% OB率39.0% バンカー率22.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：301yd,Hdcp：10,PAR：3,Reg.：147yd,Hdcp：2,PAR：3,Reg.：140yd,Hdcp：12
5,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,ショートホール,ショートホール,ショートホール,ショートホール,ショートホール,ショートホール
6,難易度6位/18ホール中 平均スコア5.23 平均パット数1.94 パーオン率20.0% フェアウェイ率60.5% OB率15.3% バンカー率46.3%,難易度6位/18ホール中 平均スコア5.23 平均パット数1.94 パーオン率20.0% フェアウェイ率60.5% OB率15.3% バンカー率46.3%,難易度6位/18ホール中 平均スコア5.23 平均パット数1.94 パーオン率20.0% フェアウェイ率60.5% OB率15.3% バンカー率46.3%,難易度10位/18ホール中 平均スコア4.07 平均パット数1.96 パーオン率16.3% フェアウェイ率- OB率12.5% バンカー率13.5%,難易度10位/18ホール中 平均スコア4.07 平均パット数1.96 パーオン率16.3% フェアウェイ率- OB率12.5% バンカー率13.5%,難易度10位/18ホール中 平均スコア4.07 平均パット数1.96 パーオン率16.3% フェアウェイ率- OB率12.5% バンカー率13.5%,難易度11位/18ホール中 平均スコア4.04 平均パット数1.93 パーオン率20.0% フェアウェイ率- OB率19.0% バンカー率31.3%,難易度11位/18ホール中 平均スコア4.04 平均パット数1.93 パーオン率20.0% フェアウェイ率- OB率19.0% バンカー率31.3%,難易度11位/18ホール中 平均スコア4.04 平均パット数1.93 パーオン率20.0% フェアウェイ率- OB率19.0% バンカー率31.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：110yd,Hdcp：16,PAR：3,Reg.：117yd,Hdcp：14,PAR：4,Reg.：338yd,Hdcp：6
9,短いショートホール,短いショートホール,短いショートホール,短いショートホール,短いショートホール,短いショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度17位/18ホール中 平均スコア3.87 平均パット数2.01 パーオン率31.3% フェアウェイ率- OB率11.0% バンカー率22.3%,難易度17位/18ホール中 平均スコア3.87 平均パット数2.01 パーオン率31.3% フェアウェイ率- OB率11.0% バンカー率22.3%,難易度17位/18ホール中 平均スコア3.87 平均パット数2.01 パーオン率31.3% フェアウェイ率- OB率11.0% バンカー率22.3%,難易度18位/18ホール中 平均スコア3.85 平均パット数1.89 パーオン率25.3% フェアウェイ率- OB率8.7% バンカー率14.5%,難易度18位/18ホール中 平均スコア3.85 平均パット数1.89 パーオン率25.3% フェアウェイ率- OB率8.7% バンカー率14.5%,難易度18位/18ホール中 平均スコア3.85 平均パット数1.89 パーオン率25.3% フェアウェイ率- OB率8.7% バンカー率14.5%,難易度7位/18ホール中 平均スコア5.2 平均パット数1.98 パーオン率22.5% フェアウェイ率66.5% OB率28.3% バンカー率16.8%,難易度7位/18ホール中 平均スコア5.2 平均パット数1.98 パーオン率22.5% フェアウェイ率66.5% OB率28.3% バンカー率16.8%,難易度7位/18ホール中 平均スコア5.2 平均パット数1.98 パーオン率22.5% フェアウェイ率66.5% OB率28.3% バンカー率16.8%
