,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：326yd,Hdcp：11,PAR：4,Reg.：326yd,Hdcp：15,PAR：4,Reg.：414yd,Hdcp：3
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度9位/18ホール中 平均スコア5.3 平均パット数2.02 パーオン率21.5% フェアウェイ率41.0% OB率8.3% バンカー率41.5%,難易度9位/18ホール中 平均スコア5.3 平均パット数2.02 パーオン率21.5% フェアウェイ率41.0% OB率8.3% バンカー率41.5%,難易度9位/18ホール中 平均スコア5.3 平均パット数2.02 パーオン率21.5% フェアウェイ率41.0% OB率8.3% バンカー率41.5%,難易度13位/18ホール中 平均スコア5.08 平均パット数2 パーオン率31.5% フェアウェイ率44.3% OB率29.7% バンカー率24.8%,難易度13位/18ホール中 平均スコア5.08 平均パット数2 パーオン率31.5% フェアウェイ率44.3% OB率29.7% バンカー率24.8%,難易度13位/18ホール中 平均スコア5.08 平均パット数2 パーオン率31.5% フェアウェイ率44.3% OB率29.7% バンカー率24.8%,難易度3位/18ホール中 平均スコア5.48 平均パット数1.91 パーオン率14.5% フェアウェイ率46.5% OB率30.0% バンカー率21.5%,難易度3位/18ホール中 平均スコア5.48 平均パット数1.91 パーオン率14.5% フェアウェイ率46.5% OB率30.0% バンカー率21.5%,難易度3位/18ホール中 平均スコア5.48 平均パット数1.91 パーオン率14.5% フェアウェイ率46.5% OB率30.0% バンカー率21.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：118yd,Hdcp：17,PAR：5,Reg.：470yd,Hdcp：9,PAR：4,Reg.：365yd,Hdcp：5
5,短いショートホール,短いショートホール,短いショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度18位/18ホール中 平均スコア3.71 平均パット数1.91 パーオン率39.5% フェアウェイ率- OB率5.0% バンカー率30.3%,難易度18位/18ホール中 平均スコア3.71 平均パット数1.91 パーオン率39.5% フェアウェイ率- OB率5.0% バンカー率30.3%,難易度18位/18ホール中 平均スコア3.71 平均パット数1.91 パーオン率39.5% フェアウェイ率- OB率5.0% バンカー率30.3%,難易度12位/18ホール中 平均スコア6.1 平均パット数1.98 パーオン率35.8% フェアウェイ率50.0% OB率34.0% バンカー率8.3%,難易度12位/18ホール中 平均スコア6.1 平均パット数1.98 パーオン率35.8% フェアウェイ率50.0% OB率34.0% バンカー率8.3%,難易度12位/18ホール中 平均スコア6.1 平均パット数1.98 パーオン率35.8% フェアウェイ率50.0% OB率34.0% バンカー率8.3%,難易度2位/18ホール中 平均スコア5.5 平均パット数2.14 パーオン率22.5% フェアウェイ率47.5% OB率37.0% バンカー率13.5%,難易度2位/18ホール中 平均スコア5.5 平均パット数2.14 パーオン率22.5% フェアウェイ率47.5% OB率37.0% バンカー率13.5%,難易度2位/18ホール中 平均スコア5.5 平均パット数2.14 パーオン率22.5% フェアウェイ率47.5% OB率37.0% バンカー率13.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：421yd,Hdcp：1,PAR：3,Reg.：150yd,Hdcp：13,PAR：5,Reg.：546yd,Hdcp：7
9,長いミドルホール,長いミドルホール,長いミドルホール,,,,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度1位/18ホール中 平均スコア5.66 平均パット数2.05 パーオン率14.5% フェアウェイ率46.3% OB率46.0% バンカー率19.5%,難易度1位/18ホール中 平均スコア5.66 平均パット数2.05 パーオン率14.5% フェアウェイ率46.3% OB率46.0% バンカー率19.5%,難易度1位/18ホール中 平均スコア5.66 平均パット数2.05 パーオン率14.5% フェアウェイ率46.3% OB率46.0% バンカー率19.5%,難易度17位/18ホール中 平均スコア3.91 平均パット数1.99 パーオン率32.8% フェアウェイ率- OB率20.0% バンカー率23.0%,難易度17位/18ホール中 平均スコア3.91 平均パット数1.99 パーオン率32.8% フェアウェイ率- OB率20.0% バンカー率23.0%,難易度17位/18ホール中 平均スコア3.91 平均パット数1.99 パーオン率32.8% フェアウェイ率- OB率20.0% バンカー率23.0%,難易度8位/18ホール中 平均スコア6.34 平均パット数1.98 パーオン率25.0% フェアウェイ率52.5% OB率40.3% バンカー率20.3%,難易度8位/18ホール中 平均スコア6.34 平均パット数1.98 パーオン率25.0% フェアウェイ率52.5% OB率40.3% バンカー率20.3%,難易度8位/18ホール中 平均スコア6.34 平均パット数1.98 パーオン率25.0% フェアウェイ率52.5% OB率40.3% バンカー率20.3%
