,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：380yd,Hdcp：5,PAR：4,Reg.：365yd,Hdcp：15,PAR：5,Reg.：545yd,Hdcp：1
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
2,難易度3位/18ホール中 平均スコア5.6 平均パット数2 パーオン率7.8% フェアウェイ率46.8% OB率16.3% バンカー率36.5%,難易度3位/18ホール中 平均スコア5.6 平均パット数2 パーオン率7.8% フェアウェイ率46.8% OB率16.3% バンカー率36.5%,難易度3位/18ホール中 平均スコア5.6 平均パット数2 パーオン率7.8% フェアウェイ率46.8% OB率16.3% バンカー率36.5%,難易度13位/18ホール中 平均スコア5.23 平均パット数1.86 パーオン率18.3% フェアウェイ率46.3% OB率21.0% バンカー率33.8%,難易度13位/18ホール中 平均スコア5.23 平均パット数1.86 パーオン率18.3% フェアウェイ率46.3% OB率21.0% バンカー率33.8%,難易度13位/18ホール中 平均スコア5.23 平均パット数1.86 パーオン率18.3% フェアウェイ率46.3% OB率21.0% バンカー率33.8%,難易度1位/18ホール中 平均スコア6.77 平均パット数2 パーオン率11.3% フェアウェイ率44.8% OB率26.8% バンカー率27.8%,難易度1位/18ホール中 平均スコア6.77 平均パット数2 パーオン率11.3% フェアウェイ率44.8% OB率26.8% バンカー率27.8%,難易度1位/18ホール中 平均スコア6.77 平均パット数2 パーオン率11.3% フェアウェイ率44.8% OB率26.8% バンカー率27.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：155yd,Hdcp：13,PAR：4,Reg.：335yd,Hdcp：9,PAR：4,Reg.：335yd,Hdcp：7
5,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度17位/18ホール中 平均スコア4.14 平均パット数1.91 パーオン率20.8% フェアウェイ率- OB率27.0% バンカー率37.0%,難易度17位/18ホール中 平均スコア4.14 平均パット数1.91 パーオン率20.8% フェアウェイ率- OB率27.0% バンカー率37.0%,難易度17位/18ホール中 平均スコア4.14 平均パット数1.91 パーオン率20.8% フェアウェイ率- OB率27.0% バンカー率37.0%,難易度9位/18ホール中 平均スコア5.36 平均パット数1.92 パーオン率18.3% フェアウェイ率46.3% OB率38.8% バンカー率19.8%,難易度9位/18ホール中 平均スコア5.36 平均パット数1.92 パーオン率18.3% フェアウェイ率46.3% OB率38.8% バンカー率19.8%,難易度9位/18ホール中 平均スコア5.36 平均パット数1.92 パーオン率18.3% フェアウェイ率46.3% OB率38.8% バンカー率19.8%,難易度14位/18ホール中 平均スコア5.26 平均パット数1.91 パーオン率20.0% フェアウェイ率48.8% OB率24.5% バンカー率36.8%,難易度14位/18ホール中 平均スコア5.26 平均パット数1.91 パーオン率20.0% フェアウェイ率48.8% OB率24.5% バンカー率36.8%,難易度14位/18ホール中 平均スコア5.26 平均パット数1.91 パーオン率20.0% フェアウェイ率48.8% OB率24.5% バンカー率36.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：415yd,Hdcp：3,PAR：3,Reg.：170yd,Hdcp：17,PAR：5,Reg.：530yd,Hdcp：11
9,長いミドルホール,長いミドルホール,長いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
10,難易度5位/18ホール中 平均スコア5.59 平均パット数1.91 パーオン率9.0% フェアウェイ率54.8% OB率41.8% バンカー率19.3%,難易度5位/18ホール中 平均スコア5.59 平均パット数1.91 パーオン率9.0% フェアウェイ率54.8% OB率41.8% バンカー率19.3%,難易度5位/18ホール中 平均スコア5.59 平均パット数1.91 パーオン率9.0% フェアウェイ率54.8% OB率41.8% バンカー率19.3%,難易度18位/18ホール中 平均スコア3.96 平均パット数1.93 パーオン率23.5% フェアウェイ率- OB率11.3% バンカー率26.8%,難易度18位/18ホール中 平均スコア3.96 平均パット数1.93 パーオン率23.5% フェアウェイ率- OB率11.3% バンカー率26.8%,難易度18位/18ホール中 平均スコア3.96 平均パット数1.93 パーオン率23.5% フェアウェイ率- OB率11.3% バンカー率26.8%,難易度8位/18ホール中 平均スコア6.42 平均パット数1.89 パーオン率22.5% フェアウェイ率47.5% OB率44.3% バンカー率14.0%,難易度8位/18ホール中 平均スコア6.42 平均パット数1.89 パーオン率22.5% フェアウェイ率47.5% OB率44.3% バンカー率14.0%,難易度8位/18ホール中 平均スコア6.42 平均パット数1.89 パーオン率22.5% フェアウェイ率47.5% OB率44.3% バンカー率14.0%
