,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：551yd,Hdcp：4,PAR：4,Reg.：419yd,Hdcp：1,PAR：3,Reg.：142yd,Hdcp：5
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール,,,
2,難易度2位/9ホール中 平均スコア6.73 平均パット数2.23 パーオン率22.0% フェアウェイ率48.3% OB率49.8% バンカー率18.0%,難易度2位/9ホール中 平均スコア6.73 平均パット数2.23 パーオン率22.0% フェアウェイ率48.3% OB率49.8% バンカー率18.0%,難易度2位/9ホール中 平均スコア6.73 平均パット数2.23 パーオン率22.0% フェアウェイ率48.3% OB率49.8% バンカー率18.0%,難易度1位/9ホール中 平均スコア5.92 平均パット数2.31 パーオン率12.3% フェアウェイ率42.3% OB率53.0% バンカー率17.0%,難易度1位/9ホール中 平均スコア5.92 平均パット数2.31 パーオン率12.3% フェアウェイ率42.3% OB率53.0% バンカー率17.0%,難易度1位/9ホール中 平均スコア5.92 平均パット数2.31 パーオン率12.3% フェアウェイ率42.3% OB率53.0% バンカー率17.0%,難易度9位/9ホール中 平均スコア3.96 平均パット数2.24 パーオン率44.5% フェアウェイ率- OB率21.0% バンカー率14.5%,難易度9位/9ホール中 平均スコア3.96 平均パット数2.24 パーオン率44.5% フェアウェイ率- OB率21.0% バンカー率14.5%,難易度9位/9ホール中 平均スコア3.96 平均パット数2.24 パーオン率44.5% フェアウェイ率- OB率21.0% バンカー率14.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：351yd,Hdcp：6,PAR：4,Reg.：393yd,Hdcp：2,PAR：4,Reg.：295yd,Hdcp：9
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度5位/9ホール中 平均スコア5.35 平均パット数2.14 パーオン率24.5% フェアウェイ率60.5% OB率19.3% バンカー率34.3%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.14 パーオン率24.5% フェアウェイ率60.5% OB率19.3% バンカー率34.3%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.14 パーオン率24.5% フェアウェイ率60.5% OB率19.3% バンカー率34.3%,難易度3位/9ホール中 平均スコア5.57 平均パット数2.18 パーオン率19.0% フェアウェイ率53.8% OB率18.8% バンカー率39.8%,難易度3位/9ホール中 平均スコア5.57 平均パット数2.18 パーオン率19.0% フェアウェイ率53.8% OB率18.8% バンカー率39.8%,難易度3位/9ホール中 平均スコア5.57 平均パット数2.18 パーオン率19.0% フェアウェイ率53.8% OB率18.8% バンカー率39.8%,難易度8位/9ホール中 平均スコア4.9 平均パット数2.16 パーオン率48.3% フェアウェイ率57.3% OB率11.7% バンカー率39.8%,難易度8位/9ホール中 平均スコア4.9 平均パット数2.16 パーオン率48.3% フェアウェイ率57.3% OB率11.7% バンカー率39.8%,難易度8位/9ホール中 平均スコア4.9 平均パット数2.16 パーオン率48.3% フェアウェイ率57.3% OB率11.7% バンカー率39.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：383yd,Hdcp：8,PAR：3,Reg.：191yd,Hdcp：3,PAR：5,Reg.：474yd,Hdcp：7
9,長いミドルホール,長いミドルホール,長いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度4位/9ホール中 平均スコア5.45 平均パット数2.23 パーオン率24.3% フェアウェイ率49.3% OB率26.8% バンカー率32.8%,難易度4位/9ホール中 平均スコア5.45 平均パット数2.23 パーオン率24.3% フェアウェイ率49.3% OB率26.8% バンカー率32.8%,難易度4位/9ホール中 平均スコア5.45 平均パット数2.23 パーオン率24.3% フェアウェイ率49.3% OB率26.8% バンカー率32.8%,難易度7位/9ホール中 平均スコア4.06 平均パット数2.17 パーオン率43.5% フェアウェイ率- OB率12.3% バンカー率1.5%,難易度7位/9ホール中 平均スコア4.06 平均パット数2.17 パーオン率43.5% フェアウェイ率- OB率12.3% バンカー率1.5%,難易度7位/9ホール中 平均スコア4.06 平均パット数2.17 パーオン率43.5% フェアウェイ率- OB率12.3% バンカー率1.5%,難易度6位/9ホール中 平均スコア6.25 平均パット数2.16 パーオン率37.8% フェアウェイ率60.8% OB率37.8% バンカー率23.3%,難易度6位/9ホール中 平均スコア6.25 平均パット数2.16 パーオン率37.8% フェアウェイ率60.8% OB率37.8% バンカー率23.3%,難易度6位/9ホール中 平均スコア6.25 平均パット数2.16 パーオン率37.8% フェアウェイ率60.8% OB率37.8% バンカー率23.3%
