,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：506yd,Hdcp：10,PAR：3,Reg.：163yd,Hdcp：16,PAR：4,Reg.：381yd,Hdcp：4
1,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,長いショートホール,長いショートホール,長いショートホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
2,難易度8位/18ホール中 平均スコア6.55 平均パット数2.13 パーオン率27.0% フェアウェイ率58.3% OB率46.8% バンカー率6.5%,難易度8位/18ホール中 平均スコア6.55 平均パット数2.13 パーオン率27.0% フェアウェイ率58.3% OB率46.8% バンカー率6.5%,難易度8位/18ホール中 平均スコア6.55 平均パット数2.13 パーオン率27.0% フェアウェイ率58.3% OB率46.8% バンカー率6.5%,難易度17位/18ホール中 平均スコア4.13 平均パット数2.04 パーオン率17.8% フェアウェイ率- OB率11.7% バンカー率32.0%,難易度17位/18ホール中 平均スコア4.13 平均パット数2.04 パーオン率17.8% フェアウェイ率- OB率11.7% バンカー率32.0%,難易度17位/18ホール中 平均スコア4.13 平均パット数2.04 パーオン率17.8% フェアウェイ率- OB率11.7% バンカー率32.0%,難易度3位/18ホール中 平均スコア5.75 平均パット数2.06 パーオン率10.3% フェアウェイ率49.8% OB率46.0% バンカー率26.5%,難易度3位/18ホール中 平均スコア5.75 平均パット数2.06 パーオン率10.3% フェアウェイ率49.8% OB率46.0% バンカー率26.5%,難易度3位/18ホール中 平均スコア5.75 平均パット数2.06 パーオン率10.3% フェアウェイ率49.8% OB率46.0% バンカー率26.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：535yd,Hdcp：2,PAR：4,Reg.：392yd,Hdcp：6,PAR：4,Reg.：275yd,Hdcp：8
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度2位/18ホール中 平均スコア6.65 平均パット数2.08 パーオン率20.5% フェアウェイ率62.5% OB率49.5% バンカー率18.3%,難易度2位/18ホール中 平均スコア6.65 平均パット数2.08 パーオン率20.5% フェアウェイ率62.5% OB率49.5% バンカー率18.3%,難易度2位/18ホール中 平均スコア6.65 平均パット数2.08 パーオン率20.5% フェアウェイ率62.5% OB率49.5% バンカー率18.3%,難易度11位/18ホール中 平均スコア5.46 平均パット数2.11 パーオン率19.3% フェアウェイ率57.0% OB率37.8% バンカー率17.3%,難易度11位/18ホール中 平均スコア5.46 平均パット数2.11 パーオン率19.3% フェアウェイ率57.0% OB率37.8% バンカー率17.3%,難易度11位/18ホール中 平均スコア5.46 平均パット数2.11 パーオン率19.3% フェアウェイ率57.0% OB率37.8% バンカー率17.3%,難易度12位/18ホール中 平均スコア5.37 平均パット数2.07 パーオン率22.0% フェアウェイ率61.5% OB率23.3% バンカー率10.3%,難易度12位/18ホール中 平均スコア5.37 平均パット数2.07 パーオン率22.0% フェアウェイ率61.5% OB率23.3% バンカー率10.3%,難易度12位/18ホール中 平均スコア5.37 平均パット数2.07 パーオン率22.0% フェアウェイ率61.5% OB率23.3% バンカー率10.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：368yd,Hdcp：14,PAR：3,Reg.：113yd,Hdcp：18,PAR：4,Reg.：389yd,Hdcp：12
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,短いショートホール,短いショートホール,短いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度9位/18ホール中 平均スコア5.49 平均パット数2.04 パーオン率19.5% フェアウェイ率62.0% OB率41.3% バンカー率12.5%,難易度9位/18ホール中 平均スコア5.49 平均パット数2.04 パーオン率19.5% フェアウェイ率62.0% OB率41.3% バンカー率12.5%,難易度9位/18ホール中 平均スコア5.49 平均パット数2.04 パーオン率19.5% フェアウェイ率62.0% OB率41.3% バンカー率12.5%,難易度18位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率21.5% フェアウェイ率- OB率14.3% バンカー率14.0%,難易度18位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率21.5% フェアウェイ率- OB率14.3% バンカー率14.0%,難易度18位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率21.5% フェアウェイ率- OB率14.3% バンカー率14.0%,難易度6位/18ホール中 平均スコア5.65 平均パット数2.05 パーオン率14.8% フェアウェイ率58.5% OB率48.3% バンカー率18.5%,難易度6位/18ホール中 平均スコア5.65 平均パット数2.05 パーオン率14.8% フェアウェイ率58.5% OB率48.3% バンカー率18.5%,難易度6位/18ホール中 平均スコア5.65 平均パット数2.05 パーオン率14.8% フェアウェイ率58.5% OB率48.3% バンカー率18.5%
