,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：511yd,Hdcp：10,PAR：4,Reg.：368yd,Hdcp：16,PAR：4,Reg.：386yd,Hdcp：4
1,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度7位/18ホール中 平均スコア6.8 平均パット数2.22 パーオン率17.5% フェアウェイ率50.0% OB率- バンカー率80.0%,難易度7位/18ホール中 平均スコア6.8 平均パット数2.22 パーオン率17.5% フェアウェイ率50.0% OB率- バンカー率80.0%,難易度7位/18ホール中 平均スコア6.8 平均パット数2.22 パーオン率17.5% フェアウェイ率50.0% OB率- バンカー率80.0%,難易度16位/18ホール中 平均スコア4.83 平均パット数1.73 パーオン率46.0% フェアウェイ率25.0% OB率32.0% バンカー率39.5%,難易度16位/18ホール中 平均スコア4.83 平均パット数1.73 パーオン率46.0% フェアウェイ率25.0% OB率32.0% バンカー率39.5%,難易度16位/18ホール中 平均スコア4.83 平均パット数1.73 パーオン率46.0% フェアウェイ率25.0% OB率32.0% バンカー率39.5%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.36 パーオン率65.0% フェアウェイ率58.5% OB率- バンカー率75.0%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.36 パーオン率65.0% フェアウェイ率58.5% OB率- バンカー率75.0%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.36 パーオン率65.0% フェアウェイ率58.5% OB率- バンカー率75.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：411yd,Hdcp：2,PAR：3,Reg.：186yd,Hdcp：14,PAR：5,Reg.：536yd,Hdcp：8
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,ショートホール,ショートホール,ショートホール,池越えのロングホール,池越えのロングホール,池越えのロングホール
6,難易度6位/18ホール中 平均スコア5.58 平均パット数1.98 パーオン率41.0% フェアウェイ率58.0% OB率50.0% バンカー率50.0%,難易度6位/18ホール中 平均スコア5.58 平均パット数1.98 パーオン率41.0% フェアウェイ率58.0% OB率50.0% バンカー率50.0%,難易度6位/18ホール中 平均スコア5.58 平均パット数1.98 パーオン率41.0% フェアウェイ率58.0% OB率50.0% バンカー率50.0%,難易度18位/18ホール中 平均スコア3.89 平均パット数2.24 パーオン率31.7% フェアウェイ率- OB率29.0% バンカー率71.5%,難易度18位/18ホール中 平均スコア3.89 平均パット数2.24 パーオン率31.7% フェアウェイ率- OB率29.0% バンカー率71.5%,難易度18位/18ホール中 平均スコア3.89 平均パット数2.24 パーオン率31.7% フェアウェイ率- OB率29.0% バンカー率71.5%,難易度3位/18ホール中 平均スコア6.28 平均パット数1.94 パーオン率46.7% フェアウェイ率54.0% OB率29.0% バンカー率64.5%,難易度3位/18ホール中 平均スコア6.28 平均パット数1.94 パーオン率46.7% フェアウェイ率54.0% OB率29.0% バンカー率64.5%,難易度3位/18ホール中 平均スコア6.28 平均パット数1.94 パーオン率46.7% フェアウェイ率54.0% OB率29.0% バンカー率64.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：387yd,Hdcp：6,PAR：3,Reg.：187yd,Hdcp：18,PAR：4,Reg.：353yd,Hdcp：12
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,ショートホール,ショートホール,ショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度4位/18ホール中 平均スコア5.98 平均パット数1.67 パーオン率6.5% フェアウェイ率64.0% OB率20.0% バンカー率73.3%,難易度4位/18ホール中 平均スコア5.98 平均パット数1.67 パーオン率6.5% フェアウェイ率64.0% OB率20.0% バンカー率73.3%,難易度4位/18ホール中 平均スコア5.98 平均パット数1.67 パーオン率6.5% フェアウェイ率64.0% OB率20.0% バンカー率73.3%,難易度17位/18ホール中 平均スコア3.57 平均パット数2 パーオン率54.0% フェアウェイ率- OB率33.0% バンカー率42.0%,難易度17位/18ホール中 平均スコア3.57 平均パット数2 パーオン率54.0% フェアウェイ率- OB率33.0% バンカー率42.0%,難易度17位/18ホール中 平均スコア3.57 平均パット数2 パーオン率54.0% フェアウェイ率- OB率33.0% バンカー率42.0%,難易度14位/18ホール中 平均スコア5.22 平均パット数2.03 パーオン率12.5% フェアウェイ率41.5% OB率- バンカー率75.0%,難易度14位/18ホール中 平均スコア5.22 平均パット数2.03 パーオン率12.5% フェアウェイ率41.5% OB率- バンカー率75.0%,難易度14位/18ホール中 平均スコア5.22 平均パット数2.03 パーオン率12.5% フェアウェイ率41.5% OB率- バンカー率75.0%
