,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：348yd,Hdcp：9,PAR：4,Reg.：357yd,Hdcp：15,PAR：5,Reg.：539yd,Hdcp：3
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
2,難易度4位/18ホール中 平均スコア5.54 平均パット数2.02 パーオン率11.3% フェアウェイ率43.5% OB率3.5% バンカー率17.0%,難易度4位/18ホール中 平均スコア5.54 平均パット数2.02 パーオン率11.3% フェアウェイ率43.5% OB率3.5% バンカー率17.0%,難易度4位/18ホール中 平均スコア5.54 平均パット数2.02 パーオン率11.3% フェアウェイ率43.5% OB率3.5% バンカー率17.0%,難易度13位/18ホール中 平均スコア5.15 平均パット数2.02 パーオン率30.5% フェアウェイ率48.0% OB率17.8% バンカー率23.5%,難易度13位/18ホール中 平均スコア5.15 平均パット数2.02 パーオン率30.5% フェアウェイ率48.0% OB率17.8% バンカー率23.5%,難易度13位/18ホール中 平均スコア5.15 平均パット数2.02 パーオン率30.5% フェアウェイ率48.0% OB率17.8% バンカー率23.5%,難易度2位/18ホール中 平均スコア6.61 平均パット数2.04 パーオン率16.8% フェアウェイ率46.0% OB率29.5% バンカー率26.3%,難易度2位/18ホール中 平均スコア6.61 平均パット数2.04 パーオン率16.8% フェアウェイ率46.0% OB率29.5% バンカー率26.3%,難易度2位/18ホール中 平均スコア6.61 平均パット数2.04 パーオン率16.8% フェアウェイ率46.0% OB率29.5% バンカー率26.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：162yd,Hdcp：13,PAR：4,Reg.：386yd,Hdcp：7,PAR：4,Reg.：399yd,Hdcp：1
5,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度14位/18ホール中 平均スコア4.13 平均パット数1.94 パーオン率15.8% フェアウェイ率- OB率9.8% バンカー率19.0%,難易度14位/18ホール中 平均スコア4.13 平均パット数1.94 パーオン率15.8% フェアウェイ率- OB率9.8% バンカー率19.0%,難易度14位/18ホール中 平均スコア4.13 平均パット数1.94 パーオン率15.8% フェアウェイ率- OB率9.8% バンカー率19.0%,難易度6位/18ホール中 平均スコア5.39 平均パット数1.98 パーオン率14.3% フェアウェイ率46.3% OB率15.3% バンカー率18.8%,難易度6位/18ホール中 平均スコア5.39 平均パット数1.98 パーオン率14.3% フェアウェイ率46.3% OB率15.3% バンカー率18.8%,難易度6位/18ホール中 平均スコア5.39 平均パット数1.98 パーオン率14.3% フェアウェイ率46.3% OB率15.3% バンカー率18.8%,難易度3位/18ホール中 平均スコア5.59 平均パット数2.05 パーオン率12.8% フェアウェイ率43.0% OB率3.0% バンカー率13.0%,難易度3位/18ホール中 平均スコア5.59 平均パット数2.05 パーオン率12.8% フェアウェイ率43.0% OB率3.0% バンカー率13.0%,難易度3位/18ホール中 平均スコア5.59 平均パット数2.05 パーオン率12.8% フェアウェイ率43.0% OB率3.0% バンカー率13.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：362yd,Hdcp：5,PAR：3,Reg.：157yd,Hdcp：17,PAR：5,Reg.：483yd,Hdcp：11
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,ショートホール,ショートホール,ショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度8位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率19.8% フェアウェイ率44.5% OB率2.3% バンカー率26.3%,難易度8位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率19.8% フェアウェイ率44.5% OB率2.3% バンカー率26.3%,難易度8位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率19.8% フェアウェイ率44.5% OB率2.3% バンカー率26.3%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.03 パーオン率31.5% フェアウェイ率- OB率8.0% バンカー率24.5%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.03 パーオン率31.5% フェアウェイ率- OB率8.0% バンカー率24.5%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.03 パーオン率31.5% フェアウェイ率- OB率8.0% バンカー率24.5%,難易度12位/18ホール中 平均スコア6.14 平均パット数2.06 パーオン率37.0% フェアウェイ率55.5% OB率25.3% バンカー率20.0%,難易度12位/18ホール中 平均スコア6.14 平均パット数2.06 パーオン率37.0% フェアウェイ率55.5% OB率25.3% バンカー率20.0%,難易度12位/18ホール中 平均スコア6.14 平均パット数2.06 パーオン率37.0% フェアウェイ率55.5% OB率25.3% バンカー率20.0%
