,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：398yd,Hdcp：16,PAR：5,Reg.：470yd,Hdcp：4,PAR：3,Reg.：177yd,Hdcp：10
1,長いミドルホール,長いミドルホール,長いミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール
2,難易度10位/18ホール中 平均スコア5.29 平均パット数2.12 パーオン率28.0% フェアウェイ率48.3% OB率35.0% バンカー率17.3%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.12 パーオン率28.0% フェアウェイ率48.3% OB率35.0% バンカー率17.3%,難易度10位/18ホール中 平均スコア5.29 平均パット数2.12 パーオン率28.0% フェアウェイ率48.3% OB率35.0% バンカー率17.3%,難易度2位/18ホール中 平均スコア6.6 平均パット数2.15 パーオン率25.0% フェアウェイ率45.3% OB率48.8% バンカー率9.5%,難易度2位/18ホール中 平均スコア6.6 平均パット数2.15 パーオン率25.0% フェアウェイ率45.3% OB率48.8% バンカー率9.5%,難易度2位/18ホール中 平均スコア6.6 平均パット数2.15 パーオン率25.0% フェアウェイ率45.3% OB率48.8% バンカー率9.5%,難易度16位/18ホール中 平均スコア3.97 平均パット数2.02 パーオン率29.5% フェアウェイ率- OB率23.5% バンカー率17.3%,難易度16位/18ホール中 平均スコア3.97 平均パット数2.02 パーオン率29.5% フェアウェイ率- OB率23.5% バンカー率17.3%,難易度16位/18ホール中 平均スコア3.97 平均パット数2.02 パーオン率29.5% フェアウェイ率- OB率23.5% バンカー率17.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：367yd,Hdcp：14,PAR：4,Reg.：348yd,Hdcp：2,PAR：3,Reg.：159yd,Hdcp：8
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度11位/18ホール中 平均スコア5.34 平均パット数2.18 パーオン率25.3% フェアウェイ率46.3% OB率21.8% バンカー率19.5%,難易度11位/18ホール中 平均スコア5.34 平均パット数2.18 パーオン率25.3% フェアウェイ率46.3% OB率21.8% バンカー率19.5%,難易度11位/18ホール中 平均スコア5.34 平均パット数2.18 パーオン率25.3% フェアウェイ率46.3% OB率21.8% バンカー率19.5%,難易度8位/18ホール中 平均スコア5.33 平均パット数2.07 パーオン率18.3% フェアウェイ率42.8% OB率19.8% バンカー率19.5%,難易度8位/18ホール中 平均スコア5.33 平均パット数2.07 パーオン率18.3% フェアウェイ率42.8% OB率19.8% バンカー率19.5%,難易度8位/18ホール中 平均スコア5.33 平均パット数2.07 パーオン率18.3% フェアウェイ率42.8% OB率19.8% バンカー率19.5%,難易度17位/18ホール中 平均スコア3.93 平均パット数2.1 パーオン率39.5% フェアウェイ率- OB率14.5% バンカー率16.3%,難易度17位/18ホール中 平均スコア3.93 平均パット数2.1 パーオン率39.5% フェアウェイ率- OB率14.5% バンカー率16.3%,難易度17位/18ホール中 平均スコア3.93 平均パット数2.1 パーオン率39.5% フェアウェイ率- OB率14.5% バンカー率16.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：366yd,Hdcp：6,PAR：5,Reg.：463yd,Hdcp：18,PAR：4,Reg.：335yd,Hdcp：12
9,長いミドルホール,長いミドルホール,長いミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度3位/18ホール中 平均スコア5.5 平均パット数2.1 パーオン率14.3% フェアウェイ率46.0% OB率23.3% バンカー率10.5%,難易度3位/18ホール中 平均スコア5.5 平均パット数2.1 パーオン率14.3% フェアウェイ率46.0% OB率23.3% バンカー率10.5%,難易度3位/18ホール中 平均スコア5.5 平均パット数2.1 パーオン率14.3% フェアウェイ率46.0% OB率23.3% バンカー率10.5%,難易度14位/18ホール中 平均スコア6.14 平均パット数2.07 パーオン率39.3% フェアウェイ率48.5% OB率38.0% バンカー率12.0%,難易度14位/18ホール中 平均スコア6.14 平均パット数2.07 パーオン率39.3% フェアウェイ率48.5% OB率38.0% バンカー率12.0%,難易度14位/18ホール中 平均スコア6.14 平均パット数2.07 パーオン率39.3% フェアウェイ率48.5% OB率38.0% バンカー率12.0%,難易度12位/18ホール中 平均スコア5.27 平均パット数2.12 パーオン率29.5% フェアウェイ率50.8% OB率33.5% バンカー率10.3%,難易度12位/18ホール中 平均スコア5.27 平均パット数2.12 パーオン率29.5% フェアウェイ率50.8% OB率33.5% バンカー率10.3%,難易度12位/18ホール中 平均スコア5.27 平均パット数2.12 パーオン率29.5% フェアウェイ率50.8% OB率33.5% バンカー率10.3%
