,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：545yd,Hdcp：3,PAR：3,Reg.：173yd,Hdcp：11,PAR：4,Reg.：400yd,Hdcp：13
1,真っ直ぐなロングホール　サイドバンカー右側に池,真っ直ぐなロングホール　サイドバンカー右側に池,真っ直ぐなロングホール　サイドバンカー右側に池,池越えのショートホール　右側が高い２段グリーン,池越えのショートホール　右側が高い２段グリーン,池越えのショートホール　右側が高い２段グリーン,ティショットの狙い目は、ＦＷのほぼ中央,ティショットの狙い目は、ＦＷのほぼ中央,ティショットの狙い目は、ＦＷのほぼ中央
2,難易度9位/18ホール中 平均スコア6.32 平均パット数1.91 パーオン率20.7% フェアウェイ率55.7% OB率- バンカー率23.0%,難易度9位/18ホール中 平均スコア6.32 平均パット数1.91 パーオン率20.7% フェアウェイ率55.7% OB率- バンカー率23.0%,難易度9位/18ホール中 平均スコア6.32 平均パット数1.91 パーオン率20.7% フェアウェイ率55.7% OB率- バンカー率23.0%,難易度16位/18ホール中 平均スコア4.01 平均パット数1.92 パーオン率22.3% フェアウェイ率- OB率17.0% バンカー率21.0%,難易度16位/18ホール中 平均スコア4.01 平均パット数1.92 パーオン率22.3% フェアウェイ率- OB率17.0% バンカー率21.0%,難易度16位/18ホール中 平均スコア4.01 平均パット数1.92 パーオン率22.3% フェアウェイ率- OB率17.0% バンカー率21.0%,難易度6位/18ホール中 平均スコア5.27 平均パット数1.92 パーオン率14.8% フェアウェイ率42.8% OB率22.8% バンカー率33.0%,難易度6位/18ホール中 平均スコア5.27 平均パット数1.92 パーオン率14.8% フェアウェイ率42.8% OB率22.8% バンカー率33.0%,難易度6位/18ホール中 平均スコア5.27 平均パット数1.92 パーオン率14.8% フェアウェイ率42.8% OB率22.8% バンカー率33.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：378yd,Hdcp：7,PAR：4,Reg.：421yd,Hdcp：1,PAR：4,Reg.：356yd,Hdcp：15
5,ティショットの狙い目はフェアウェイ右側,ティショットの狙い目はフェアウェイ右側,ティショットの狙い目はフェアウェイ右側,ホール全体が右に傾斜　狙い目はＦＷ左サイド,ホール全体が右に傾斜　狙い目はＦＷ左サイド,ホール全体が右に傾斜　狙い目はＦＷ左サイド,２打目付近にポットバンカーあり,２打目付近にポットバンカーあり,２打目付近にポットバンカーあり
6,難易度8位/18ホール中 平均スコア5.28 平均パット数1.92 パーオン率20.7% フェアウェイ率37.3% OB率- バンカー率23.7%,難易度8位/18ホール中 平均スコア5.28 平均パット数1.92 パーオン率20.7% フェアウェイ率37.3% OB率- バンカー率23.7%,難易度8位/18ホール中 平均スコア5.28 平均パット数1.92 パーオン率20.7% フェアウェイ率37.3% OB率- バンカー率23.7%,難易度5位/18ホール中 平均スコア5.42 平均パット数1.98 パーオン率20.7% フェアウェイ率40.5% OB率10.0% バンカー率38.8%,難易度5位/18ホール中 平均スコア5.42 平均パット数1.98 パーオン率20.7% フェアウェイ率40.5% OB率10.0% バンカー率38.8%,難易度5位/18ホール中 平均スコア5.42 平均パット数1.98 パーオン率20.7% フェアウェイ率40.5% OB率10.0% バンカー率38.8%,難易度14位/18ホール中 平均スコア5.03 平均パット数1.87 パーオン率25.3% フェアウェイ率43.8% OB率28.3% バンカー率33.0%,難易度14位/18ホール中 平均スコア5.03 平均パット数1.87 パーオン率25.3% フェアウェイ率43.8% OB率28.3% バンカー率33.0%,難易度14位/18ホール中 平均スコア5.03 平均パット数1.87 パーオン率25.3% フェアウェイ率43.8% OB率28.3% バンカー率33.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：148yd,Hdcp：17,PAR：5,Reg.：543yd,Hdcp：9,PAR：4,Reg.：392yd,Hdcp：5
9,短いショートホール　左側が高い３段グリーン,短いショートホール　左側が高い３段グリーン,短いショートホール　左側が高い３段グリーン,狙い目はＦＷ中央　グリーンはゆるやかに右に傾斜,狙い目はＦＷ中央　グリーンはゆるやかに右に傾斜,狙い目はＦＷ中央　グリーンはゆるやかに右に傾斜,左側はＯＢ　奥が深い２段グリーン,左側はＯＢ　奥が深い２段グリーン,左側はＯＢ　奥が深い２段グリーン
10,難易度18位/18ホール中 平均スコア3.72 平均パット数1.98 パーオン率41.0% フェアウェイ率- OB率33.0% バンカー率37.5%,難易度18位/18ホール中 平均スコア3.72 平均パット数1.98 パーオン率41.0% フェアウェイ率- OB率33.0% バンカー率37.5%,難易度18位/18ホール中 平均スコア3.72 平均パット数1.98 パーオン率41.0% フェアウェイ率- OB率33.0% バンカー率37.5%,難易度7位/18ホール中 平均スコア6.26 平均パット数1.86 パーオン率21.5% フェアウェイ率49.0% OB率21.0% バンカー率33.3%,難易度7位/18ホール中 平均スコア6.26 平均パット数1.86 パーオン率21.5% フェアウェイ率49.0% OB率21.0% バンカー率33.3%,難易度7位/18ホール中 平均スコア6.26 平均パット数1.86 パーオン率21.5% フェアウェイ率49.0% OB率21.0% バンカー率33.3%,難易度13位/18ホール中 平均スコア5.21 平均パット数1.95 パーオン率17.0% フェアウェイ率44.0% OB率11.5% バンカー率31.5%,難易度13位/18ホール中 平均スコア5.21 平均パット数1.95 パーオン率17.0% フェアウェイ率44.0% OB率11.5% バンカー率31.5%,難易度13位/18ホール中 平均スコア5.21 平均パット数1.95 パーオン率17.0% フェアウェイ率44.0% OB率11.5% バンカー率31.5%
