,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：551yd,Hdcp：,PAR：3,Reg.：179yd,Hdcp：,PAR：4,Reg.：408yd,Hdcp：
1,やや左ドッグレッグのロングホール,やや左ドッグレッグのロングホール,やや左ドッグレッグのロングホール,ショートホール,ショートホール,ショートホール,長いミドルホール,長いミドルホール,長いミドルホール
2,難易度1位/9ホール中 平均スコア6.78 平均パット数2.01 パーオン率12.3% フェアウェイ率43.5% OB率43.0% バンカー率21.0%,難易度1位/9ホール中 平均スコア6.78 平均パット数2.01 パーオン率12.3% フェアウェイ率43.5% OB率43.0% バンカー率21.0%,難易度1位/9ホール中 平均スコア6.78 平均パット数2.01 パーオン率12.3% フェアウェイ率43.5% OB率43.0% バンカー率21.0%,難易度8位/9ホール中 平均スコア4.02 平均パット数2.02 パーオン率28.0% フェアウェイ率- OB率10.7% バンカー率34.8%,難易度8位/9ホール中 平均スコア4.02 平均パット数2.02 パーオン率28.0% フェアウェイ率- OB率10.7% バンカー率34.8%,難易度8位/9ホール中 平均スコア4.02 平均パット数2.02 パーオン率28.0% フェアウェイ率- OB率10.7% バンカー率34.8%,難易度2位/9ホール中 平均スコア5.79 平均パット数2.01 パーオン率6.3% フェアウェイ率36.0% OB率33.8% バンカー率35.0%,難易度2位/9ホール中 平均スコア5.79 平均パット数2.01 パーオン率6.3% フェアウェイ率36.0% OB率33.8% バンカー率35.0%,難易度2位/9ホール中 平均スコア5.79 平均パット数2.01 パーオン率6.3% フェアウェイ率36.0% OB率33.8% バンカー率35.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：315yd,Hdcp：,PAR：4,Reg.：358yd,Hdcp：,PAR：4,Reg.：338yd,Hdcp：
5,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度9位/9ホール中 平均スコア4.91 平均パット数1.95 パーオン率34.5% フェアウェイ率38.3% OB率8.0% バンカー率27.0%,難易度9位/9ホール中 平均スコア4.91 平均パット数1.95 パーオン率34.5% フェアウェイ率38.3% OB率8.0% バンカー率27.0%,難易度9位/9ホール中 平均スコア4.91 平均パット数1.95 パーオン率34.5% フェアウェイ率38.3% OB率8.0% バンカー率27.0%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.1 パーオン率19.8% フェアウェイ率41.5% OB率6.3% バンカー率32.5%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.1 パーオン率19.8% フェアウェイ率41.5% OB率6.3% バンカー率32.5%,難易度5位/9ホール中 平均スコア5.35 平均パット数2.1 パーオン率19.8% フェアウェイ率41.5% OB率6.3% バンカー率32.5%,難易度4位/9ホール中 平均スコア5.37 平均パット数2.03 パーオン率21.0% フェアウェイ率40.0% OB率45.8% バンカー率18.0%,難易度4位/9ホール中 平均スコア5.37 平均パット数2.03 パーオン率21.0% フェアウェイ率40.0% OB率45.8% バンカー率18.0%,難易度4位/9ホール中 平均スコア5.37 平均パット数2.03 パーオン率21.0% フェアウェイ率40.0% OB率45.8% バンカー率18.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：505yd,Hdcp：,PAR：3,Reg.：155yd,Hdcp：,PAR：4,Reg.：348yd,Hdcp：
9,S字のロングホール,S字のロングホール,S字のロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度3位/9ホール中 平均スコア6.41 平均パット数1.93 パーオン率19.3% フェアウェイ率48.8% OB率40.5% バンカー率9.8%,難易度3位/9ホール中 平均スコア6.41 平均パット数1.93 パーオン率19.3% フェアウェイ率48.8% OB率40.5% バンカー率9.8%,難易度3位/9ホール中 平均スコア6.41 平均パット数1.93 パーオン率19.3% フェアウェイ率48.8% OB率40.5% バンカー率9.8%,難易度7位/9ホール中 平均スコア4.02 平均パット数1.96 パーオン率23.3% フェアウェイ率- OB率12.7% バンカー率19.0%,難易度7位/9ホール中 平均スコア4.02 平均パット数1.96 パーオン率23.3% フェアウェイ率- OB率12.7% バンカー率19.0%,難易度7位/9ホール中 平均スコア4.02 平均パット数1.96 パーオン率23.3% フェアウェイ率- OB率12.7% バンカー率19.0%,難易度6位/9ホール中 平均スコア5.29 平均パット数1.98 パーオン率18.0% フェアウェイ率47.0% OB率31.0% バンカー率8.5%,難易度6位/9ホール中 平均スコア5.29 平均パット数1.98 パーオン率18.0% フェアウェイ率47.0% OB率31.0% バンカー率8.5%,難易度6位/9ホール中 平均スコア5.29 平均パット数1.98 パーオン率18.0% フェアウェイ率47.0% OB率31.0% バンカー率8.5%
