,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：392yd,Hdcp：1,PAR：3,Reg.：128yd,Hdcp：5,PAR：3,Reg.：107yd,Hdcp：9
1,やや右ドッグレッグミドルホール,やや右ドッグレッグミドルホール,やや右ドッグレッグミドルホール,景色の良い一見やさしいショート　グリーンは難しい,景色の良い一見やさしいショート　グリーンは難しい,景色の良い一見やさしいショート　グリーンは難しい,距離の短いショートホール,距離の短いショートホール,距離の短いショートホール
2,難易度3位/9ホール中 平均スコア5.57 平均パット数2.15 パーオン率14.3% フェアウェイ率66.0% OB率34.3% バンカー率15.3%,難易度3位/9ホール中 平均スコア5.57 平均パット数2.15 パーオン率14.3% フェアウェイ率66.0% OB率34.3% バンカー率15.3%,難易度3位/9ホール中 平均スコア5.57 平均パット数2.15 パーオン率14.3% フェアウェイ率66.0% OB率34.3% バンカー率15.3%,難易度7位/9ホール中 平均スコア4.04 平均パット数2.01 パーオン率23.0% フェアウェイ率- OB率24.5% バンカー率14.5%,難易度7位/9ホール中 平均スコア4.04 平均パット数2.01 パーオン率23.0% フェアウェイ率- OB率24.5% バンカー率14.5%,難易度7位/9ホール中 平均スコア4.04 平均パット数2.01 パーオン率23.0% フェアウェイ率- OB率24.5% バンカー率14.5%,難易度9位/9ホール中 平均スコア3.77 平均パット数2.08 パーオン率46.0% フェアウェイ率- OB率13.7% バンカー率23.8%,難易度9位/9ホール中 平均スコア3.77 平均パット数2.08 パーオン率46.0% フェアウェイ率- OB率13.7% バンカー率23.8%,難易度9位/9ホール中 平均スコア3.77 平均パット数2.08 パーオン率46.0% フェアウェイ率- OB率13.7% バンカー率23.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：460yd,Hdcp：6,PAR：4,Reg.：378yd,Hdcp：2,PAR：5,Reg.：468yd,Hdcp：4
5,右ドッグレッグのバンカーの多いロングホール,右ドッグレッグのバンカーの多いロングホール,右ドッグレッグのバンカーの多いロングホール,真っ直ぐなミドルホール　グリーンのうねりに注意,真っ直ぐなミドルホール　グリーンのうねりに注意,真っ直ぐなミドルホール　グリーンのうねりに注意,池ありクリークあり自分の腕と頭を使って攻めてみて,池ありクリークあり自分の腕と頭を使って攻めてみて,池ありクリークあり自分の腕と頭を使って攻めてみて
6,難易度5位/9ホール中 平均スコア6.26 平均パット数2.04 パーオン率35.8% フェアウェイ率55.0% OB率58.5% バンカー率3.3%,難易度5位/9ホール中 平均スコア6.26 平均パット数2.04 パーオン率35.8% フェアウェイ率55.0% OB率58.5% バンカー率3.3%,難易度5位/9ホール中 平均スコア6.26 平均パット数2.04 パーオン率35.8% フェアウェイ率55.0% OB率58.5% バンカー率3.3%,難易度2位/9ホール中 平均スコア5.6 平均パット数2.09 パーオン率15.3% フェアウェイ率50.0% OB率49.5% バンカー率18.5%,難易度2位/9ホール中 平均スコア5.6 平均パット数2.09 パーオン率15.3% フェアウェイ率50.0% OB率49.5% バンカー率18.5%,難易度2位/9ホール中 平均スコア5.6 平均パット数2.09 パーオン率15.3% フェアウェイ率50.0% OB率49.5% バンカー率18.5%,難易度1位/9ホール中 平均スコア6.48 平均パット数2 パーオン率27.3% フェアウェイ率52.8% OB率44.5% バンカー率1.0%,難易度1位/9ホール中 平均スコア6.48 平均パット数2 パーオン率27.3% フェアウェイ率52.8% OB率44.5% バンカー率1.0%,難易度1位/9ホール中 平均スコア6.48 平均パット数2 パーオン率27.3% フェアウェイ率52.8% OB率44.5% バンカー率1.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：109yd,Hdcp：8,PAR：4,Reg.：325yd,Hdcp：7,PAR：5,Reg.：431yd,Hdcp：3
9,池越えの美しいショートホール,池越えの美しいショートホール,池越えの美しいショートホール,やや打ち上げの真っ直ぐなミドルホール,やや打ち上げの真っ直ぐなミドルホール,やや打ち上げの真っ直ぐなミドルホール,第１打、第２打とも神経を使うロングホール,第１打、第２打とも神経を使うロングホール,第１打、第２打とも神経を使うロングホール
10,難易度8位/9ホール中 平均スコア3.75 平均パット数2.01 パーオン率47.0% フェアウェイ率- OB率21.3% バンカー率1.0%,難易度8位/9ホール中 平均スコア3.75 平均パット数2.01 パーオン率47.0% フェアウェイ率- OB率21.3% バンカー率1.0%,難易度8位/9ホール中 平均スコア3.75 平均パット数2.01 パーオン率47.0% フェアウェイ率- OB率21.3% バンカー率1.0%,難易度6位/9ホール中 平均スコア5.32 平均パット数2.03 パーオン率23.0% フェアウェイ率43.5% OB率49.3% バンカー率5.5%,難易度6位/9ホール中 平均スコア5.32 平均パット数2.03 パーオン率23.0% フェアウェイ率43.5% OB率49.3% バンカー率5.5%,難易度6位/9ホール中 平均スコア5.32 平均パット数2.03 パーオン率23.0% フェアウェイ率43.5% OB率49.3% バンカー率5.5%,難易度4位/9ホール中 平均スコア6.31 平均パット数2.13 パーオン率36.8% フェアウェイ率59.5% OB率52.3% バンカー率15.5%,難易度4位/9ホール中 平均スコア6.31 平均パット数2.13 パーオン率36.8% フェアウェイ率59.5% OB率52.3% バンカー率15.5%,難易度4位/9ホール中 平均スコア6.31 平均パット数2.13 パーオン率36.8% フェアウェイ率59.5% OB率52.3% バンカー率15.5%
