,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：372yd,Hdcp：11,PAR：5,Reg.：472yd,Hdcp：7,PAR：3,Reg.：168yd,Hdcp：9
1,雄大な打ち下しのミドルホール,雄大な打ち下しのミドルホール,雄大な打ち下しのミドルホール,グリーン手前池が利いている最も難易度の高いミドル,グリーン手前池が利いている最も難易度の高いミドル,グリーン手前池が利いている最も難易度の高いミドル,打ち上げの短いショートホール,打ち上げの短いショートホール,打ち上げの短いショートホール
2,難易度3位/18ホール中 平均スコア5.44 平均パット数1.94 パーオン率16.3% フェアウェイ率44.3% OB率39.5% バンカー率11.8%,難易度3位/18ホール中 平均スコア5.44 平均パット数1.94 パーオン率16.3% フェアウェイ率44.3% OB率39.5% バンカー率11.8%,難易度3位/18ホール中 平均スコア5.44 平均パット数1.94 パーオン率16.3% フェアウェイ率44.3% OB率39.5% バンカー率11.8%,難易度10位/18ホール中 平均スコア6.2 平均パット数1.87 パーオン率31.0% フェアウェイ率44.0% OB率48.8% バンカー率6.5%,難易度10位/18ホール中 平均スコア6.2 平均パット数1.87 パーオン率31.0% フェアウェイ率44.0% OB率48.8% バンカー率6.5%,難易度10位/18ホール中 平均スコア6.2 平均パット数1.87 パーオン率31.0% フェアウェイ率44.0% OB率48.8% バンカー率6.5%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.98 パーオン率31.5% フェアウェイ率- OB率20.3% バンカー率10.0%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.98 パーオン率31.5% フェアウェイ率- OB率20.3% バンカー率10.0%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.98 パーオン率31.5% フェアウェイ率- OB率20.3% バンカー率10.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：391yd,Hdcp：1,PAR：4,Reg.：319yd,Hdcp：3,PAR：4,Reg.：350yd,Hdcp：15
5,左に池、右はバンカー、奥行きの狭いグリーン,左に池、右はバンカー、奥行きの狭いグリーン,左に池、右はバンカー、奥行きの狭いグリーン,第２打の正確な距離感方向性が要求されるホール,第２打の正確な距離感方向性が要求されるホール,第２打の正確な距離感方向性が要求されるホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度2位/18ホール中 平均スコア5.51 平均パット数1.89 パーオン率11.3% フェアウェイ率49.3% OB率31.3% バンカー率14.0%,難易度2位/18ホール中 平均スコア5.51 平均パット数1.89 パーオン率11.3% フェアウェイ率49.3% OB率31.3% バンカー率14.0%,難易度2位/18ホール中 平均スコア5.51 平均パット数1.89 パーオン率11.3% フェアウェイ率49.3% OB率31.3% バンカー率14.0%,難易度11位/18ホール中 平均スコア5.22 平均パット数1.87 パーオン率20.5% フェアウェイ率59.0% OB率25.3% バンカー率21.8%,難易度11位/18ホール中 平均スコア5.22 平均パット数1.87 パーオン率20.5% フェアウェイ率59.0% OB率25.3% バンカー率21.8%,難易度11位/18ホール中 平均スコア5.22 平均パット数1.87 パーオン率20.5% フェアウェイ率59.0% OB率25.3% バンカー率21.8%,難易度13位/18ホール中 平均スコア5.17 平均パット数1.86 パーオン率20.5% フェアウェイ率59.5% OB率26.0% バンカー率22.8%,難易度13位/18ホール中 平均スコア5.17 平均パット数1.86 パーオン率20.5% フェアウェイ率59.5% OB率26.0% バンカー率22.8%,難易度13位/18ホール中 平均スコア5.17 平均パット数1.86 パーオン率20.5% フェアウェイ率59.5% OB率26.0% バンカー率22.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：501yd,Hdcp：5,PAR：3,Reg.：142yd,Hdcp：17,PAR：4,Reg.：348yd,Hdcp：13
9,グリーン周辺のアンジュレーションがきつい,グリーン周辺のアンジュレーションがきつい,グリーン周辺のアンジュレーションがきつい,手前のバンカーに注意すればスコアーはまとめやすい,手前のバンカーに注意すればスコアーはまとめやすい,手前のバンカーに注意すればスコアーはまとめやすい,センター右サイドへ思い切り打てる,センター右サイドへ思い切り打てる,センター右サイドへ思い切り打てる
10,難易度4位/18ホール中 平均スコア6.39 平均パット数1.88 パーオン率18.3% フェアウェイ率49.0% OB率33.5% バンカー率8.5%,難易度4位/18ホール中 平均スコア6.39 平均パット数1.88 パーオン率18.3% フェアウェイ率49.0% OB率33.5% バンカー率8.5%,難易度4位/18ホール中 平均スコア6.39 平均パット数1.88 パーオン率18.3% フェアウェイ率49.0% OB率33.5% バンカー率8.5%,難易度17位/18ホール中 平均スコア3.94 平均パット数1.82 パーオン率22.5% フェアウェイ率- OB率12.3% バンカー率15.3%,難易度17位/18ホール中 平均スコア3.94 平均パット数1.82 パーオン率22.5% フェアウェイ率- OB率12.3% バンカー率15.3%,難易度17位/18ホール中 平均スコア3.94 平均パット数1.82 パーオン率22.5% フェアウェイ率- OB率12.3% バンカー率15.3%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.87 パーオン率18.5% フェアウェイ率63.3% OB率24.0% バンカー率5.5%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.87 パーオン率18.5% フェアウェイ率63.3% OB率24.0% バンカー率5.5%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.87 パーオン率18.5% フェアウェイ率63.3% OB率24.0% バンカー率5.5%
