,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：400yd,Hdcp：10,PAR：5,Reg.：490yd,Hdcp：8,PAR：4,Reg.：390yd,Hdcp：6
1,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,長いミドルホール,長いミドルホール,長いミドルホール
2,難易度1位/9ホール中 平均スコア5.55 平均パット数2.14 パーオン率14.3% フェアウェイ率47.0% OB率18.5% バンカー率28.8%,難易度1位/9ホール中 平均スコア5.55 平均パット数2.14 パーオン率14.3% フェアウェイ率47.0% OB率18.5% バンカー率28.8%,難易度1位/9ホール中 平均スコア5.55 平均パット数2.14 パーオン率14.3% フェアウェイ率47.0% OB率18.5% バンカー率28.8%,難易度2位/9ホール中 平均スコア6.41 平均パット数2.04 パーオン率24.5% フェアウェイ率47.3% OB率32.0% バンカー率17.8%,難易度2位/9ホール中 平均スコア6.41 平均パット数2.04 パーオン率24.5% フェアウェイ率47.3% OB率32.0% バンカー率17.8%,難易度2位/9ホール中 平均スコア6.41 平均パット数2.04 パーオン率24.5% フェアウェイ率47.3% OB率32.0% バンカー率17.8%,難易度4位/9ホール中 平均スコア5.3 平均パット数1.95 パーオン率16.8% フェアウェイ率52.8% OB率23.8% バンカー率19.5%,難易度4位/9ホール中 平均スコア5.3 平均パット数1.95 パーオン率16.8% フェアウェイ率52.8% OB率23.8% バンカー率19.5%,難易度4位/9ホール中 平均スコア5.3 平均パット数1.95 パーオン率16.8% フェアウェイ率52.8% OB率23.8% バンカー率19.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：143yd,Hdcp：16,PAR：4,Reg.：320yd,Hdcp：12,PAR：4,Reg.：405yd,Hdcp：4
5,池越えのショートホール,池越えのショートホール,池越えのショートホール,短いミドルホール,短いミドルホール,短いミドルホール,ティショットは思いきって打てる距離のあるミドル,ティショットは思いきって打てる距離のあるミドル,ティショットは思いきって打てる距離のあるミドル
6,難易度9位/9ホール中 平均スコア3.82 平均パット数1.93 パーオン率35.5% フェアウェイ率- OB率11.0% バンカー率2.3%,難易度9位/9ホール中 平均スコア3.82 平均パット数1.93 パーオン率35.5% フェアウェイ率- OB率11.0% バンカー率2.3%,難易度9位/9ホール中 平均スコア3.82 平均パット数1.93 パーオン率35.5% フェアウェイ率- OB率11.0% バンカー率2.3%,難易度6位/9ホール中 平均スコア5.22 平均パット数1.91 パーオン率24.5% フェアウェイ率63.0% OB率28.3% バンカー率18.3%,難易度6位/9ホール中 平均スコア5.22 平均パット数1.91 パーオン率24.5% フェアウェイ率63.0% OB率28.3% バンカー率18.3%,難易度6位/9ホール中 平均スコア5.22 平均パット数1.91 パーオン率24.5% フェアウェイ率63.0% OB率28.3% バンカー率18.3%,難易度3位/9ホール中 平均スコア5.38 平均パット数2.03 パーオン率17.3% フェアウェイ率54.3% OB率31.3% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.38 平均パット数2.03 パーオン率17.3% フェアウェイ率54.3% OB率31.3% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.38 平均パット数2.03 パーオン率17.3% フェアウェイ率54.3% OB率31.3% バンカー率16.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：197yd,Hdcp：14,PAR：4,Reg.：379yd,Hdcp：2,PAR：5,Reg.：460yd,Hdcp：18
9,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,距離の短いロングホール,距離の短いロングホール,距離の短いロングホール
10,難易度8位/9ホール中 平均スコア3.99 平均パット数1.96 パーオン率24.0% フェアウェイ率- OB率13.8% バンカー率30.0%,難易度8位/9ホール中 平均スコア3.99 平均パット数1.96 パーオン率24.0% フェアウェイ率- OB率13.8% バンカー率30.0%,難易度8位/9ホール中 平均スコア3.99 平均パット数1.96 パーオン率24.0% フェアウェイ率- OB率13.8% バンカー率30.0%,難易度5位/9ホール中 平均スコア5.28 平均パット数2 パーオン率19.5% フェアウェイ率59.8% OB率23.3% バンカー率21.5%,難易度5位/9ホール中 平均スコア5.28 平均パット数2 パーオン率19.5% フェアウェイ率59.8% OB率23.3% バンカー率21.5%,難易度5位/9ホール中 平均スコア5.28 平均パット数2 パーオン率19.5% フェアウェイ率59.8% OB率23.3% バンカー率21.5%,難易度7位/9ホール中 平均スコア6.05 平均パット数1.98 パーオン率37.5% フェアウェイ率47.5% OB率33.8% バンカー率29.5%,難易度7位/9ホール中 平均スコア6.05 平均パット数1.98 パーオン率37.5% フェアウェイ率47.5% OB率33.8% バンカー率29.5%,難易度7位/9ホール中 平均スコア6.05 平均パット数1.98 パーオン率37.5% フェアウェイ率47.5% OB率33.8% バンカー率29.5%
