,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：400yd,Hdcp：4,PAR：5,Reg.：460yd,Hdcp：10,PAR：4,Reg.：325yd,Hdcp：7
1,左OBラインに注意、第2打はｺﾝﾄﾛｰﾙのよいクラブで,左OBラインに注意、第2打はｺﾝﾄﾛｰﾙのよいクラブで,左OBラインに注意、第2打はｺﾝﾄﾛｰﾙのよいクラブで,距離をだすことよりフェアウェイに落とすことが大切,距離をだすことよりフェアウェイに落とすことが大切,距離をだすことよりフェアウェイに落とすことが大切,難しいグリーン、パッティングに気をつけて,難しいグリーン、パッティングに気をつけて,難しいグリーン、パッティングに気をつけて
2,難易度3位/18ホール中 平均スコア5.59 平均パット数1.84 パーオン率7.8% フェアウェイ率49.8% OB率9.5% バンカー率8.3%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.84 パーオン率7.8% フェアウェイ率49.8% OB率9.5% バンカー率8.3%,難易度3位/18ホール中 平均スコア5.59 平均パット数1.84 パーオン率7.8% フェアウェイ率49.8% OB率9.5% バンカー率8.3%,難易度10位/18ホール中 平均スコア6.25 平均パット数1.9 パーオン率25.3% フェアウェイ率53.0% OB率10.0% バンカー率17.8%,難易度10位/18ホール中 平均スコア6.25 平均パット数1.9 パーオン率25.3% フェアウェイ率53.0% OB率10.0% バンカー率17.8%,難易度10位/18ホール中 平均スコア6.25 平均パット数1.9 パーオン率25.3% フェアウェイ率53.0% OB率10.0% バンカー率17.8%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.03 パーオン率17.8% フェアウェイ率45.0% OB率19.0% バンカー率4.0%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.03 パーオン率17.8% フェアウェイ率45.0% OB率19.0% バンカー率4.0%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.03 パーオン率17.8% フェアウェイ率45.0% OB率19.0% バンカー率4.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：189yd,Hdcp：9,PAR：5,Reg.：512yd,Hdcp：1,PAR：4,Reg.：330yd,Hdcp：16
5,距離の十分ある打ちおろしのショートホール,距離の十分ある打ちおろしのショートホール,距離の十分ある打ちおろしのショートホール,距離のある難しいロングホール,距離のある難しいロングホール,距離のある難しいロングホール,ティーショットを正確にフェアウェイに落として,ティーショットを正確にフェアウェイに落として,ティーショットを正確にフェアウェイに落として
6,難易度17位/18ホール中 平均スコア4.13 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率1.0% バンカー率23.5%,難易度17位/18ホール中 平均スコア4.13 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率1.0% バンカー率23.5%,難易度17位/18ホール中 平均スコア4.13 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率1.0% バンカー率23.5%,難易度6位/18ホール中 平均スコア6.45 平均パット数1.95 パーオン率18.3% フェアウェイ率62.0% OB率6.5% バンカー率5.5%,難易度6位/18ホール中 平均スコア6.45 平均パット数1.95 パーオン率18.3% フェアウェイ率62.0% OB率6.5% バンカー率5.5%,難易度6位/18ホール中 平均スコア6.45 平均パット数1.95 パーオン率18.3% フェアウェイ率62.0% OB率6.5% バンカー率5.5%,難易度12位/18ホール中 平均スコア5.21 平均パット数1.85 パーオン率18.3% フェアウェイ率44.3% OB率4.3% バンカー率22.0%,難易度12位/18ホール中 平均スコア5.21 平均パット数1.85 パーオン率18.3% フェアウェイ率44.3% OB率4.3% バンカー率22.0%,難易度12位/18ホール中 平均スコア5.21 平均パット数1.85 パーオン率18.3% フェアウェイ率44.3% OB率4.3% バンカー率22.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：175yd,Hdcp：14,PAR：4,Reg.：396yd,Hdcp：3,PAR：4,Reg.：377yd,Hdcp：13
9,奥に長いグリーン、クラブの選択に注意,奥に長いグリーン、クラブの選択に注意,奥に長いグリーン、クラブの選択に注意,ティーショットで距離が出ないと２オンは難しい,ティーショットで距離が出ないと２オンは難しい,ティーショットで距離が出ないと２オンは難しい,高いボールで右側の松のうえを打ってください,高いボールで右側の松のうえを打ってください,高いボールで右側の松のうえを打ってください
10,難易度13位/18ホール中 平均スコア4.23 平均パット数1.99 パーオン率16.8% フェアウェイ率- OB率3.0% バンカー率21.5%,難易度13位/18ホール中 平均スコア4.23 平均パット数1.99 パーオン率16.8% フェアウェイ率- OB率3.0% バンカー率21.5%,難易度13位/18ホール中 平均スコア4.23 平均パット数1.99 パーオン率16.8% フェアウェイ率- OB率3.0% バンカー率21.5%,難易度2位/18ホール中 平均スコア5.68 平均パット数1.92 パーオン率4.8% フェアウェイ率59.0% OB率2.8% バンカー率19.8%,難易度2位/18ホール中 平均スコア5.68 平均パット数1.92 パーオン率4.8% フェアウェイ率59.0% OB率2.8% バンカー率19.8%,難易度2位/18ホール中 平均スコア5.68 平均パット数1.92 パーオン率4.8% フェアウェイ率59.0% OB率2.8% バンカー率19.8%,難易度9位/18ホール中 平均スコア5.38 平均パット数1.85 パーオン率11.8% フェアウェイ率55.5% OB率4.0% バンカー率12.0%,難易度9位/18ホール中 平均スコア5.38 平均パット数1.85 パーオン率11.8% フェアウェイ率55.5% OB率4.0% バンカー率12.0%,難易度9位/18ホール中 平均スコア5.38 平均パット数1.85 パーオン率11.8% フェアウェイ率55.5% OB率4.0% バンカー率12.0%
