,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：382yd,Hdcp：15,PAR：4,Reg.：272yd,Hdcp：13,PAR：3,Reg.：191yd,Hdcp：9
1,ティーショットはセンターにまっすぐに,ティーショットはセンターにまっすぐに,ティーショットはセンターにまっすぐに,ティショットは右目狙い。アプローチは距離を正確に,ティショットは右目狙い。アプローチは距離を正確に,ティショットは右目狙い。アプローチは距離を正確に,左はＯＢ　グリーンの右目狙いで,左はＯＢ　グリーンの右目狙いで,左はＯＢ　グリーンの右目狙いで
2,難易度14位/18ホール中 平均スコア4.98 平均パット数1.99 パーオン率38.0% フェアウェイ率50.8% OB率20.5% バンカー率22.0%,難易度14位/18ホール中 平均スコア4.98 平均パット数1.99 パーオン率38.0% フェアウェイ率50.8% OB率20.5% バンカー率22.0%,難易度14位/18ホール中 平均スコア4.98 平均パット数1.99 パーオン率38.0% フェアウェイ率50.8% OB率20.5% バンカー率22.0%,難易度17位/18ホール中 平均スコア4.91 平均パット数2.07 パーオン率46.5% フェアウェイ率34.3% OB率27.5% バンカー率5.5%,難易度17位/18ホール中 平均スコア4.91 平均パット数2.07 パーオン率46.5% フェアウェイ率34.3% OB率27.5% バンカー率5.5%,難易度17位/18ホール中 平均スコア4.91 平均パット数2.07 パーオン率46.5% フェアウェイ率34.3% OB率27.5% バンカー率5.5%,難易度13位/18ホール中 平均スコア4.17 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率28.0% バンカー率21.5%,難易度13位/18ホール中 平均スコア4.17 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率28.0% バンカー率21.5%,難易度13位/18ホール中 平均スコア4.17 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率28.0% バンカー率21.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：506yd,Hdcp：3,PAR：4,Reg.：388yd,Hdcp：5,PAR：4,Reg.：358yd,Hdcp：11
5,ティーショットはフェアウェイ左サイドに,ティーショットはフェアウェイ左サイドに,ティーショットはフェアウェイ左サイドに,右はＯＢ　ティーショットはやや左目に,右はＯＢ　ティーショットはやや左目に,右はＯＢ　ティーショットはやや左目に,左は１ペナ　ティーショットはＦＷの右サイドに,左は１ペナ　ティーショットはＦＷの右サイドに,左は１ペナ　ティーショットはＦＷの右サイドに
6,難易度6位/18ホール中 平均スコア6.41 平均パット数2.1 パーオン率22.5% フェアウェイ率45.8% OB率21.8% バンカー率4.7%,難易度6位/18ホール中 平均スコア6.41 平均パット数2.1 パーオン率22.5% フェアウェイ率45.8% OB率21.8% バンカー率4.7%,難易度6位/18ホール中 平均スコア6.41 平均パット数2.1 パーオン率22.5% フェアウェイ率45.8% OB率21.8% バンカー率4.7%,難易度2位/18ホール中 平均スコア5.66 平均パット数2.22 パーオン率12.5% フェアウェイ率44.5% OB率25.0% バンカー率17.3%,難易度2位/18ホール中 平均スコア5.66 平均パット数2.22 パーオン率12.5% フェアウェイ率44.5% OB率25.0% バンカー率17.3%,難易度2位/18ホール中 平均スコア5.66 平均パット数2.22 パーオン率12.5% フェアウェイ率44.5% OB率25.0% バンカー率17.3%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率21.3% フェアウェイ率37.3% OB率44.3% バンカー率5.8%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率21.3% フェアウェイ率37.3% OB率44.3% バンカー率5.8%,難易度7位/18ホール中 平均スコア5.44 平均パット数2.08 パーオン率21.3% フェアウェイ率37.3% OB率44.3% バンカー率5.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：136yd,Hdcp：17,PAR：4,Reg.：455yd,Hdcp：1,PAR：5,Reg.：490yd,Hdcp：7
9,右サイドはＯＢ　グリーン周りのバンカーに注意,右サイドはＯＢ　グリーン周りのバンカーに注意,右サイドはＯＢ　グリーン周りのバンカーに注意,ティーショットは左狙いで。２打目は松に注意,ティーショットは左狙いで。２打目は松に注意,ティーショットは左狙いで。２打目は松に注意,ティーショットはセンターにしっかり打ち距離を稼ぐ,ティーショットはセンターにしっかり打ち距離を稼ぐ,ティーショットはセンターにしっかり打ち距離を稼ぐ
