,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：388yd,Hdcp：,PAR：3,Reg.：166yd,Hdcp：,PAR：4,Reg.：339yd,Hdcp：
1,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度1位/9ホール中 平均スコア5.67 平均パット数1.91 パーオン率6.0% フェアウェイ率54.8% OB率45.8% バンカー率11.5%,難易度1位/9ホール中 平均スコア5.67 平均パット数1.91 パーオン率6.0% フェアウェイ率54.8% OB率45.8% バンカー率11.5%,難易度1位/9ホール中 平均スコア5.67 平均パット数1.91 パーオン率6.0% フェアウェイ率54.8% OB率45.8% バンカー率11.5%,難易度8位/9ホール中 平均スコア4.15 平均パット数1.86 パーオン率14.0% フェアウェイ率- OB率39.5% バンカー率18.0%,難易度8位/9ホール中 平均スコア4.15 平均パット数1.86 パーオン率14.0% フェアウェイ率- OB率39.5% バンカー率18.0%,難易度8位/9ホール中 平均スコア4.15 平均パット数1.86 パーオン率14.0% フェアウェイ率- OB率39.5% バンカー率18.0%,難易度6位/9ホール中 平均スコア5.29 平均パット数1.97 パーオン率25.5% フェアウェイ率45.5% OB率45.8% バンカー率12.5%,難易度6位/9ホール中 平均スコア5.29 平均パット数1.97 パーオン率25.5% フェアウェイ率45.5% OB率45.8% バンカー率12.5%,難易度6位/9ホール中 平均スコア5.29 平均パット数1.97 パーオン率25.5% フェアウェイ率45.5% OB率45.8% バンカー率12.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：465yd,Hdcp：,PAR：3,Reg.：117yd,Hdcp：,PAR：4,Reg.：327yd,Hdcp：
5,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,短いショートホール,短いショートホール,短いショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度7位/9ホール中 平均スコア6.28 平均パット数1.88 パーオン率27.5% フェアウェイ率45.8% OB率40.3% バンカー率25.0%,難易度7位/9ホール中 平均スコア6.28 平均パット数1.88 パーオン率27.5% フェアウェイ率45.8% OB率40.3% バンカー率25.0%,難易度7位/9ホール中 平均スコア6.28 平均パット数1.88 パーオン率27.5% フェアウェイ率45.8% OB率40.3% バンカー率25.0%,難易度9位/9ホール中 平均スコア3.9 平均パット数1.89 パーオン率32.0% フェアウェイ率- OB率20.0% バンカー率19.8%,難易度9位/9ホール中 平均スコア3.9 平均パット数1.89 パーオン率32.0% フェアウェイ率- OB率20.0% バンカー率19.8%,難易度9位/9ホール中 平均スコア3.9 平均パット数1.89 パーオン率32.0% フェアウェイ率- OB率20.0% バンカー率19.8%,難易度2位/9ホール中 平均スコア5.55 平均パット数1.97 パーオン率16.8% フェアウェイ率59.5% OB率43.3% バンカー率10.0%,難易度2位/9ホール中 平均スコア5.55 平均パット数1.97 パーオン率16.8% フェアウェイ率59.5% OB率43.3% バンカー率10.0%,難易度2位/9ホール中 平均スコア5.55 平均パット数1.97 パーオン率16.8% フェアウェイ率59.5% OB率43.3% バンカー率10.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：371yd,Hdcp：,PAR：5,Reg.：495yd,Hdcp：,PAR：4,Reg.：365yd,Hdcp：
9,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度4位/9ホール中 平均スコア5.4 平均パット数1.92 パーオン率18.8% フェアウェイ率59.0% OB率40.5% バンカー率21.3%,難易度4位/9ホール中 平均スコア5.4 平均パット数1.92 パーオン率18.8% フェアウェイ率59.0% OB率40.5% バンカー率21.3%,難易度4位/9ホール中 平均スコア5.4 平均パット数1.92 パーオン率18.8% フェアウェイ率59.0% OB率40.5% バンカー率21.3%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.09 パーオン率30.0% フェアウェイ率54.3% OB率31.3% バンカー率44.8%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.09 パーオン率30.0% フェアウェイ率54.3% OB率31.3% バンカー率44.8%,難易度3位/9ホール中 平均スコア6.43 平均パット数2.09 パーオン率30.0% フェアウェイ率54.3% OB率31.3% バンカー率44.8%,難易度5位/9ホール中 平均スコア5.5 平均パット数1.88 パーオン率10.8% フェアウェイ率59.5% OB率43.5% バンカー率18.0%,難易度5位/9ホール中 平均スコア5.5 平均パット数1.88 パーオン率10.8% フェアウェイ率59.5% OB率43.5% バンカー率18.0%,難易度5位/9ホール中 平均スコア5.5 平均パット数1.88 パーオン率10.8% フェアウェイ率59.5% OB率43.5% バンカー率18.0%
