,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：398yd,Hdcp：9,PAR：4,Reg.：381yd,Hdcp：15,PAR：5,Reg.：533yd,Hdcp：3
1,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
2,難易度2位/18ホール中 平均スコア5.44 平均パット数2.01 パーオン率15.5% フェアウェイ率46.8% OB率47.0% バンカー率2.3%,難易度2位/18ホール中 平均スコア5.44 平均パット数2.01 パーオン率15.5% フェアウェイ率46.8% OB率47.0% バンカー率2.3%,難易度2位/18ホール中 平均スコア5.44 平均パット数2.01 パーオン率15.5% フェアウェイ率46.8% OB率47.0% バンカー率2.3%,難易度3位/18ホール中 平均スコア5.42 平均パット数2.04 パーオン率21.5% フェアウェイ率45.5% OB率27.8% バンカー率18.8%,難易度3位/18ホール中 平均スコア5.42 平均パット数2.04 パーオン率21.5% フェアウェイ率45.5% OB率27.8% バンカー率18.8%,難易度3位/18ホール中 平均スコア5.42 平均パット数2.04 パーオン率21.5% フェアウェイ率45.5% OB率27.8% バンカー率18.8%,難易度1位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率22.8% フェアウェイ率42.3% OB率35.0% バンカー率11.0%,難易度1位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率22.8% フェアウェイ率42.3% OB率35.0% バンカー率11.0%,難易度1位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率22.8% フェアウェイ率42.3% OB率35.0% バンカー率11.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：352yd,Hdcp：7,PAR：3,Reg.：154yd,Hdcp：13,PAR：4,Reg.：336yd,Hdcp：1
5,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いショートホール,長いショートホール,長いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
6,難易度14位/18ホール中 平均スコア5.1 平均パット数2 パーオン率30.0% フェアウェイ率52.3% OB率25.5% バンカー率8.3%,難易度14位/18ホール中 平均スコア5.1 平均パット数2 パーオン率30.0% フェアウェイ率52.3% OB率25.5% バンカー率8.3%,難易度14位/18ホール中 平均スコア5.1 平均パット数2 パーオン率30.0% フェアウェイ率52.3% OB率25.5% バンカー率8.3%,難易度15位/18ホール中 平均スコア4 平均パット数2.04 パーオン率33.8% フェアウェイ率- OB率25.0% バンカー率12.7%,難易度15位/18ホール中 平均スコア4 平均パット数2.04 パーオン率33.8% フェアウェイ率- OB率25.0% バンカー率12.7%,難易度15位/18ホール中 平均スコア4 平均パット数2.04 パーオン率33.8% フェアウェイ率- OB率25.0% バンカー率12.7%,難易度7位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率22.8% フェアウェイ率41.0% OB率32.3% バンカー率3.3%,難易度7位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率22.8% フェアウェイ率41.0% OB率32.3% バンカー率3.3%,難易度7位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率22.8% フェアウェイ率41.0% OB率32.3% バンカー率3.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：350yd,Hdcp：5,PAR：3,Reg.：132yd,Hdcp：17,PAR：5,Reg.：515yd,Hdcp：11
9,長いミドルホール,長いミドルホール,長いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度4位/18ホール中 平均スコア5.4 平均パット数2.08 パーオン率23.3% フェアウェイ率42.3% OB率50.3% バンカー率6.0%,難易度4位/18ホール中 平均スコア5.4 平均パット数2.08 パーオン率23.3% フェアウェイ率42.3% OB率50.3% バンカー率6.0%,難易度4位/18ホール中 平均スコア5.4 平均パット数2.08 パーオン率23.3% フェアウェイ率42.3% OB率50.3% バンカー率6.0%,難易度17位/18ホール中 平均スコア3.87 平均パット数2.11 パーオン率50.3% フェアウェイ率- OB率23.5% バンカー率1.3%,難易度17位/18ホール中 平均スコア3.87 平均パット数2.11 パーオン率50.3% フェアウェイ率- OB率23.5% バンカー率1.3%,難易度17位/18ホール中 平均スコア3.87 平均パット数2.11 パーオン率50.3% フェアウェイ率- OB率23.5% バンカー率1.3%,難易度8位/18ホール中 平均スコア6.3 平均パット数2.04 パーオン率28.3% フェアウェイ率47.3% OB率20.8% バンカー率33.0%,難易度8位/18ホール中 平均スコア6.3 平均パット数2.04 パーオン率28.3% フェアウェイ率47.3% OB率20.8% バンカー率33.0%,難易度8位/18ホール中 平均スコア6.3 平均パット数2.04 パーオン率28.3% フェアウェイ率47.3% OB率20.8% バンカー率33.0%
