,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：521yd,Hdcp：15,PAR：4,Reg.：361yd,Hdcp：17,PAR：3,Reg.：195yd,Hdcp：13
1,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,長いショートホール手前がＬ（左）グリーン,長いショートホール手前がＬ（左）グリーン,長いショートホール手前がＬ（左）グリーン
2,難易度9位/18ホール中 平均スコア6.36 平均パット数1.95 パーオン率22.5% フェアウェイ率62.8% OB率34.3% バンカー率19.3%,難易度9位/18ホール中 平均スコア6.36 平均パット数1.95 パーオン率22.5% フェアウェイ率62.8% OB率34.3% バンカー率19.3%,難易度9位/18ホール中 平均スコア6.36 平均パット数1.95 パーオン率22.5% フェアウェイ率62.8% OB率34.3% バンカー率19.3%,難易度15位/18ホール中 平均スコア5.03 平均パット数1.86 パーオン率27.3% フェアウェイ率58.3% OB率23.5% バンカー率31.3%,難易度15位/18ホール中 平均スコア5.03 平均パット数1.86 パーオン率27.3% フェアウェイ率58.3% OB率23.5% バンカー率31.3%,難易度15位/18ホール中 平均スコア5.03 平均パット数1.86 パーオン率27.3% フェアウェイ率58.3% OB率23.5% バンカー率31.3%,難易度17位/18ホール中 平均スコア4.01 平均パット数1.86 パーオン率19.8% フェアウェイ率- OB率16.8% バンカー率34.0%,難易度17位/18ホール中 平均スコア4.01 平均パット数1.86 パーオン率19.8% フェアウェイ率- OB率16.8% バンカー率34.0%,難易度17位/18ホール中 平均スコア4.01 平均パット数1.86 パーオン率19.8% フェアウェイ率- OB率16.8% バンカー率34.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：439yd,Hdcp：3,PAR：4,Reg.：361yd,Hdcp：1,PAR：3,Reg.：174yd,Hdcp：11
5,ほぼ真っ直ぐなミドルホール　奥がＬ（左）グリーン,ほぼ真っ直ぐなミドルホール　奥がＬ（左）グリーン,ほぼ真っ直ぐなミドルホール　奥がＬ（左）グリーン,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いショートホール,長いショートホール,長いショートホール
6,難易度3位/18ホール中 平均スコア5.55 平均パット数1.87 パーオン率7.0% フェアウェイ率58.3% OB率21.5% バンカー率22.0%,難易度3位/18ホール中 平均スコア5.55 平均パット数1.87 パーオン率7.0% フェアウェイ率58.3% OB率21.5% バンカー率22.0%,難易度3位/18ホール中 平均スコア5.55 平均パット数1.87 パーオン率7.0% フェアウェイ率58.3% OB率21.5% バンカー率22.0%,難易度7位/18ホール中 平均スコア5.46 平均パット数1.88 パーオン率9.3% フェアウェイ率55.3% OB率13.0% バンカー率28.5%,難易度7位/18ホール中 平均スコア5.46 平均パット数1.88 パーオン率9.3% フェアウェイ率55.3% OB率13.0% バンカー率28.5%,難易度7位/18ホール中 平均スコア5.46 平均パット数1.88 パーオン率9.3% フェアウェイ率55.3% OB率13.0% バンカー率28.5%,難易度16位/18ホール中 平均スコア4.02 平均パット数1.89 パーオン率19.0% フェアウェイ率- OB率14.3% バンカー率34.0%,難易度16位/18ホール中 平均スコア4.02 平均パット数1.89 パーオン率19.0% フェアウェイ率- OB率14.3% バンカー率34.0%,難易度16位/18ホール中 平均スコア4.02 平均パット数1.89 パーオン率19.0% フェアウェイ率- OB率14.3% バンカー率34.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：349yd,Hdcp：7,PAR：4,Reg.：349yd,Hdcp：9,PAR：5,Reg.：551yd,Hdcp：5
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
10,難易度11位/18ホール中 平均スコア5.26 平均パット数1.85 パーオン率17.3% フェアウェイ率60.5% OB率24.5% バンカー率37.3%,難易度11位/18ホール中 平均スコア5.26 平均パット数1.85 パーオン率17.3% フェアウェイ率60.5% OB率24.5% バンカー率37.3%,難易度11位/18ホール中 平均スコア5.26 平均パット数1.85 パーオン率17.3% フェアウェイ率60.5% OB率24.5% バンカー率37.3%,難易度13位/18ホール中 平均スコア5.11 平均パット数1.83 パーオン率22.5% フェアウェイ率63.3% OB率34.3% バンカー率13.5%,難易度13位/18ホール中 平均スコア5.11 平均パット数1.83 パーオン率22.5% フェアウェイ率63.3% OB率34.3% バンカー率13.5%,難易度13位/18ホール中 平均スコア5.11 平均パット数1.83 パーオン率22.5% フェアウェイ率63.3% OB率34.3% バンカー率13.5%,難易度2位/18ホール中 平均スコア6.56 平均パット数1.81 パーオン率11.8% フェアウェイ率55.5% OB率31.5% バンカー率29.8%,難易度2位/18ホール中 平均スコア6.56 平均パット数1.81 パーオン率11.8% フェアウェイ率55.5% OB率31.5% バンカー率29.8%,難易度2位/18ホール中 平均スコア6.56 平均パット数1.81 パーオン率11.8% フェアウェイ率55.5% OB率31.5% バンカー率29.8%
